编号	奖励1	权重	奖励2	权重	奖励3	权重	奖励4	权重	奖励5	权重	奖励6	权重	奖励7	权重	奖励8	权重	奖励9	权重	奖励10	权重	奖励11	权重	奖励12	权重	奖励13	权重	奖励14	权重	奖励15	权重	奖励16	权重	奖励17	权重	奖励18	权重	奖励19	权重	奖励20	权重	奖励21	权重	奖励22	权重	奖励23	权重	奖励24	权重	奖励25	权重	奖励26	权重	奖励27	权重	奖励28	权重	奖励29	权重	奖励30	权重	奖励31	权重	奖励32	权重	奖励33	权重	奖励34	权重	奖励35	权重	奖励36	权重	奖励37	权重	奖励38	权重	奖励39	权重	奖励40	权重	奖励41	权重	奖励42	权重	获得奖品数量
3005	user.gold:900000	40	user.gold:975000	30	user.gold:1050000	25	user.gold:1125000	9	user.gold:1500000	1	user.gold:2250000	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3006	user.gold:1320000	40	user.gold:1430000	30	user.gold:1540000	25	user.gold:1650000	9	user.gold:2200000	1	user.gold:3300000	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3301	material.3502:1	90	material.3502:2	10		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3302	material.3502:1	90	material.3502:2	5	material.3504:1	5		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3303	material.3502:1	90	material.3502:2	4	material.3504:1	3	material.3506:1	3		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3402	gem.102:1	8	gem.202:1	6	gem.302:1	7	gem.402:1	7	gem.502:1	7	gem.902:1	6		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3403	gem.103:1	8	gem.203:1	6	gem.303:1	7	gem.403:1	7	gem.503:1	7	gem.903:1	3		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3404	gem.104:1	8	gem.204:1	6	gem.304:1	7	gem.404:1	7	gem.504:1	7	gem.904:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3501	user.coin:40	100	material.21:5	100	material.26:1	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	3
3502	user.cash:15	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3503	user.coin:160	100	material.21:20	100	material.26:4	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	3
3504	user.cash:25	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3505	user.coin:280	100	material.21:35	100	material.26:7	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	3
3506	user.cash:55	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3901	material.50:1	16	material.51:1	8	material.52:1	4	material.53:1	1	material.54:1	16	material.55:1	12		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
4001	user.gold:50000	1	material.19:5	1	material.21:10	1	material.26:5	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	4
4002	user.gold:100000	1	material.19:10	1	material.21:20	1	material.26:10	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	4
4003	user.gold:200000	1	material.19:20	1	material.22:10	1	material.26:20	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	4
4004	user.gold:400000	1	material.19:40	1	material.22:30	1	material.26:35	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	4
4005	user.gold:800000	1	material.19:80	1	material.23:10	1	material.26:80	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	4
4006	material.3505:5	1	material.3506:5	1	material.23:65	1	material.26:160	1	material.3203:10	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	5
4007	card.94:1	3	card.95:1	1	card.96:1	3	card.97:1	5	card.98:1	3	card.99:1	1	card.100:1	5	card.101:1	5	card.102:1	3	card.103:1	5	card.93:1	5		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
4008	material.100:1	4	material.101:1	4	material.102:1	1	material.103:1	1	material.104:1	4	material.105:1	4	material.106:1	4	material.107:1	1	material.108:1	4	material.109:1	4	material.110:1	4	material.111:1	4	material.112:1	4	material.113:1	4	material.100:2	12	material.101:2	12	material.102:2	3	material.103:2	3	material.104:2	12	material.105:2	12	material.106:2	12	material.107:2	3	material.108:2	12	material.109:2	12	material.110:2	12	material.111:2	12	material.112:2	12	material.113:2	12	material.100:3	4	material.101:3	4	material.102:3	1	material.103:3	1	material.104:3	4	material.105:3	4	material.106:3	4	material.107:3	1	material.108:3	4	material.109:3	4	material.110:3	4	material.111:3	4	material.112:3	4	material.113:3	4	1
4009	material.121:1	1	material.122:1	1	material.123:1	1	material.124:1	1	material.125:1	1	material.126:1	1	material.127:1	1	material.128:1	1	material.129:1	1	material.130:1	1	material.131:1	1	material.121:2	3	material.122:2	3	material.123:2	3	material.124:2	3	material.125:2	3	material.126:2	3	material.127:2	3	material.128:2	3	material.129:2	3	material.130:2	3	material.131:2	3	material.121:3	1	material.122:3	1	material.123:3	1	material.124:3	1	material.125:3	1	material.126:3	1	material.127:3	1	material.128:3	1	material.129:3	1	material.130:3	1	material.131:3	1		0		0		0		0		0		0		0		0		0	1
3411	gem.101:1	8	gem.201:1	6	gem.301:1	7	gem.401:1	7	gem.501:1	14	gem.901:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3412	gem.102:1	8	gem.202:1	6	gem.302:1	7	gem.402:1	7	gem.502:1	14	gem.902:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3413	gem.103:1	8	gem.203:1	6	gem.303:1	7	gem.403:1	7	gem.503:1	14	gem.903:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3414	gem.104:1	8	gem.204:1	6	gem.304:1	7	gem.404:1	7	gem.504:1	14	gem.904:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3415	gem.105:1	8	gem.205:1	6	gem.305:1	7	gem.405:1	7	gem.505:1	14	gem.905:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3416	gem.106:1	8	gem.206:1	6	gem.306:1	7	gem.406:1	7	gem.506:1	14	gem.906:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3417	gem.107:1	8	gem.207:1	6	gem.307:1	7	gem.407:1	7	gem.507:1	14	gem.907:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3418	gem.108:1	8	gem.208:1	6	gem.308:1	7	gem.408:1	7	gem.508:1	14	gem.908:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3419	gem.109:1	8	gem.209:1	6	gem.309:1	7	gem.409:1	7	gem.509:1	14	gem.909:1	1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3420	material.3412:1	1000	user.food:100	1000	user.gold:50000	1000	material.28:1	1000	material.19:1	1000	material.21:1	100	material.26:1	100	material.4007:1	3	material.3202:1	3	material.3203:1	3		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
3421	user.food:200	1000	user.gold:100000	1000	material.29:1	1000	material.3412:1	1000	material.19:2	100	material.21:5	100	material.26:2	100	material.4007:1	3	material.3202:1	3	material.3203:1	3		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
5001	material.19:20	100	material.22:10	100	material.26:10	50	material.29:5	5	material.3413:1	100	gem.901:1	100	material.3203:1	100	material.82:1	50	user.gold:1000000	100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	1
5002	gem.108:1	1	gem.208:1	1	gem.308:1	1	gem.408:1	1	gem.508:1	1	gem.107:1	1	gem.207:1	1	gem.307:1	1	gem.407:1	1	gem.507:1	1	gem.106:1	5	gem.206:1	5	gem.306:1	5	gem.406:1	5	gem.506:1	5	gem.105:1	20	gem.205:1	20	gem.305:1	20	gem.405:1	20	gem.505:1	20	gem.104:1	500	gem.204:1	500	gem.304:1	500	gem.404:1	500	gem.504:1	500	gem.103:1	2000	gem.203:1	2000	gem.303:1	2000	gem.403:1	2000	gem.503:1	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
