活动编号	编号	等级限制	奖励	权重	货币类型(cash,gold,honor)	购买价格	原价
pawn	2103	1	user.cash:400	1	cash	300	400
pawn	2104	1	user.cash:400	1	cash	300	400
pawn	2105	1	user.cash:400	1	cash	300	400
pawn	2201	1	user.cash:400	1	cash	300	400
pawn	2202	1	user.cash:450	1	cash	350	450
pawn	2203	1	user.cash:450	1	cash	350	450
pawn	2204	1	user.cash:450	1	cash	350	450
pawn	2205	1	user.cash:450	1	cash	350	450
pawn	2301	1	user.soul:8000	1	cash	850	1700
pawn	2302	1	card.98:1	1	cash	850	1700
pawn	2303	1	card.99:1	1	cash	850	1700
pawn	2304	1	material.22:40	1	cash	160	320
pawn	2305	1	material.3414:2	1	cash	162	324
pawn	3101	1	user.cash:400	1	cash	300	400
pawn	3102	1	user.cash:400	1	cash	300	400
pawn	3103	1	user.cash:400	1	cash	300	400
pawn	3104	1	user.cash:400	1	cash	300	400
pawn	3105	1	user.cash:400	1	cash	300	400
pawn	3201	1	user.cash:450	1	cash	350	450
pawn	3202	1	user.cash:450	1	cash	350	450
pawn	3203	1	user.cash:450	1	cash	350	450
pawn	3204	1	user.cash:450	1	cash	350	450
pawn	3205	1	user.cash:450	1	cash	350	450
pawn	3301	1	user.soul:8000	1	cash	850	1700
pawn	3302	1	card.98:1	1	cash	850	1700
pawn	3303	1	card.99:1	1	cash	850	1700
pawn	3304	1	material.22:40	1	cash	160	320
pawn	3305	1	material.3414:2	1	cash	162	324
pawn	4101	1	user.cash:400	1	cash	300	400
pawn	4102	1	user.cash:400	1	cash	300	400
pawn	4103	1	user.cash:400	1	cash	300	400
pawn	4104	1	user.cash:400	1	cash	300	400
pawn	4105	1	user.cash:400	1	cash	300	400
pawn	4201	1	user.cash:450	1	cash	350	450
pawn	4202	1	user.cash:450	1	cash	350	450
pawn	4203	1	user.cash:450	1	cash	350	450
pawn	4204	1	user.cash:450	1	cash	350	450
pawn	4205	1	user.cash:450	1	cash	350	450
pawn	4301	1	card.120:1	1	cash	4000	8000
pawn	4302	1	user.soul:8000	1	cash	850	1700
pawn	4303	1	user.soul:8000	1	cash	850	1700
pawn	4304	1	material.23:40	1	cash	640	1280
pawn	4305	1	material.3415:2	1	cash	486	972
pawn	5101	1	user.cash:400	1	cash	300	400
pawn	5102	1	user.cash:400	1	cash	300	400
pawn	5103	1	user.cash:400	1	cash	300	400
pawn	5104	1	user.cash:400	1	cash	300	400
pawn	5105	1	user.cash:400	1	cash	300	400
pawn	5201	1	user.cash:450	1	cash	350	450
pawn	5202	1	user.cash:450	1	cash	350	450
pawn	5203	1	user.cash:450	1	cash	350	450
pawn	5204	1	user.cash:450	1	cash	350	450
pawn	5205	1	user.cash:450	1	cash	350	450
pawn	5301	1	card.120:1	1	cash	4000	8000
pawn	5302	1	user.soul:8000	1	cash	900	1700
pawn	5303	1	user.soul:8000	1	cash	900	1700
pawn	5304	1	material.23:40	1	cash	768	1280
pawn	5305	1	material.3415:2	1	cash	680	972
pawn	6101	1	user.cash:400	1	cash	300	400
pawn	6102	1	user.cash:400	1	cash	300	400
pawn	6103	1	user.cash:400	1	cash	300	400
pawn	6104	1	user.cash:400	1	cash	300	400
pawn	6105	1	user.cash:400	1	cash	300	400
pawn	6201	1	user.cash:450	1	cash	350	450
pawn	6202	1	user.cash:450	1	cash	350	450
pawn	6203	1	user.cash:450	1	cash	350	450
pawn	6204	1	user.cash:450	1	cash	350	450
pawn	6205	1	user.cash:450	1	cash	350	450
pawn	6301	1	card.121:1	1	cash	4000	8000
pawn	6302	1	user.soul:8000	1	cash	900	1700
pawn	6303	1	material.19:200	1	cash	720	1200
pawn	6304	1	material.23:40	1	cash	768	1280
pawn	6305	1	material.3415:2	1	cash	680	972
pawn	7101	1	user.cash:400	1	cash	300	400
pawn	7102	1	user.cash:400	1	cash	300	400
pawn	7103	1	user.cash:400	1	cash	300	400
pawn	7104	1	user.cash:400	1	cash	300	400
pawn	7105	1	user.cash:400	1	cash	300	400
pawn	7201	1	user.cash:450	1	cash	350	450
pawn	7202	1	user.cash:450	1	cash	350	450
pawn	7203	1	user.cash:450	1	cash	350	450
pawn	7204	1	user.cash:450	1	cash	350	450
pawn	7205	1	user.cash:450	1	cash	350	450
pawn	7301	1	card.121:1	1	cash	4000	8000
pawn	7302	1	user.soul:8000	1	cash	900	1700
pawn	7303	1	material.19:100	1	cash	720	1200
pawn	7304	1	material.23:40	1	cash	768	1280
pawn	7305	1	material.3415:2	1	cash	680	972
pawn	8101	1	user.cash:400	1	cash	300	400
pawn	8102	1	user.cash:400	1	cash	300	400
pawn	8103	1	user.cash:400	1	cash	300	400
pawn	8104	1	user.cash:400	1	cash	300	400
pawn	8105	1	user.cash:400	1	cash	300	400
pawn	8201	1	user.cash:450	1	cash	350	450
pawn	8202	1	user.cash:450	1	cash	350	450
pawn	8203	1	user.cash:450	1	cash	350	450
pawn	8204	1	user.cash:450	1	cash	350	450
pawn	8205	1	user.cash:450	1	cash	350	450
pawn	8301	1	card.121:1	1	cash	4000	8000
pawn	8302	1	user.soul:8000	1	cash	900	1700
pawn	8303	1	material.19:200	1	cash	720	1200
pawn	8304	1	material.23:40	1	cash	768	1280
pawn	8305	1	material.3415:2	1	cash	680	972
pawn	9101	1	user.cash:400	1	cash	300	400
pawn	9102	1	user.cash:400	1	cash	300	400
pawn	9103	1	user.cash:400	1	cash	300	400
pawn	9104	1	user.cash:400	1	cash	300	400
pawn	9105	1	user.cash:400	1	cash	300	400
pawn	9201	1	user.cash:450	1	cash	350	450
pawn	9202	1	user.cash:450	1	cash	350	450
pawn	9203	1	user.cash:450	1	cash	350	450
pawn	9204	1	user.cash:450	1	cash	350	450
pawn	9205	1	user.cash:450	1	cash	350	450
pawn	9301	1	card.121:1	1	cash	4000	8000
pawn	9302	1	material.82:20	1	cash	1400	2000
pawn	9303	1	material.19:400	1	cash	1440	2400
pawn	9304	1	material.3416:3	1	cash	2700	4374
pawn	9305	1	material.3416:2	1	cash	1800	2916
pawn	10101	1	user.cash:400	1	cash	300	400
pawn	10102	1	user.cash:400	1	cash	300	400
pawn	10103	1	user.cash:400	1	cash	300	400
pawn	10104	1	user.cash:400	1	cash	300	400
pawn	10105	1	user.cash:400	1	cash	300	400
pawn	10201	1	user.cash:450	1	cash	350	450
pawn	10202	1	user.cash:450	1	cash	350	450
pawn	10203	1	user.cash:450	1	cash	350	450
pawn	10204	1	user.cash:450	1	cash	350	450
pawn	10205	1	user.cash:450	1	cash	350	450
pawn	10301	1	card.121:1	1	cash	4000	8000
pawn	10302	1	material.82:20	1	cash	1400	2000
pawn	10303	1	material.19:400	1	cash	1440	2400
pawn	10304	1	material.3416:3	1	cash	2700	4374
pawn	10305	1	material.3416:2	1	cash	1800	2916
pawn	11101	1	user.cash:400	1	cash	300	400
pawn	11102	1	user.cash:400	1	cash	300	400
pawn	11103	1	user.cash:400	1	cash	300	400
pawn	11104	1	user.cash:400	1	cash	300	400
pawn	11105	1	user.cash:400	1	cash	300	400
pawn	11201	1	user.cash:450	1	cash	350	450
pawn	11202	1	user.cash:450	1	cash	350	450
pawn	11203	1	user.cash:450	1	cash	350	450
pawn	11204	1	user.cash:450	1	cash	350	450
pawn	11205	1	user.cash:450	1	cash	350	450
pawn	11301	1	card.121:1	1	cash	4000	8000
pawn	11302	1	material.82:20	1	cash	1400	2000
pawn	11303	1	material.19:400	1	cash	1440	2400
pawn	11304	1	material.3416:3	1	cash	2700	4374
pawn	11305	1	material.3416:2	1	cash	1800	2916
pawn	12101	1	user.cash:400	1	cash	300	400
pawn	12102	1	user.cash:400	1	cash	300	400
pawn	12103	1	user.cash:400	1	cash	300	400
pawn	12104	1	user.cash:400	1	cash	300	400
pawn	12105	1	user.cash:400	1	cash	300	400
pawn	12201	1	user.cash:450	1	cash	350	450
pawn	12202	1	user.cash:450	1	cash	350	450
pawn	12203	1	user.cash:450	1	cash	350	450
pawn	12204	1	user.cash:450	1	cash	350	450
pawn	12205	1	user.cash:450	1	cash	350	450
pawn	12301	1	card.121:1	1	cash	4000	8000
pawn	12302	1	material.82:20	1	cash	1400	2000
pawn	12303	1	material.19:400	1	cash	1440	2400
pawn	12304	1	material.3416:3	1	cash	2700	4374
pawn	12305	1	material.3416:2	1	cash	1800	2916
