编号	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	士气
159	525085	525085		110085	410085	310085	210085	510085		210085	496852	6900	813	635	392
160	326085	326085		111085	411085	311085	211085	511085		211085	500577	7000	816	636	392
161	125086	125086		110086	410086	310086	210086	510086		210086	519502	7100	819	637	394
162	226086	226086		111086	411086	311086	211086	511086		211086	519314	7200	822	638	394
163	325087	325087		110087	410087	310087	210087	510087		210087	533085	7300	825	639	396
164	526087	526087		111087	411087	311087	211087	511087		211087	536351	7400	828	640	396
165	125088	125088		110088	410088	310088	210088	510088		210088	547160	7500	831	641	399
166	426088	426088		111088	411088	311088	211088	511088		211088	535362	7600	834	642	399
167	225089	225089		110089	410089	310089	210089	510089		210089	586724	7700	837	643	401
168	326089	326089		111089	411089	311089	211089	511089		211089	596046	7800	840	644	401
169	425090	425090		110090	410090	310090	210090	510090		210090	613778	7900	843	645	404
170	326090	326090		111090	411090	311090	211090	511090		211090	636889	8000	846	646	404
171	525091	525091		110091	410091	310091	210091	510091		210091	653654	8100	849	647	406
172	126091	126091		111091	411091	311091	211091	511091		211091	657403	8200	852	648	406
173	425092	425092		110092	410092	310092	210092	510092		210092	648039	8300	855	649	408
174	126092	126092		111092	411092	311092	211092	511092		211092	672139	8400	858	650	408
175	325093	325093		110093	410093	310093	210093	510093		210093	681506	8500	861	651	411
176	126093	126093		111093	411093	311093	211093	511093		211093	685794	8600	864	652	411
177	325094	325094		110094	410094	310094	210094	510094		210094	740779	8700	867	653	413
178	126094	126094		111094	411094	311094	211094	511094		211094	747572	8800	870	654	413
179	325095	325095		110095	410095	310095	210095	510095		210095	791761	8900	873	655	416
180	226095	226095		111095	411095	311095	211095	511095		211095	790601	9000	876	656	416
181	225096	310096	110096	110096	225096	510096		210096		410096	820382	9100	879	657	418
182	126096		111096	311096		411096	211096	126096	411096	411096	803917	9200	882	658	418
183	225097	110097	310097	310097	225097	210097		410097		510097	835890	9300	885	659	420
184	126097	111097	111097	126097	311097	311097		211097	211097		859971	9400	888	660	420
185	225098	110098	310098	310098	225098	210098		410098		510098	859677	9500	891	661	423
186	326098	111098		311098	311098	326098	211098	411098		211098	867035	9600	894	662	423
187	125099		110099	310099		410099	210099	125099	410099	410099	902405	9700	897	663	425
188	126099	111099	111099	126099	311099	311099		211099	211099		957789	9800	900	664	425
189	325100	110100		310100	310100	325100	210100	410100		210100	1002624	9900	903	665	428
190	326100	111100		311100	311100	326100	211100	411100		211100	1011279	10000	906	666	428
191	125101	110101	110101	125101	310101	310101		210101	210101		1061603	10100	909	667	430
192	226101	311101	111101	111101	226101	511101		211101		411101	1046030	10200	912	668	430
193	525102	110102	110102	110102	210102	110102		525102	410102		1068281	10300	915	669	432
194	126102		111102	311102		411102	211102	126102	411102	411102	1029088	10400	918	670	432
195	125103			125103	210103	310103	310103	410103	210103	210103	1071729	10500	921	671	435
196	426103	311103	111103	311103		311103	211103	426103		411103	1052221	10600	924	672	435
197	525104	110104	110104	110104	210104	110104		525104	410104		1200571	10700	927	673	437
198	426104	311104	111104	311104		311104	211104	426104		411104	1160359	10800	930	674	437
199	525105	110105	110105	110105	210105	110105		525105	410105		1289037	10900	933	675	440
200	126105			126105	211105	311105	311105	411105	211105	211105	1280712	11000	936	676	440
201	225106	225106		110106	410106	310106	210106	510106		210106	1312927	11100	939	677	442
202	126106	126106		111106	411106	311106	211106	511106		211106	1336344	11200	942	678	442
203	525107	525107		110107	410107	310107	210107	510107		210107	1355654	11300	945	679	444
204	426107	426107		111107	411107	311107	211107	511107		211107	1310520	11400	948	680	444
205	325108	325108		110108	410108	310108	210108	510108		210108	1377479	11500	951	681	447
206	226108	226108		111108	411108	311108	211108	511108		211108	1380240	11600	954	682	447
207	325109	325109		110109	410109	310109	210109	510109		210109	1510936	11700	957	683	449
208	426109	426109		111109	411109	311109	211109	511109		211109	1463040	11800	960	684	449
209	125110	125110		110110	410110	310110	210110	510110		210110	1645834	11900	963	685	452
210	226110	226110		111110	411110	311110	211110	511110		211110	1637541	12000	966	686	452
211	325111	325111		110111	410111	310111	210111	510111		210111	1662573	12100	969	687	454
212	426111	426111		111111	411111	311111	211111	511111		211111	1609915	12200	972	688	454
213	125112	125112		110112	410112	310112	210112	510112		210112	1695821	12300	975	689	456
214	526112	526112		111112	411112	311112	211112	511112		211112	1712915	12400	978	690	456
215	225113	225113		110113	410113	310113	210113	510113		210113	1714306	12500	981	691	459
216	426113	426113		111113	411113	311113	211113	511113		211113	1683344	12600	984	692	459
217	325114	325114		110114	410114	310114	210114	510114		210114	1929554	12700	987	693	461
218	526114	526114		111114	411114	311114	211114	511114		211114	1957046	12800	990	694	461
219	125115	125115		110115	410115	310115	210115	510115		210115	1962942	12900	993	695	464
220	126115	126115		111115	411115	311115	211115	511115		211115	1979660	13000	996	696	464
1002101	127018				127018	212018					4795	242	170	170	231
1002102	325019			310019			325019				4818	244	175	175	233
1002103	126019	126019			311019						4819	246	180	180	233
1002401	227020						227020		412020		5223	254	200	200	236
1002402	325021		210021	110007	325021						6820	256	205	205	238
1002403	426021	426021			111021			311009			6757	258	210	210	238
1002404	227021	212021	227021	212011							7239	260	215	215	238
1002405	325022			410022				510013	325022		7342	262	220	220	240
1002406	126022	126022	211022					511015			7602	264	225	225	240
1004501	327028	112028	327028	112023				312017			15414	290	290	290	200
1004502	127029			127029	112029	212025		412019			17004	294	300	300	200
1004503	228029			228029	413029		213027		513021		17567	294	300	300	200
1004504	227030	112030		227030				512029	412023		19343	298	310	310	200
1004505	328030	113030		113031		328030			213025		21266	298	310	310	200
1005301	327033		112033		312033		327033		412029		25687	310	340	340	200
1005302	528033		113033		313033			513031	528033		26204	310	340	340	200
1007201	327042	327042		312042	512042	112042	212042	412023			59807	700	430	422	204
1007202	428042	113042	313042	113042	428042			213042	413026		60236	700	430	422	204
1007203	127043		112043		112043	212043	127043	412043		412029	62636	800	440	428	206
1007204	427044	112044	112044	112044	427044	312044			212032		65900	900	450	434	208
1007301	329042	114042		314042	314042		214042	329042		414032	63672	700	430	422	204
1007302	128043	113043		128043	213043	313043		413043		513035	65038	800	440	428	206
1007303	429043	114043		314043		314043	214043	429043	414038		66071	800	440	428	206
1008601	327049	112049	112049	112049	212049		212049	327049		412032	96133	1400	500	464	218
1008602	428049	313049	313049	313049	428049	113049		413049	413035		94725	1400	500	464	218
1009601	127054	112054	112054	127054	312054	312054		212054	212054		130441	1900	550	494	228
1009602	428054	213054	313054		313054	428054		413054	513054	113054	127152	1900	550	494	228
1009603	327055			112055	412055	412055	327055	212055	512055	512055	138645	2000	560	500	230
1009604	228055	513055		313055	213055	228055	413055	413055	213055		139437	2000	560	500	230
1010301	327056	312056	112056	112056	327056	512056		212056		412056	148935	2100	570	506	232
1010302	228056	313056	113056	113056	228056	513056		213056		413056	149183	2100	570	506	232
1010303	327059	312059	112059	112059	327059	512059		212059		412059	164870	2400	600	524	238
1010304	427060	312060	112060	112060	427060	512060		212060		412060	171121	2500	610	530	240
1011201	127062	312062	112062	112062	127062	512062		212062		412062	184456	2700	630	542	244
1011202	228062	313062	113062	113062	228062	513062		213062		413062	184986	2700	630	542	244
1012801	327070	312070	112070	112070	327070	512070		212070		412070	266908	3000	710	590	260
1012802	128070	313070	113070	113070	128070	513070		213070		413070	268165	3000	710	590	260
1012803	227071	312071	112071	112071	227071	512071		212071		412071	276423	3000	720	596	262
1012804	428071	313071	113071	113071	428071	513071		213071		413071	272535	3000	720	596	262
1012805	227072	312072	112072	112072	227072	512072		212072		412072	282220	3000	730	602	264
1013101	129071	314071	114071	114071	129071	514071		214071		414071	280001	3000	720	596	262
1013102	228072	313072	113072	113072	228072	513072		213072		413072	283596	3000	730	602	264
1013401	227073	312073	112073	112073	227073	512073		212073		412073	291053	3000	740	608	266
1013402	128073	313073	113073	113073	128073	513073		213073		413073	293604	3000	740	608	266
1015201	127082	312082	112082	112082	127082	512082		212082		412082	433675	6400	798	630	284
1015202	228082	313082	113082	113082	228082	513082		213082		413082	433269	6400	798	630	284
1015203	127083	312083	112083	112083	127083	512083		212083		412083	444117	6600	804	632	286
1015204	327084	312084	112084	112084	327084	512084		212084		412084	475008	6800	810	634	288
1015601	128084	313084	113084	113084	128084	513084		213084		413084	477878	6800	810	634	288
1015602	329084	314084	114084	114084	329084	514084		214084		414084	480742	6800	810	634	288
1016301	127087	312087	112087	112087	127087	512087		212087		412087	541660	7400	828	640	294
1016302	327088	312088	112088	112088	327088	512088		212088		412088	555889	7600	834	642	296
1016303	228088	313088	113088	113088	228088	513088		213088		413088	555430	7600	834	642	296
1016304	427089	312089	112089	112089	427089	512089		212089		412089	583761	7800	840	644	298
1016901	527090	312090	112090	112090	527090	512090		212090		412090	643764	8000	846	646	300
1016902	127091	312091	112091	112091	127091	512091		212091		412091	663395	8200	852	648	302
1016903	328091	313091	113091	113091	328091	513091		213091		413091	667772	8200	852	648	302
1018801	127100		127100		312100	212100	512100	412100	412100	412100	983822	10000	906	666	320
1018802	228100	113100		113100	228100		513100	213100	113100	213100	1038843	10000	906	666	320
1018803	327101	112101		112101	212101		112101	412101	327101	412101	1041478	10200	912	668	322
1018804	428101	313101	313101	313101	113101	113101	113101		428101		1059409	10200	912	668	322
1018805	427102	112102	112102	112102	312102	312102	312102		427102		1067249	10400	918	670	324
1019401	527103	112103		312103	212103	112103		412103	527103	412103	1078155	10600	924	672	326
1019402	128103		113103	313103		413103	213103	128103	413103	413103	1062314	10600	924	672	326
1021201	327112	212112	327112	112112	212112		212112		412112	412112	1665299	12400	978	690	344
1021202	228112	213112	228112	113112	213112		213112		413112	413112	1672932	12400	978	690	344
1021203	127113	212113	127113	112113	212113		212113		412113	412113	1717926	12600	984	692	346
1021204	428113	213113	428113	113113	213113		213113		413113	413113	1652065	12600	984	692	346
1021401	229113	214113	229113	114113	214113		214113		414113	414113	1718916	12600	984	692	346
1021402	529113	214113	529113	114113	214113		214113		414113	414113	1744695	12600	984	692	346
