等级	期望装备打造等级	期望宝石等级	期望蓝将成长	期望紫将成长	期望橙将成长	期望转职等级	期望炼魂等级	期望战斗力	期望普通历练属性	期望特殊历练属性	期望技能等级	期望血A将成长	期望血S将成长
33	6	6	90	110	130	2	0	10402	3	0	9	150	170
34	6	6	90	110	130	2	0	10895	6	0	10	150	170
35	6	12	90	110	130	2	0	12401	9	0	10	150	170
36	6	12	90	110	130	2	0	12605	12	3	11	150	170
37	6	12	90	110	130	2	0	12740	15	3	11	150	170
38	6	18	90	110	130	2	0	12947	18	6	12	150	170
39	6	18	90	110	130	2	0	13091	24	6	12	150	170
40	6	27	90	110	130	3	4	22161	27	6	13	150	170
41	7	27	150	170	190	3	7	23497	33	9	13	210	230
42	7	27	150	170	190	3	8	23815	36	9	14	210	230
43	7	27	150	170	190	3	10	24044	45	12	14	210	230
44	7	27	150	170	190	3	11	24391	51	15	15	210	230
45	7	36	150	170	190	3	13	28401	60	18	15	210	230
46	7	36	150	170	190	3	14	28794	69	18	16	210	230
47	7	36	150	170	190	3	16	29059	78	21	16	210	230
48	7	36	150	170	190	3	17	29476	87	24	17	210	230
49	7	36	150	170	190	3	19	29762	99	27	17	210	230
50	7	45	150	170	190	3	20	36818	108	30	18	210	230
51	8	45	150	170	190	3	22	40434	120	36	18	210	230
52	8	45	150	170	190	3	23	41007	138	39	19	210	230
53	8	45	150	170	190	3	25	41409	156	45	19	210	230
54	8	45	150	170	190	3	26	42014	174	51	20	210	230
55	8	54	220	240	260	3	28	48959	195	57	20	280	300
56	8	54	220	240	260	3	29	49682	216	63	21	280	300
57	8	54	220	240	260	3	31	50173	237	69	21	280	300
58	8	54	220	240	260	3	32	50951	261	78	22	280	300
59	8	54	220	240	260	3	34	51486	288	84	22	280	300
60	8	63	220	240	260	4	35	93860	315	93	23	280	300
61	9	63	220	240	260	4	37	102013	345	102	23	280	300
62	9	63	220	240	260	4	38	103398	381	111	24	280	300
63	9	63	220	240	260	4	40	104358	417	123	24	280	300
64	9	63	220	240	260	4	41	105821	453	135	25	280	300
65	9	63	220	240	260	4	43	106770	492	144	25	280	300
66	10	63	220	240	260	4	44	108300	534	156	26	280	300
67	10	63	220	240	260	4	46	109450	582	171	26	280	300
68	10	63	220	240	260	4	47	111109	630	186	27	280	300
69	10	63	220	240	260	4	49	112309	681	201	27	280	300
70	10	63	300	320	340	4	50	128840	735	216	28	360	380
71	11	63	300	320	340	4	52	143564	789	234	28	360	380
72	11	63	300	320	340	4	53	145696	846	249	29	360	380
73	11	63	300	320	340	4	55	147291	903	267	29	360	380
74	11	63	300	320	340	4	56	149558	963	285	30	360	380
75	11	63	300	320	340	5	58	205188	1026	303	30	360	380
76	12	63	300	320	340	5	59	208248	1095	324	31	360	380
77	12	63	300	320	340	5	61	210499	1167	345	31	360	380
78	12	63	300	320	340	5	62	213670	1242	366	32	360	380
79	12	63	300	320	340	5	64	216097	1317	390	32	360	380
80	12	63	300	320	340	5	65	246172	1395	414	33	360	380
81	13	63	300	320	340	5	67	279780	1476	438	33	360	380
82	13	63	300	320	340	5	68	283868	1557	462	34	360	380
83	13	63	300	320	340	5	70	286928	1641	486	34	360	380
84	13	63	300	320	340	5	71	291284	1728	513	35	360	380
85	13	63	300	320	340	5	73	294688	1824	540	35	360	380
86	14	63	300	320	340	5	74	299393	1923	570	36	360	380
87	14	63	300	320	340	5	76	303030	2022	600	36	360	380
88	14	63	300	320	340	5	77	307852	2124	630	37	360	380
89	14	63	300	320	340	5	79	311636	2229	660	37	360	380
90	14	63	300	320	340	5	80	362611	2334	693	38	360	380
91	15	63	300	320	340	5	82	426572	2451	726	38	360	380
92	15	63	300	320	340	5	83	433354	2571	762	39	360	380
93	15	63	300	320	340	5	85	438707	2691	798	39	360	380
94	15	63	300	320	340	5	86	445684	2817	834	40	360	380
95	15	63	300	320	340	5	88	451406	2943	873	40	360	380
96	16	63	300	320	340	5	89	458535	3072	909	41	360	380
97	16	63	300	320	340	5	91	464400	3201	948	41	360	380
98	16	63	300	320	340	5	92	472093	3336	990	42	360	380
99	16	63	300	320	340	5	94	478159	3471	1029	42	360	380
100	16	63	300	320	340	5	95	486129	3615	1071	43	360	380
101	17	63	300	320	340	5	97	600868	3765	1116	43	360	380
102	17	63	300	320	340	5	98	610552	3915	1161	44	360	380
103	17	63	300	320	340	5	99	618402	4071	1206	44	360	380
104	17	63	300	320	340	5	99	628358	4227	1254	45	360	380
105	17	63	300	320	340	5	99	636179	4386	1299	45	360	380
106	18	63	300	320	340	5	99	646718	4554	1350	46	360	380
107	18	63	300	320	340	5	99	655396	4728	1401	46	360	380
108	18	63	300	320	340	5	99	666411	4902	1455	47	360	380
109	18	63	300	320	340	5	99	675266	5079	1506	47	360	380
110	18	63	300	320	340	5	99	686550	5259	1560	48	360	380
111	19	63	300	320	340	5	99	695869	5442	1614	48	360	380
112	19	63	300	320	340	5	99	707426	5628	1668	49	360	380
113	19	63	300	320	340	5	99	717222	5817	1725	49	360	380
114	19	63	300	320	340	5	99	729213	6006	1782	50	360	380
115	19	63	300	320	340	5	99	739704	6210	1842	50	360	380
116	19	63	300	320	340	5	99	750253	6414	1902	50	360	380
117	19	63	300	320	340	5	99	761159	6621	1965	50	360	380
118	19	63	300	320	340	5	99	771974	6831	2025	50	360	380
119	19	63	300	320	340	5	99	783152	7044	2088	50	360	380
120	19	63	300	320	340	5	99	794617	7257	2154	50	360	380
