名称	变量名	变量值
擂台排名第十金币奖励	Rank10GoldAward	193920
擂台排名第50金币奖励	Rank50GoldAward	82222
军机处开启等级	TechOpenLevel	45
军机处历练过的兵种每日增加概率	TechRateAddDaily	5
军机处历练成功后的减少的概率	TechRateMinus	5
军机处历练成功的概率上限	TechRateMax	100
军机处历练成功的基础概率	TechRateBase	100
转职开放等级	TransferLevelLimit	26
技能残卷抢夺等级	RobFragmentsLevelLimit	15
兵种克制系数	RestraintCoefficient	120
兵种被克系数	ByRestraintCoefficient	80
初始金币数量	InitGold	200000
初始粮草数量	InitFood	6000
初始军功数量	InitHonor	0
开启扫荡等级限制	AutoDuplicateLevelLimit	18
扫荡上限99次开启需求君主等级	AutoDuplicateMaxTimeLevel	45
背包开启等级	KnapsackOpenLevel	5
商城开启等级	StoreOpenLevel	1
打造开启等级	ForgeOpenLevel	10
成就开启等级	AchievementOpenLevel	12
活跃度开启等级	VitilityOpenLevel	22
武将技能开启等级	SkillOpenLevel	15
聊天开启等级	ChatOpenLevel	12
过关斩将开启等级	KillgeneralOpenLevel	17
金矿开启等级	MineOpenLevel	24
武将培养开启等级	FosterOpenLevel	25
训练馆开启等级	TrainingOpenLevel	17
地牢开启等级	DungeonOpenLevel	28
宝石镶嵌开启等级	GemOpenLevel	31
武将炼魂开启等级	SoulOpenLevel	36
勇闯重楼开启等级	TowerOpenLevel	23
擂台奖励更新时间	UpdateRankRewardTime	20
跳过战斗等级	SkipFightLevel	16
橙色武将成就点数	AchievementOrangeScore	5
红色武将成就点数	AchievementRedScore	10
乐不思蜀失败增加权重	TavernRateAdd	0
精英士兵BOSS关卡次数	BestSoldier	12
精英士兵普通关卡次数	NormalSoldier	12
精英士兵挑战总次数	SoldierAttackTimes	6
精英士兵恢复时间（秒）	SoldierColdDomn	7200
精英武将BOSS关卡次数	BestGeneral	12
精英武将普通关卡次数	NormalGeneral	12
精英武将挑战总次数	GeneralAttackTimes	6
精英武将恢复时间（秒）	GeneralColdDomn	7200
怪物宝箱	MonsterBox	1
擂台胜利增加基础经验	VictoryRankExp	30
擂台失败扣除基础经验	FailureRankExp	0
胜利经验增幅系数（等级低于对方）	VictoryIncrease	0.1
胜利经验递减系数（等级高于对方）	VictoryReduce	0.1
失败经验递减系数（等级低于对方）	FailureReduce	0.1
失败经验递增系数（等级高于对方）	FailureIncrease	0.1
怪物宝箱战斗几率	MonsterBoxFightRate	50
地牢机器人产出	PrisonNPCOutput	5000
消息开启等级	MsgOpenLevel	14
好友开启等级	FirendOpenLevel	12
卡牌大师冷却时间（秒）	CardMasterCoolTime	0
卡牌大师一大轮的次数	CardMasterRoundTimes	3
聊天字数上限	DialogLimit	40
战斗力指引箭头显示等级限制	ArrowStrongerLimitLev	20
战斗力指引箭头显示最低等级	ArrowStrongerMinLev	15
购买粮草等级	BuyFoodLevel	1
副本战斗加速开启等级	SpeedOfBattleOpenLev	6
当铺刷新时间间隔（秒）	PawnUpdateInterval	7200
卡牌大师每日免费反悔次数	CardMasterDailyFree	1
勇闯重楼扫荡层数限制	TowerHightLimit	5
勇闯重楼可扫荡的最高层数	FloorReduce	0
扫荡冷却时间（秒）	BattleIceTime	0
琳琅店铺1号位开启等级	FirstPosOpenLev	35
琳琅店铺2号位开启等级	SecondPosOpenLev	35
琳琅店铺3号位开启等级	ThirdPosOpenLev	35
琳琅店铺4号位开启等级	FourthPosOpenLev	40
琳琅店铺5号位开启等级	FifthPosOpenLev	45
琳琅店铺6号位开启等级	SixthPosOpenLev	50
琳琅店铺恢复时间(秒）	HockshopColdDown	300
琳琅店铺上限次数	HockshopTimesLimit	30
琳琅店铺周几特卖(星期几)	PawnSpecialSellWeek	6
琳琅店铺特卖日商品数量	SpecialGoodsNum	5
琳琅店铺平日商品出售数量	GoodsNum	15
琳琅店铺刷新订单元宝基数	PawnOderBase	5
琳琅店铺刷新订单元宝增幅	PawnOderAdd	2
琳琅店铺刷新订单元宝间隔	PawnOderGap	3
仓库道具格子保护上限	InventoryTypeProtectedNum	200
仓库道具格子实际上限	InventoryTypeMaxNum	300
神殿招将开启等级	GetGodRoleOpenLevel	6
解雇返还技能书比例	FireRoleGetSkillBookPercent	100
解雇返还培养丹比例	FireRoleGetGowthItemPercent	100
解雇返还兵符比例	FireRoleGetSoldierPercent	100
基础包玩家强制更新等级	BasePackMaxmimumLevel	35
登陆游戏基础包更新等级	BasePackAlertLevel	30
资源服务器地址	ResourceServerUri	http://203.195.180.152:12305
擂台排名奖励金币除以军功的倍数	RankGoldDivHonor	15
橙色英雄兑换将魂需求------------（废弃）	RoleRecallSoulorange	6000
白色英雄拆魂------------（废弃）	RoleToSoulwhite	1
蓝将拆将魂数量	RoleToSoulblue	5
紫将拆将魂数量	RoleToSoulpurple	10
橙将拆将魂数量	RoleToSoulorange	75
红将a拆将魂数量===============(字段修改)	RoleToSoulared	600
红将s拆将魂数量++++++++++++++（新增）	RoleToSoulsred	1000
将魂兑换红将a数量===============(字段修改)	RoleRecallSoulared	800
将魂兑换红将s数量++++++++++++++（新增）	RoleRecallSoulsred	8000
蓝色武将卡炼魂经验	BlueCardSoulExp	10
紫色武将卡炼魂经验	PurpleCardSoulExp	20
橙色武将卡炼魂经验	OrangeCardSoulExp	400
红色a武将卡炼魂经验===============(字段修改)	AredCardSoulExp	4000
红色s武将卡炼魂经验++++++++++++++（新增）	SredCardSoulExp	10000
神殿金币招募翻倍系数	GetGodRolePricePercent	132
神殿金币招将初始价格	TempleBuyRolePrice	1000
神殿元宝单次招将	TempleCashBuyRoleOnce	280
神殿元宝十次招将	TempleCashBuyRoleTenTimes	2520
神殿免费元宝招将时间间隔（秒）	TempleCashInterval	172800
神殿红将刷新时间间隔（秒）	TempleRedRoleChangeInterval	21600
成长值转化属性缩小系数	GrouthToAttrShrinkFactor	2
布阵	Embattle	6
铁匠铺	Blacksmith	5
武将	Hero	2
活动大厅开启	ActivitiesOpenLevel	20
变强开启	StrengthenOpenLevel	5
普通战斗速度参数	PlaySpeed	0.08
加速战斗速度参数	PlaySpeedHi	0.035
首抽武将	FirstAred	71
征战引导箭头最早出现关卡ID	ArrowBeginVeryFirst	3
征战中“返回”开启等级限制	ReturnOpenLevel	3
征战章节切换按钮等级限制	ChapterButtonOpenLevel	10
公告栏开启等级	BulletinOpenLevel	21
月卡人民币购买价格	MonthCardPrice	25
购买月卡瞬间得元宝的倍数	MonthCardTimes	10
月卡每日发放元宝数	EverydayCash	120
月卡有效天数	MonthCardDays	30
千重楼活动持续时间(s)	TowerActivityTime	604800
千重楼活动领奖时间(s)	GetTowerActivityRewardTime	259200
神将放送吕布需求关卡星星	GodRequiredStar	150
神将放送武将编号1	GodRid	98
神将放送诸葛亮需求关卡星星	GodTwoRequiredStar	300
神将放送武将编号2	GodTwoRid	99
招募吕布开启等级	RecruitLvBuOpenLevel	13
神殿元宝刷新价格	TempleCashUpdatePrice	38
主城引导征战等级上限	GuideBattleMaxLevel	15
美人引导配表ID	MapGuideID	1195270
技能残卷抢夺获取概率	RobFragmentsRate	80
擂台排行显示最大页数	ArenaRankMaxPage	50
解雇开启等级	LayoffOpenLevel	6
首充开启等级	TopUpOpenLevel	3
命运之轮免费转动次数	TurnWheelForFreeTimes	1
新签到活动周期天数	NewSignCycleDays	30
新签到补签元宝花费	NewSignOnceCash	10
军团开启等级	LegionOpenLevel	21
幸运卡牌最大翻牌数	LuckyCardMaxNum	6
夏日七天乐领取第一个武将充值天数	GetRoleNeedDays_1	2
夏日七天乐领取第二个武将充值天数	GetRoleNeedDays_2	5
夏日七天乐领取第三个武将充值天数	GetRoleNeedDays_3	7
元宝购买金币开放等级	BuyGoldLevelLimit	23
元宝购买金币最大次数	MaxBuyGoldTimes	3
元宝购买金币公式基础值	BuyGoldFormulaBaseNumber	100000
元宝购买金币公式系数	BuyGoldFormulaCoefficient	3000
主城检查建筑状态间隔	CheckBuildingStatusInterval	300
后台请求建筑状态间隔	RequestBuildingStatusInterval	300
全民达标活动开展天数	AllTargetOpenDays	6
全民达标活额外保留天数	AllTargetReserveDays	8
全民达标活动开启等级	AllTargetOpenLevel	3
世界BOSS基础血量	WorldBossBaseBlood	5000000
世界BOSS每日成长血量	WorldBossGrowBlood	100000
世界BOSS血量最终上限（不可能超过该血量）	WorldBossBloodLimit	1500000000
世界BOSS期望存活时间(min)	WorldBossExpectTime	15
世界BOSS开始时间(hour)	WorldBossStartTime	19.5
世界BOSS鼓舞攻击加成（百分比上限）	WorldBossInspireMaxLimit	100
世界BOSS每次鼓舞攻击加成(百分比)	WorldBossInspireAttackAdd	10
世界BOSS最大持续时间（s）	WorldBossContinueTime	1800
世界BOSS排名显示限制	WorldBossRankLimit	50
世界BOSS复活冷却时间（s）	WorldBossReviveColdTime	60
世界BOSS龙珠清空星期（星期三0点）	WorldBossDragonBallClearDate	3
武将觉醒功能开放等级	RoleAwakeOpenLevel	26
汉墓每日挑战成功次数限制	GraveFightCountLimit	12
技能残卷合成一次产出技能书本数	MergeSkillBookNum	4
解救校花开启等级	SchoolGirlOpenLevel	100
解救校花活动开启时间	SchoolGirlStartTime	2015:10:1:0:0:0
解救校花活动结束时间	SchoolGirlEndTime	2015:12:1:0:0:0
要玩平台ID	FuckingYW	androidyw
要玩平台更新地址	ywUpdateUrl	http://ws.cdn.yaowan.com/mdc/msanguo_
全民福利（个人排行奖励至少花费元宝数）	AllGiftPayMin	1000
全民福利1（个人排行奖励至少花费元宝数）	AllGiftPayMin1	1000
充值嘉年华开启需求充值元宝数	PayCarnivalTotalCash	120
充值嘉年华开启后持续天数	PayCarnivalAwardDays	7
充值嘉年华每日消费奖励需要消费元宝数	PayCarnivalDailyCost	240
福满天下征战掉落福娃概率	NewYearDropFuWaChance	0.1
福满天下每日最多掉落福娃次数	NewYearDropFuWaLimit	3
福满天下活动开始时间	NewYearStartTime	2015:4:1:0:0:0
福满天下活动结束时间	NewYearEndTime	2015:4:8:23:59:59
福满天下活动开启等级	NewYearLevelLimit	20
每日活动中每次免费领取的粮食数	DailyActivityFreeFoodCount	1000
团购每日的轮数 	GroupBuyingRound	4
金币	Gold	金币
粮食	Food	粮食
元宝	Cash	元宝
每日活动中每次免费领取的粮食数	DailyActivityFreeFoodCount	1000
武圣争霸每日匹配次数上限	ServerWarMatchLimitPerDay	50
武圣争霸购买配次数消耗元宝数	ServerWarBuyMatchCash	10
武圣争霸每日挑战次数上限	ServerWarBattleLimitPerDay	10
武圣争霸购买挑战数消耗元宝数	ServerWarBuyBattleCash	10
武圣争霸开放等级限制	ServerWarLevelMin	40
武圣争霸单服参赛人数限制	ServerWarPlayerLimit	2000
武圣争霸匹配人数范围	ServerWarMatchRange	20
武圣争霸实力相同玩家积分差值	ServerWarScoreDiff	1000
武圣争霸各积分段玩家波动系数	ServerWarWaveRatio	100
武圣争霸排行榜更新时间间隔秒	ServerWarRefreshRankTime	300
充值豪礼活动每次消耗积分数	PayCeremonyEachScoreCost	100
充值豪礼活动每日免费获取积分	PayCeremonyDailyFreeScore	300
充值豪礼活动征战掉落宝箱概率	PayCeremonyDropBoxChance	0.1
秒杀记录最大长度	SeckillingRecordLength	40
秒杀近期获奖记录长度	SeckillingLastestLength	7
商城一折秒杀权重	SeckillingSecWeight	80
商城一元秒杀权重 	SeckillingOneWeight	20
商城秒杀开启时间	SeckillingStartTime	11|21
商城秒杀持续时间	SeckillingRemainTime	0.5
技能残卷合成普通暴击几率	MergeSkillBookCritOdds	40
技能残卷合成普通暴击多几本	MergeSkillBookCritAdd	4
技能残卷合成超级暴击几率	MergeSkillBookSuperOdds	20
技能残卷合成超级暴击多几本	MergeSkillBookSuperAdd	8
黑店自动刷新时间间隔	BlackShopRefreshInterval	7200
黑店刷新消耗的材料	BlackShopRefreshMaterialId	83
黑店刷新消耗的材料个数	BlackShopRefreshMaterial	1
黑店刷新消耗的元宝	BlackShopRefreshCash	10
黑店每次出售物品数量	BlackShopSellCount	6
声望商店自动刷新时间间隔	FameShopRefreshInterval	7200
声望商店刷新消耗的声望数量	FameShopRefreshCost	100
声望商店每次出售物品数量	FameShopSellCount	9
每个玩家的好友数量上限	FriendCountLimit	40
每个玩家每次增送的粮草数	FriendGiveFood	40
每个玩家每天收取的粮草数上限	FriendGetFoodLimit	1200
推荐好友的个数	FriendRecommendCount	5
炼魂材料ID（解雇返还用）	SoulMaterialIds	3306|3307|3308|3309
炼魂连续使用经验道具时间间隔（单位/秒）	Soullongpress	0.3
草船借箭每日免费一箭单发次数	BorrowArrowDailyFreeCount	5
草船借箭每日清一箭单发CD花费元宝数	BorrowArrowCDCashCost	5
草船借箭进全服个人排行榜所需借箭数	BorrowArrowRankArrowMin	200
草船借箭每日免费一箭单发间隔时间秒	BorrowArrowOneShotIntervalTime	3600
草船借箭全服个人排行榜进榜最大人数	BorrowArrowRankUserLimit	10
越南APP过审	VnAPPpanel	2
越南支付平台	VnPayPlatform	2
成长礼包价格	LevelUpGiftPrice	999
武将列表开放等级	ChipOpenLevel	13
幸运转每日赠送的积分数	LuckyRollGiveScore	500
幸运转转动基础消耗积分数	LuckyRollBaseScoreCost	100
幸运转多倍后下次转动增加消耗积分数	LuckyRollMultiRollScoreCost	50
幸运转排行榜最低转动次数	LuckyRollRankMinRollCount	30
充值返利进全服排行最少充值元宝数	PayRebateRankCashMin	3000
充值返利全服排行榜最大人数限制	PayRebateRankUserLimit	10
军团战占领城池获得的积分	LegionWarOccupyAddScore	200
军团战击杀敌军获得的军衔经验	LegionWarKillAddGradeXp	10
金币套马道具	GoldCatchHorseMaterial	5200
元宝套马道具	CashCatchHorseMaterial	5201
坐骑开启等级	RideOpenLevel	50
马匹数量上限	MaxHorseNum	500
宝石大师升级需要的达到条件的宝石个数	GemMasterTheGemCount	9
充值消费排行榜进榜充值元宝	PayCostRankPayCash	3000
充值消费排行榜进榜消费元宝	PayCostRankCostCash	3000
玩家角色名长度限制	UserNameMaxLength	15
OB开启等级	OBOpenLevel	100
