神将	兵种类型	兵种等级	普通攻击特效作用于对方	普通攻击移动到目标	普通攻击动作延时	普通攻击特效延时	普通攻击音效延时	普通攻击受击开始延时	普通攻击完结延迟	普通攻击动作名称	技能1作用于对方	技能1移动到目标	技能1动作延时	技能1特效延时	技能1音效延时	技能1受击开始延时	技能1攻击后延迟	技能1动作名称	技能3作用于对方	技能3移动延迟	技能3动作延时	技能3特效延时	技能3音效延时	技能3受击开始延时	技能3攻击后延迟	技能3动作名称	技能5作用于对方	技能5移动时长	技能5动作延时	技能5特效延时	技能5音效延时	技能5受击开始延时	技能5攻击后延迟	技能5动作名称
0	3	12	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	13	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	14	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	3	15	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
0	4	1	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	2	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	3	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	4	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	5	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	6	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	7	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	8	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	9	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	10	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	11	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	12	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	13	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	14	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	4	15	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
0	5	1	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	2	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	3	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	4	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	5	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	6	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	7	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	8	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	9	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	10	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	11	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	12	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	13	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	14	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
0	5	15	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
1	350100	5	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack*2	1	1	0	0	0	6	3	attack
1	351100	5	1	1	0	2	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	1	0	6	0	attack	1	1	0	0	0	6	1	attack
1	352100	5	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	attack
1	353100	5	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	attack	1	0	5	0	0	6	0	attack	1	0	0	0	0	12	0	attack
1	354100	5	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	attack	0	0	0	3	0	11	0	attack	0	0	0	3	0	11	6	attack
1	94	5	1	1	0	1	0	4	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	14	0	attack	1	1	0	0	0	6	3	skill05
1	96	5	1	2	0	2	0	7	0	attack	1	2	0	0	0	7	0	skill01	1	2	0	1	0	7	0	skill01	1	2	0	0	0	7	1	skill01
1	98	5	1	1	0	3	0	6	0	attack	1	1	0	0	0	6	0	attack	1	1	0	0	0	8	0	attack	1	0	0	0	0	19	0	skill05
1	99	5	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	skill03	1	0	5	0	0	6	0	skill03	1	0	0	0	0	12	0	skill03
1	102	5	1	0	0	5	0	10	0	attack	1	0	0	0	0	10	5	skill01	0	0	0	3	0	11	0	skill01	0	0	0	3	0	11	6	skill01
1	119	5	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	skill01	1	0	5	0	0	6	0	skill01	1	0	0	0	0	12	0	skill01
1	120	5	1	0	0	3	0	10	0	attack	1	0	0	0	0	10	0	skill01	1	0	5	0	0	6	0	skill01	1	0	0	0	0	12	0	skill01
1	121	5	1	2	0	2	0	7	0	attack	1	2	0	0	0	7	0	skill01	1	2	0	1	0	7	0	skill01	1	2	0	0	0	7	1	skill01
