关卡编号	索引	掉落类型	奖励（普通)	是否随机	随机权重	奖励（困难）	是否随机	随机权重	奖励（地狱）	是否随机	随机权重
4001	3	0	material.21:1	0							
5001	1	0	material.1007:1	0							
5001	2	0	user.gold:700	0							
5001	3	0	material.21:1	0							
5002	1	0	material.1008:1	0							
5002	2	0	user.gold:800	0							
5002	3	0	material.21:1	0							
6001	1	0	material.1009:1	0							
6001	2	0	user.gold:900	0							
6001	3	0	material.21:1	0							
6002	1	0	material.1010:1	0							
6002	2	0	user.gold:1000	0							
6002	3	0	material.21:1	0							
7001	1	0	material.1011:1	0							
7001	2	0	user.gold:1100	0							
7001	3	0	material.21:1	0							
7002	1	0	material.1012:1	0							
7002	2	0	user.gold:1200	0							
7002	3	0	material.21:1	0							
8001	1	0	material.1013:1	0							
8001	2	0	user.gold:1300	0							
8001	3	0	material.21:1	0							
8002	1	0	material.1014:1	0							
8002	2	0	user.gold:1400	0							
8002	3	0	material.21:1	0							
9001	1	0	material.1015:1	0							
9001	2	0	user.gold:1500	0							
9001	3	0	material.21:1	0							
9002	1	0	material.1016:1	0							
9002	2	0	user.gold:1600	0							
9002	3	0	material.21:1	0							
10001	1	0	material.1017:1	0							
10001	2	0	user.gold:1700	0							
10001	3	0	material.21:1	0							
10002	1	0	material.1018:1	0							
10002	2	0	user.gold:1800	0							
10002	3	0	material.21:1	0							
11001	1	0	material.1019:1	0							
11001	2	0	user.gold:1900	0							
11001	3	0	material.21:1	0							
