等级	累计升级经验	出战武将数量	主城征收上限	主城产出效率(perHour)	磨坊生产上限	磨坊产出效率(perHour)	训练馆产出经验	金矿产出系数	臣民每次产出(废弃)	地牢产出(废弃)	装备评分(废弃)	武将位置数量	君主经验	声望
23	26900	4	297000	9900	6000	192	6700	8	919	22990	3	7	285	25
24	34000	4	306000	10200	6000	192	7400	8	947	23680	3	7	295	25
25	42000	4	315000	10500	6000	192	8100	8	975	24390	3	7	305	25
26	51000	4	324000	10800	6000	192	8900	8	1005	25125	3	7	315	25
27	61000	4	333000	11100	6000	192	9800	8	1035	25875	3	7	325	25
28	72100	4	342000	11400	6000	192	10800	8	1066	26655	3	7	335	25
29	84200	4	351000	11700	6000	192	11900	8	1098	27455	3	7	345	25
30	97500	5	360000	12000	6000	192	13000	12	1131	28275	3	8	355	25
31	112500	5	369000	12300	6000	192	14000	12	1165	29125	4	8	365	30
32	129400	5	378000	12600	6000	192	15000	12	1200	30000	4	8	375	30
33	148100	5	387000	12900	6000	192	15000	12	1236	30900	4	8	385	30
34	168900	5	396000	13200	6000	192	15000	12	1273	31825	4	8	395	30
35	191700	6	405000	13500	6000	192	15000	12	1311	32780	4	9	405	30
36	216500	6	414000	13800	6000	192	15000	12	1350	33765	5	9	415	30
37	243600	6	423000	14100	6000	192	15000	12	1391	34775	5	9	425	30
38	272800	6	432000	14400	6000	192	15000	12	1432	35820	5	9	435	30
39	304300	6	441000	14700	6000	192	15000	12	1475	36895	5	9	445	30
40	338200	7	450000	15000	6000	192	15000	18	1520	38000	5	10	455	30
41	386400	7	459000	15300	6000	192	15000	18	1565	39140	6	10	465	35
42	439000	7	468000	15600	6000	192	15000	18	1612	40315	6	10	475	35
43	496200	7	477000	15900	6000	192	15000	18	1661	41525	6	10	485	35
44	558100	7	486000	16200	6000	192	15000	18	1710	42770	6	10	495	35
45	624800	7	495000	16500	6000	192	15000	18	1762	44055	6	10	505	35
46	696400	7	504000	16800	6000	192	15000	18	1815	45375	6	10	515	35
47	773100	7	513000	17100	6000	192	15000	18	1869	46740	7	10	525	35
48	854900	7	522000	17400	6000	192	15000	18	1925	48140	7	10	535	35
49	941900	7	531000	17700	6000	192	15000	18	1983	49585	7	10	545	35
50	1034400	7	540000	18000	6000	192	15000	24	2042	51070	7	10	555	35
51	1157000	7	549000	18300	6000	192	15000	24	2104	52605	8	10	565	40
52	1290100	7	558000	18600	6000	192	15000	24	2167	54185	8	10	575	40
53	1433800	7	567000	18900	6000	192	15000	24	2232	55810	8	10	585	40
54	1588400	7	576000	19200	6000	192	15000	24	2299	57480	8	10	595	40
55	1754100	7	585000	19500	6000	192	15000	24	2368	59205	8	10	605	40
56	1931200	7	594000	19800	6000	192	15000	24	2439	60985	9	10	615	40
57	2119700	7	603000	20100	6000	192	15000	24	2512	62815	9	10	625	40
58	2320000	7	612000	20400	6000	192	15000	24	2587	64695	9	10	635	40
59	2532100	7	621000	20700	6000	192	15000	24	2665	66640	9	10	645	40
60	2756500	7	630000	21000	6000	192	15000	30	2745	68640	10	10	655	40
61	3014000	7	639000	21300	6000	192	15000	30	2827	70695	10	10	665	45
62	3285000	7	648000	21600	6000	192	15000	30	2912	72820	10	10	675	45
63	3569700	7	657000	21900	6000	192	15000	30	3000	75000	10	10	685	45
64	3868300	7	666000	22200	6000	192	15000	30	3090	77250	10	10	695	45
65	4180900	7	675000	22500	6000	192	15000	30	3182	79570	11	10	705	45
66	4507700	7	684000	22800	6000	192	15000	30	3278	81955	11	10	715	45
67	4849000	7	693000	23100	6000	192	15000	30	3376	84415	11	10	725	45
68	5204900	7	702000	23400	6000	192	15000	30	3478	86950	11	10	735	45
69	5575500	7	711000	23700	6000	192	15000	30	3582	89555	11	10	745	45
70	5961100	7	720000	24000	6000	192	15000	38	3689	92245	12	10	753	45
71	6383000	7	729000	24300	6000	192	15000	38	3800	95010	12	10	759	50
72	6821500	7	738000	24600	6000	192	15000	38	3914	97860	12	10	765	50
73	7276600	7	747000	24900	6000	192	15000	38	4032	100800	12	10	771	50
74	7748600	7	756000	25200	6000	192	15000	38	4152	103820	12	10	777	50
75	8237600	7	765000	25500	6000	192	15000	38	4277	106935	13	10	783	50
76	8743800	7	774000	25800	6000	192	15000	38	4405	110145	13	10	789	50
77	9267300	7	783000	26100	6000	192	15000	38	4538	113450	13	10	795	50
78	9808300	7	792000	26400	6000	192	15000	38	4674	116855	13	10	801	50
79	10366900	7	801000	26700	6000	192	15000	38	4814	120360	13	10	807	50
80	10943200	7	810000	27000	6000	192	15000	46	4958	123970	14	10	813	50
81	11559000	7	819000	27300	6000	192	15000	46	1	1	1	10	819	55
82	12194400	7	828000	27600	6000	192	15000	46	2	2	2	10	825	55
83	12849400	7	837000	27900	6000	192	15000	46	3	3	3	10	831	55
84	13524400	7	846000	28200	6000	192	15000	46	4	4	4	10	837	55
85	14219300	7	855000	28500	6000	192	15000	46	5	5	5	10	843	55
86	14934400	7	864000	28800	6000	192	15000	46	6	6	6	10	849	55
87	15669600	7	873000	29100	6000	192	15000	46	7	7	7	10	855	55
88	16425300	7	882000	29400	6000	192	15000	46	8	8	8	10	861	55
89	17201200	7	891000	29700	6000	192	15000	46	9	9	9	10	867	55
90	17997800	7	900000	30000	6000	192	15000	54	10	10	10	10	873	55
91	18836800	7	909000	30300	6000	192	15000	54	11	11	11	10	879	60
92	19698700	7	918000	30600	6000	192	15000	54	12	12	12	10	885	60
93	20583300	7	927000	30900	6000	192	15000	54	13	13	13	10	891	60
94	21490800	7	936000	31200	6000	192	15000	54	14	14	14	10	897	60
95	22421200	7	945000	31500	6000	192	15000	54	15	15	15	10	903	60
