强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级	紫色17级	紫色18级	紫色19级
88	984	1056	1216	1724	1924	2820	3716	4812	5988	7484	8980	10996	13012	15908	19004	22900	27596	33292	39988
89	992	1064	1224	1736	1936	2840	3744	4848	6032	7536	9040	11064	13088	15992	19096	23000	27704	33408	40112
90	1000	1072	1232	1748	1948	2860	3772	4884	6076	7588	9100	11132	13164	16076	19188	23100	27812	33524	40236
91	1008	1080	1240	1760	1960	2880	3800	4920	6120	7640	9160	11200	13240	16160	19280	23200	27920	33640	40360
92	1016	1088	1248	1772	1972	2900	3828	4956	6164	7692	9220	11268	13316	16244	19372	23300	28028	33756	40484
93	1024	1096	1256	1784	1984	2920	3856	4992	6208	7744	9280	11336	13392	16328	19464	23400	28136	33872	40608
94	1032	1104	1264	1796	1996	2940	3884	5028	6252	7796	9340	11404	13468	16412	19556	23500	28244	33988	40732
95	1040	1112	1272	1808	2008	2960	3912	5064	6296	7848	9400	11472	13544	16496	19648	23600	28352	34104	40856
96	1048	1120	1280	1820	2020	2980	3940	5100	6340	7900	9460	11540	13620	16580	19740	23700	28460	34220	40980
97	1056	1128	1288	1832	2032	3000	3968	5136	6384	7952	9520	11608	13696	16664	19832	23800	28568	34336	41104
98	1064	1136	1296	1844	2044	3020	3996	5172	6428	8004	9580	11676	13772	16748	19924	23900	28676	34452	41228
99	1072	1144	1304	1856	2056	3040	4024	5208	6472	8056	9640	11744	13848	16832	20016	24000	28784	34568	41352
100	1080	1152	1312	1868	2068	3060	4052	5244	6516	8108	9700	11812	13924	16916	20108	24100	28892	34684	41476
101	1088	1160	1320	1880	2080	3080	4080	5280	6560	8160	9760	11880	14000	17000	20200	24200	29000	34800	41600
102	1096	1168	1328	1892	2092	3100	4108	5316	6604	8212	9820	11948	14076	17084	20292	24300	29108	34916	41724
103	1104	1176	1336	1904	2104	3120	4136	5352	6648	8264	9880	12016	14152	17168	20384	24400	29216	35032	41848
104	1112	1184	1344	1916	2116	3140	4164	5388	6692	8316	9940	12084	14228	17252	20476	24500	29324	35148	41972
105	1120	1192	1352	1928	2128	3160	4192	5424	6736	8368	10000	12152	14304	17336	20568	24600	29432	35264	42096
106	1128	1200	1360	1940	2140	3180	4220	5460	6780	8420	10060	12220	14380	17420	20660	24700	29540	35380	42220
107	1136	1208	1368	1952	2152	3200	4248	5496	6824	8472	10120	12288	14456	17504	20752	24800	29648	35496	42344
108	1144	1216	1376	1964	2164	3220	4276	5532	6868	8524	10180	12356	14532	17588	20844	24900	29756	35612	42468
109	1152	1224	1384	1976	2176	3240	4304	5568	6912	8576	10240	12424	14608	17672	20936	25000	29864	35728	42592
110	1160	1232	1392	1988	2188	3260	4332	5604	6956	8628	10300	12492	14684	17756	21028	25100	29972	35844	42716
111	1168	1240	1400	2000	2200	3280	4360	5640	7000	8680	10360	12560	14760	17840	21120	25200	30080	35960	42840
112	1176	1248	1408	2012	2212	3300	4388	5676	7044	8732	10420	12628	14836	17924	21212	25300	30188	36076	42964
113	1184	1256	1416	2024	2224	3320	4416	5712	7088	8784	10480	12696	14912	18008	21304	25400	30296	36192	43088
114	1192	1264	1424	2036	2236	3340	4444	5748	7132	8836	10540	12764	14988	18092	21396	25500	30404	36308	43212
115	1200	1272	1432	2048	2248	3360	4472	5784	7176	8888	10600	12832	15064	18176	21488	25600	30512	36424	43336
116	1208	1280	1440	2060	2260	3380	4500	5820	7220	8940	10660	12900	15140	18260	21580	25700	30620	36540	43460
117	1216	1288	1448	2072	2272	3400	4528	5856	7264	8992	10720	12968	15216	18344	21672	25800	30728	36656	43584
118	1224	1296	1456	2084	2284	3420	4556	5892	7308	9044	10780	13036	15292	18428	21764	25900	30836	36772	43708
119	1232	1304	1464	2096	2296	3440	4584	5928	7352	9096	10840	13104	15368	18512	21856	26000	30944	36888	43832
120	1240	1312	1472	2108	2308	3460	4612	5964	7396	9148	10900	13172	15444	18596	21948	26100	31052	37004	43956
121	1248	1320	1480	2120	2320	3480	4640	6000	7440	9200	10960	13240	15520	18680	22040	26200	31160	37120	44080
