强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级	紫色17级	紫色18级	紫色19级
51	254	290	370	550	650	950	1250	1650	2090	2690	3290	4150	5010	6310	7710	9510	11710	14410	17610
52	258	294	374	556	656	960	1264	1668	2112	2716	3320	4184	5048	6352	7756	9560	11764	14468	17672
53	262	298	378	562	662	970	1278	1686	2134	2742	3350	4218	5086	6394	7802	9610	11818	14526	17734
54	266	302	382	568	668	980	1292	1704	2156	2768	3380	4252	5124	6436	7848	9660	11872	14584	17796
55	270	306	386	574	674	990	1306	1722	2178	2794	3410	4286	5162	6478	7894	9710	11926	14642	17858
56	274	310	390	580	680	1000	1320	1740	2200	2820	3440	4320	5200	6520	7940	9760	11980	14700	17920
57	278	314	394	586	686	1010	1334	1758	2222	2846	3470	4354	5238	6562	7986	9810	12034	14758	17982
58	282	318	398	592	692	1020	1348	1776	2244	2872	3500	4388	5276	6604	8032	9860	12088	14816	18044
59	286	322	402	598	698	1030	1362	1794	2266	2898	3530	4422	5314	6646	8078	9910	12142	14874	18106
60	290	326	406	604	704	1040	1376	1812	2288	2924	3560	4456	5352	6688	8124	9960	12196	14932	18168
61	294	330	410	610	710	1050	1390	1830	2310	2950	3590	4490	5390	6730	8170	10010	12250	14990	18230
62	298	334	414	616	716	1060	1404	1848	2332	2976	3620	4524	5428	6772	8216	10060	12304	15048	18292
63	302	338	418	622	722	1070	1418	1866	2354	3002	3650	4558	5466	6814	8262	10110	12358	15106	18354
64	306	342	422	628	728	1080	1432	1884	2376	3028	3680	4592	5504	6856	8308	10160	12412	15164	18416
65	310	346	426	634	734	1090	1446	1902	2398	3054	3710	4626	5542	6898	8354	10210	12466	15222	18478
66	314	350	430	640	740	1100	1460	1920	2420	3080	3740	4660	5580	6940	8400	10260	12520	15280	18540
67	318	354	434	646	746	1110	1474	1938	2442	3106	3770	4694	5618	6982	8446	10310	12574	15338	18602
68	322	358	438	652	752	1120	1488	1956	2464	3132	3800	4728	5656	7024	8492	10360	12628	15396	18664
69	326	362	442	658	758	1130	1502	1974	2486	3158	3830	4762	5694	7066	8538	10410	12682	15454	18726
70	330	366	446	664	764	1140	1516	1992	2508	3184	3860	4796	5732	7108	8584	10460	12736	15512	18788
71	334	370	450	670	770	1150	1530	2010	2530	3210	3890	4830	5770	7150	8630	10510	12790	15570	18850
72	338	374	454	676	776	1160	1544	2028	2552	3236	3920	4864	5808	7192	8676	10560	12844	15628	18912
73	342	378	458	682	782	1170	1558	2046	2574	3262	3950	4898	5846	7234	8722	10610	12898	15686	18974
74	346	382	462	688	788	1180	1572	2064	2596	3288	3980	4932	5884	7276	8768	10660	12952	15744	19036
75	350	386	466	694	794	1190	1586	2082	2618	3314	4010	4966	5922	7318	8814	10710	13006	15802	19098
76	354	390	470	700	800	1200	1600	2100	2640	3340	4040	5000	5960	7360	8860	10760	13060	15860	19160
77	358	394	474	706	806	1210	1614	2118	2662	3366	4070	5034	5998	7402	8906	10810	13114	15918	19222
78	362	398	478	712	812	1220	1628	2136	2684	3392	4100	5068	6036	7444	8952	10860	13168	15976	19284
79	366	402	482	718	818	1230	1642	2154	2706	3418	4130	5102	6074	7486	8998	10910	13222	16034	19346
80	370	406	486	724	824	1240	1656	2172	2728	3444	4160	5136	6112	7528	9044	10960	13276	16092	19408
81	374	410	490	730	830	1250	1670	2190	2750	3470	4190	5170	6150	7570	9090	11010	13330	16150	19470
82	378	414	494	736	836	1260	1684	2208	2772	3496	4220	5204	6188	7612	9136	11060	13384	16208	19532
83	382	418	498	742	842	1270	1698	2226	2794	3522	4250	5238	6226	7654	9182	11110	13438	16266	19594
84	386	422	502	748	848	1280	1712	2244	2816	3548	4280	5272	6264	7696	9228	11160	13492	16324	19656
85	390	426	506	754	854	1290	1726	2262	2838	3574	4310	5306	6302	7738	9274	11210	13546	16382	19718
86	394	430	510	760	860	1300	1740	2280	2860	3600	4340	5340	6340	7780	9320	11260	13600	16440	19780
87	398	434	514	766	866	1310	1754	2298	2882	3626	4370	5374	6378	7822	9366	11310	13654	16498	19842
88	402	438	518	772	872	1320	1768	2316	2904	3652	4400	5408	6416	7864	9412	11360	13708	16556	19904
89	406	442	522	778	878	1330	1782	2334	2926	3678	4430	5442	6454	7906	9458	11410	13762	16614	19966
90	410	446	526	784	884	1340	1796	2352	2948	3704	4460	5476	6492	7948	9504	11460	13816	16672	20028
91	414	450	530	790	890	1350	1810	2370	2970	3730	4490	5510	6530	7990	9550	11510	13870	16730	20090
92	418	454	534	796	896	1360	1824	2388	2992	3756	4520	5544	6568	8032	9596	11560	13924	16788	20152
93	422	458	538	802	902	1370	1838	2406	3014	3782	4550	5578	6606	8074	9642	11610	13978	16846	20214
94	426	462	542	808	908	1380	1852	2424	3036	3808	4580	5612	6644	8116	9688	11660	14032	16904	20276
95	430	466	546	814	914	1390	1866	2442	3058	3834	4610	5646	6682	8158	9734	11710	14086	16962	20338
96	434	470	550	820	920	1400	1880	2460	3080	3860	4640	5680	6720	8200	9780	11760	14140	17020	20400
97	438	474	554	826	926	1410	1894	2478	3102	3886	4670	5714	6758	8242	9826	11810	14194	17078	20462
98	442	478	558	832	932	1420	1908	2496	3124	3912	4700	5748	6796	8284	9872	11860	14248	17136	20524
99	446	482	562	838	938	1430	1922	2514	3146	3938	4730	5782	6834	8326	9918	11910	14302	17194	20586
100	450	486	566	844	944	1440	1936	2532	3168	3964	4760	5816	6872	8368	9964	11960	14356	17252	20648
101	454	490	570	850	950	1450	1950	2550	3190	3990	4790	5850	6910	8410	10010	12010	14410	17310	20710
102	458	494	574	856	956	1460	1964	2568	3212	4016	4820	5884	6948	8452	10056	12060	14464	17368	20772
103	462	498	578	862	962	1470	1978	2586	3234	4042	4850	5918	6986	8494	10102	12110	14518	17426	20834
104	466	502	582	868	968	1480	1992	2604	3256	4068	4880	5952	7024	8536	10148	12160	14572	17484	20896
105	470	506	586	874	974	1490	2006	2622	3278	4094	4910	5986	7062	8578	10194	12210	14626	17542	20958
106	474	510	590	880	980	1500	2020	2640	3300	4120	4940	6020	7100	8620	10240	12260	14680	17600	21020
107	478	514	594	886	986	1510	2034	2658	3322	4146	4970	6054	7138	8662	10286	12310	14734	17658	21082
108	482	518	598	892	992	1520	2048	2676	3344	4172	5000	6088	7176	8704	10332	12360	14788	17716	21144
109	486	522	602	898	998	1530	2062	2694	3366	4198	5030	6122	7214	8746	10378	12410	14842	17774	21206
110	490	526	606	904	1004	1540	2076	2712	3388	4224	5060	6156	7252	8788	10424	12460	14896	17832	21268
111	494	530	610	910	1010	1550	2090	2730	3410	4250	5090	6190	7290	8830	10470	12510	14950	17890	21330
112	498	534	614	916	1016	1560	2104	2748	3432	4276	5120	6224	7328	8872	10516	12560	15004	17948	21392
113	502	538	618	922	1022	1570	2118	2766	3454	4302	5150	6258	7366	8914	10562	12610	15058	18006	21454
114	506	542	622	928	1028	1580	2132	2784	3476	4328	5180	6292	7404	8956	10608	12660	15112	18064	21516
115	510	546	626	934	1034	1590	2146	2802	3498	4354	5210	6326	7442	8998	10654	12710	15166	18122	21578
116	514	550	630	940	1040	1600	2160	2820	3520	4380	5240	6360	7480	9040	10700	12760	15220	18180	21640
117	518	554	634	946	1046	1610	2174	2838	3542	4406	5270	6394	7518	9082	10746	12810	15274	18238	21702
118	522	558	638	952	1052	1620	2188	2856	3564	4432	5300	6428	7556	9124	10792	12860	15328	18296	21764
119	526	562	642	958	1058	1630	2202	2874	3586	4458	5330	6462	7594	9166	10838	12910	15382	18354	21826
120	530	566	646	964	1064	1640	2216	2892	3608	4484	5360	6496	7632	9208	10884	12960	15436	18412	21888
121	534	570	650	970	1070	1650	2230	2910	3630	4510	5390	6530	7670	9250	10930	13010	15490	18470	21950
