编号	布阵类型	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8
117	8	92121		92501	93301	92301	92121	93301		93301	94301
118	8	92121	93301	91301		94101		92121	95301	92301	94501
119	8	92321	92321	91301		94501	91301	92301	95301		92301
120	8	92321	92321	91301	93301	95101	93301			94301	92301
121	8	92321	95501	92321	92301	95301	93301		94301		92301
122	8	92321		92321	91301	95301	94501	92301	92301	93301	
123	8	92321	93301	91301	92321	94501		92301	95301	92301	
124	8	92321	92301	92301	92321		92301	94501	92301		95301
125	8	92321	93101	91301		92321	93501	92301	95301	93501	
126	8	92321	92301	91501		92321	93301		94301	94301	91301
127	8	92321	92101	92501	92301	92301	92321			92301	92301
128	8	92321	91301		92301	95501	92321		92301	95301	94301
129	8	92321		91301		92301	93301	92321	92301	94301	94301
130	8	92321	91301	93301		95501	92301	92321	94101		95301
131	8	92521	92521	91301		95501	94101	92301	95301	94301	
132	8	92521	91301	92521	92301		93501	94301	94301	93501	
133	8	92521		91301	92521	91301	94501	93301	95301		93301
134	9	93321	93321	93501		94301	94301	92301	95301	94301	
135	9	93321	93521	93301		94301	94301	92301	95301	94301	
136	9	93321	93321		93301	93501	91301		94301	92301	94301
137	9	93321	93501	93321			95301	93301	94301	95301	92301
138	9	93321	91301	93321	92301		93501		95301	94301	93501
139	9	93321	92301	91301	93321		93301	92301	94301	95301	
140	9	93321	91301		93321	94301	93301	93301		95301	93501
141	9	93321	91301		91301	93321	93301	92301	95301		94301
142	9	93321		93301	92301	91301	93321		95301	94301	93301
143	9	93321		93301	93301	93301	93321	93301		93501	93501
144	9	93321		93301	93301	93321	93501	93501		93501	93501
145	9	93321	91301		92301	93301	93321		95301	94301	94301
146	9	93321	91301	91301	92301		94301	93321		94301	95301
147	9	93321	92301	93301		95301	94501	93321		93501	93501
148	9	93521	91301		91301	93521	92301		93501	95301	94301
149	9	93521	91301	93301		92301	93521		94301	95301	95301
150	9	93521	93521			95301	92301	95301	93501	93301	94501
151	9	93521	93521	93301		94301	93301	92301	95301	94301	
152	9	93521		93521	92301	91301	93501	94501	95301	93501	
153	9	93521		93301	93521	92301	93301	95301		94301	94301
154	9	93521	93501	91301	92301	93521	93301		95301	93301	
155	9	93521	92301	93301	93301	95301	93521	94301	95301		
156	9	93521	93301	91301		95301	93501	93521	92301		94301
157	10	94331	91301		94331	95301	93301	94301	94301		94301
158	10	94331	91301	93301		94331		92301	94501	95301	94301
159	10	94331	93301	91301		94331	94101		95301	94301	92301
160	10	94331		91301	91301	93301	94331		92301	95301	94301
161	10	94331	91301	93301		95301	94331	92301		94301	94101
162	10	94331	93301			92301	91301	94331	95301	94301	94301
163	10	94331	91301	92301		95301	93301	94331		94301	94301
164	10	94331	94301		94301		94331	94301	94301	94301	94301
165	10	94331	91301	93301	94331		93301		94101	94301	95301
166	10	94331	93301			94331	91301	95301	94301	94501	92301
167	10	94531	91301	93301	92301	94501	94531	94301	94301		
168	10	94531	92301	91301			92301	94531	94301	93301	93501
169	10	94331		92301	93301	91301		94531	95301	93301	94501
