等级限制	名称	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	成功奖励	失败惩罚	战斗力	士气
59	贼兵	542059	1	542059	142059			542059	242059	142059	242059	342059	material.4008:1	user.gold:-1000	140868	259
60	贼兵	142060	1	442060			142060	442060	442060	142060	442060	142060	material.4008:1	user.gold:-1000	148281	260
61	贼兵	242061	1			242061	142061	242061	242061	142061	242061	342061	material.4008:1	user.gold:-1000	156128	261
62	贼兵	342062	1		342062	142062	242062	542062	542062	242062	142062		material.4008:1	user.gold:-1000	159866	262
63	贼兵	442063	1	442063	542063	242063	242063	142063	442063	442063			material.4008:1	user.gold:-1000	165074	263
64	贼兵	542064	1	142064	342064	342064	442064	142064	242064			542064	material.4008:1	user.gold:-1000	173348	264
65	贼兵	142065	1	342065	342065	542065	442065	542065			142065	542065	material.4008:1	user.gold:-1000	181328	265
66	贼兵	242066	1	442066	342066	542066	142066			242066	342066	442066	material.4008:1	user.gold:-1000	189105	266
67	贼兵	342067	1	342067	242067	542067			342067	542067	242067	342067	material.4008:1	user.gold:-1000	193753	267
68	贼兵	442068	1	242068	342068			442068	442068	442068	242068	542068	material.4008:1	user.gold:-1000	199311	268
69	贼兵	542069	1	542069			542069	542069	342069	242069	142069	542069	material.4008:1	user.gold:-1000	210000	269
70	贼兵	142070	1			142070	342070	342070	242070	242070	342070	142070	material.4008:1	user.gold:-1000	225918	270
71	贼兵	242071	1		242071	342071	342071	542071	542071	342071	142071		material.4008:1	user.gold:-1000	234626	271
72	贼兵	342072	1	342072	242072	442072	142072	142072	542072	142072			material.4008:1	user.gold:-1000	239148	272
73	贼兵	442073	1	442073	242073	542073	142073	142073	242073			442073	material.4008:1	user.gold:-1000	246876	273
74	贼兵	542074	1	142074	142074	442074	442074	142074			542074	242074	material.4008:1	user.gold:-1000	262136	274
75	贼兵	142075	1	142075	242075	142075	242075			142075	542075	342075	material.4008:1	user.gold:-1000	274050	275
76	贼兵	242076	1	542076	542076	242076			242076	442076	242076	542076	material.4008:1	user.gold:-1000	286055	276
77	贼兵	342077	1	242077	442077			342077	342077	342077	442077	542077	material.4008:1	user.gold:-1000	292607	277
78	贼兵	442078	1	542078			442078	342078	542078	142078	342078	142078	material.4008:1	user.gold:-1000	299824	278
79	贼兵	542079	1			542079	242079	242079	142079	242079	342079	142079	material.4008:1	user.gold:-1000	320292	279
80	贼兵	142080	1		142080	542080	342080	342080	142080	442080	242080		material.4008:1	user.gold:-1000	337582	280
81	贼兵	242081	1	242081	242081	442081	242081	142081	542081	242081			material.4008:1	user.gold:-1000	356860	281
82	贼兵	342082	1	542082	242082	442082	142082	442082	442082			342082	material.4008:1	user.gold:-1000	365211	282
83	贼兵	442083	1	542083	442083	542083	542083	542083			442083	142083	material.4008:1	user.gold:-1000	373457	283
84	贼兵	542084	1	442084	142084	342084	142084			542084	242084	142084	material.4008:1	user.gold:-1000	397747	284
85	贼兵	142085	1	342085	342085	142085			142085	242085	542085	442085	material.4008:1	user.gold:-1000	424298	285
86	贼兵	242086	1	342086	542086			242086	242086	542086	242086	542086	material.4008:1	user.gold:-1000	442554	286
87	贼兵	342087	1	142087			342087	242087	142087	342087	442087	542087	material.4008:1	user.gold:-1000	453201	287
88	贼兵	442088	1			442088	242088	542088	442088	442088	142088	442088	material.4008:1	user.gold:-1000	462364	288
89	贼兵	542089	1		542089	442089	442089	542089	342089	142089	342089		material.4008:1	user.gold:-1000	499345	289
90	贼兵	142090	1	142090	142090	442090	542090	342090	242090	542090			material.4008:1	user.gold:-1000	532189	290
91	贼兵	242091	1	242091	442091	342091	242091	342091	442091			242091	material.4008:1	user.gold:-1000	548898	291
92	贼兵	342092	1	142092	342092	242092	242092	542092			342092	342092	material.4008:1	user.gold:-1000	560245	292
93	贼兵	442093	1	542093	142093	442093	342093			442093	242093	242093	material.4008:1	user.gold:-1000	577290	293
94	贼兵	542094	1	442094	142094	142094			542094	442094	442094	142094	material.4008:1	user.gold:-1000	621236	294
95	贼兵	142095	1	542095	342095			142095	542095	242095	142095	342095	material.4008:1	user.gold:-1000	658665	295
96	贼兵	242096	1	442096			242096	242096	142096	542096	142096	242096	material.4008:1	user.gold:-1000	684817	296
97	贼兵	342097	1			342097	242097	142097	542097	142097	242097	142097	material.4008:1	user.gold:-1000	699223	297
98	贼兵	442098	1		442098	442098	542098	442098	542098	542098	142098		material.4008:1	user.gold:-1000	716639	298
99	贼兵	542099	1	542099	342099	242099	442099	342099	442099	242099			material.4008:1	user.gold:-1000	774298	299
100	贼兵	142100	1	242100	542100	442100	142100	442100	342100			142100	material.4008:1	user.gold:-1000	828492	300
101	贼兵	242101	1	542101	342101	142101	142101	142101			242101	242101	material.4008:1	user.gold:-1000	894691	301
102	贼兵	342102	1	442102	542102	142102	242102			342102	342102	142102	material.4008:1	user.gold:-1000	907081	302
103	贼兵	442103	1	342103	142103	442103			442103	542103	242103	542103	material.4008:1	user.gold:-1000	915446	303
104	贼兵	542104	1	542104	242104			542104	142104	542104	542104	542104	material.4008:1	user.gold:-1000	1009799	304
105	贼兵	142105	1	542105			142105	342105	242105	342105	242105	242105	material.4008:1	user.gold:-1000	1081486	305
106	贼兵	242106	1			242106	442106	342106	442106	242106	342106	442106	material.4008:1	user.gold:-1000	1126475	306
107	贼兵	342107	1		342107	342107	342107	442107	442107	342107	242107		material.4008:1	user.gold:-1000	1143653	307
108	贼兵	442108	1	442108	242108	342108	442108	542108	442108	342108			material.4008:1	user.gold:-1000	1167327	308
109	贼兵	542109	1	342109	342109	242109	342109	442109	442109			542109	material.4008:1	user.gold:-1000	1274609	309
110	贼兵	142110	1	142110	242110	242110	442110	242110			142110	142110	material.4008:1	user.gold:-1000	1383893	310
111	贼兵	242111	1	242111	242111	142111	342111			242111	342111	442111	material.4008:1	user.gold:-1000	1400105	311
112	贼兵	342112	1	342112	142112	542112			342112	542112	242112	442112	material.4008:1	user.gold:-1000	1434034	312
113	贼兵	442113	1	142113	142113			442113	142113	342113	542113	342113	material.4008:1	user.gold:-1000	1458562	313
114	贼兵	542114	1	342114			542114	342114	442114	342114	542114	242114	material.4008:1	user.gold:-1000	1625736	314
115	贼兵	142115	1			142115	442115	442115	442115	542115	242115	242115	material.4008:1	user.gold:-1000	1646099	315
116	贼兵	242116	1		242116	442116	242116	142116	242116	542116	242116		material.4008:1	user.gold:-1000	1675394	316
117	贼兵	342117	1	342117	542117	342117	542117	142117	442117	542117			material.4008:1	user.gold:-1000	1692789	317
118	贼兵	442118	1	442118	242118	442118	342118	242118	342118			442118	material.4008:1	user.gold:-1000	1723435	318
119	贼兵	542119	1	142119	242119	242119	542119	342119			542119	142119	material.4008:1	user.gold:-1000	1746178	319
120	贼兵	142120	1	542120	342120	542120	242120			142120	342120	342120	material.4008:1	user.gold:-1000	1768389	320
121	贼兵	242121	1	242121	542121	342121			242121	442121	242121	342121	material.4008:1	user.gold:-1000	1805062	321
