等级	累计升级经验	刀兵血量	枪兵血量	骑兵血量	谋士血量	红颜血量	武将传承消耗金币
81	14803500	7550	7550	7550	4730	6140	410000
82	15621600	7650	7650	7650	4790	6220	410000
83	16469100	7750	7750	7750	4850	6300	420000
84	17346600	7850	7850	7850	4910	6380	420000
85	18253950	7950	7950	7950	4970	6460	430000
86	19191600	8050	8050	8050	5030	6540	430000
87	20159400	8150	8150	8150	5090	6620	440000
88	21157950	8250	8250	8250	5150	6700	440000
89	22186800	8350	8350	8350	5210	6780	450000
90	23246700	8450	8450	8450	5270	6860	450000
91	24340200	8550	8550	8550	5330	6940	460000
92	25468050	8650	8650	8650	5390	7020	460000
93	26629950	8750	8750	8750	5450	7100	470000
94	27826200	8850	8850	8850	5510	7180	470000
95	29056800	8950	8950	8950	5570	7260	480000
96	30322200	9050	9050	9050	5630	7340	480000
97	31621950	9150	9150	9150	5690	7420	490000
98	32956500	9250	9250	9250	5750	7500	490000
99	34325850	9350	9350	9350	5810	7580	500000
100	35730150	9450	9450	9450	5870	7660	500000
101	37173000	9550	9550	9550	5930	7740	510000
102	38654850	9650	9650	9650	5990	7820	510000
103	40175400	9750	9750	9750	6050	7900	520000
104	41734950	9850	9850	9850	6110	7980	520000
105	43333350	9950	9950	9950	6170	8060	530000
106	44970750	10050	10050	10050	6230	8140	530000
107	46646850	10150	10150	10150	6290	8220	540000
108	48362100	10250	10250	10250	6350	8300	540000
109	50116050	10350	10350	10350	6410	8380	550000
110	51908850	10450	10450	10450	6470	8460	550000
111	53729700	10550	10550	10550	6530	8540	560000
112	55578150	10650	10650	10650	6590	8620	560000
113	57453450	10750	10750	10750	6650	8700	570000
114	59355600	10850	10850	10850	6710	8780	570000
115	61283250	10950	10950	10950	6770	8860	580000
116	63236400	11050	11050	11050	6830	8940	580000
117	65214150	11150	11150	11150	6890	9020	590000
118	67216500	11250	11250	11250	6950	9100	590000
119	69242100	11350	11350	11350	7010	9180	600000
120	71291100	11450	11450	11450	7070	9260	600000
