关卡编号	战斗幕布	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	奖励1	战斗力	士气
52	5	341063	341063	541063	541063	141063	241063	341063	441063			user.soul:14	177695	356
53	5	441064	241064	541064	541064	541064	141064	541064			441064	user.soul:14	187306	359
54	5	541065	541065	341065	441065	241065	241065			541065	541065	user.soul:14	198149	362
55	5	141066	541066	241066	141066	241066			141066	141066	241066	material.19:5	206024	365
56	5	341068	541068	441068			341068	441068	541068	441068	441068	user.soul:14	219506	368
57	5	441069	541069			441069	341069	541069	141069	241069	241069	user.soul:14	232260	371
58	5	541070			541070	441070	441070	341070	341070	441070	241070	user.soul:14	251944	374
59	5	141071		141071	141071	441071	241071	241071	341071	241071		user.soul:14	261492	377
60	5	341073	541073	241073	341073	241073	241073	541073			341073	material.26:4	274106	380
61	5	441074	141074	241074	541074	141074	441074			441074	241074	user.soul:16	291690	383
62	1	541075	341075	441075	341075	141075			541075	241075	141075	user.soul:16	310184	386
63	1	141076	241076	341076	241076			141076	541076	441076	141076	user.soul:16	324926	389
64	1	341078	241078			341078	241078	241078	441078	341078	241078	user.soul:16	340354	392
65	1	441079			441079	441079	141079	341079	441079	241079	441079	material.19:5	361956	395
66	1	541080		541080	441080	541080	541080	141080	241080	141080		user.soul:16	390852	398
67	1	141081	141081	241081	441081	441081	141081	341081	141081			user.soul:16	403431	401
68	1	341083	241083	241083	141083	241083	441083			341083	541083	user.soul:16	424053	404
69	1	441084	241084	541084	441084	241084			441084	441084	141084	user.soul:16	452683	407
70	1	541085	241085	541085	241085			541085	241085	141085	141085	material.26:4	485667	410
71	1	141086	441086	141086			141086	341086	541086	541086	141086	user.soul:18	510937	413
72	1	341088			341088	241088	441088	541088	341088	541088	241088	user.soul:18	536277	416
73	1	441089		441089	241089	141089	441089	441089	441089	441089		user.soul:18	577500	419
74	1	541090	541090	441090	141090	141090	141090	241090	241090			user.soul:18	627165	422
75	1	141091	241091	541091	541091	441091	141091	441091			141091	material.19:5	646625	425
76	2	341093	241093	341093	541093	441093			341093	341093	141093	user.soul:18	674065	428
77	2	441094	341094	541094	141094			441094	541094	141094	441094	user.soul:18	732998	431
78	2	541095	241095	241095			541095	341095	341095	241095	441095	user.soul:18	790083	434
79	2	141096	541096			141096	341096	341096	541096	141096	341096	user.soul:18	828688	437
80	2	341098		341098	441098	541098	541098	241098	241098	241098		material.26:4	866754	440
81	2	441099	441099	541099	241099	441099	441099	141099	541099			user.soul:20	938119	443
82	2	541100	241100	341100	341100	241100	541100	441100			541100	user.soul:20	1022728	446
83	2	141101	441101	241101	241101	241101	541101			141101	341101	user.soul:20	1059919	449
84	2	341103	541103	341103	141103			341103	541103	241103	441103	user.soul:20	1095437	452
85	2	441104	541104	141104			441104	441104	441104	541104	341104	material.19:6	1208543	455
86	2	541105	141105			541105	441105	141105	441105	341105	141105	user.soul:20	1321215	458
87	2	141106			141106	541106	541106	341106	241106	341106	441106	user.soul:20	1380274	461
88	2	341108	341108	141108	441108	541108	541108	141108	241108			user.soul:20	1426600	464
89	2	441109	341109	541109	541109	441109	241109	241109			441109	user.soul:20	1557080	467
90	2	541110	541110	241110	541110	541110	541110			541110	341110	material.26:5	1729798	470
91	3	141111	141111	541111	241111	441111	441111	141111	541111			user.soul:22	1754809	473
92	3	341112	241112	341112	341112	241112	541112	441112			541112	user.soul:22	1797229	476
93	3	441113	441113	241113	441113	241113	541113			141113	341101	user.soul:22	1828617	479
94	3	541114	541114	341114	141114			541114	541114	241114	441114	user.soul:22	2027662	482
95	4	341115	541115	141115			441115	441115	341115	541115	341115	material.19:6	2091425	485
96	4	441116	141116			541116	441116	141116	441116	441116	141116	user.soul:22	2131808	488
97	4	541117			141117	541117	541117	341117	241117	341117	541117	user.soul:22	2166178	491
98	4	341118	341118	141118	441118	541118	541118	141118	241118			user.soul:22	2206547	494
99	5	441119	341119	441119	541119	441119	241119	241119			441119	user.soul:22	2234064	497
100	5	541120	541120	241120	541120	541120	541120			541120	341120	material.26:5	2292346	500
