等级	标题	内容	小提示	新手引导步数	武将素材
31	开放内容	命运之轮、宝石镶嵌开启;转动转盘拿大奖，装备镶嵌宝石	只有镶嵌宝石的装备才是真正的装备！	125	hero/sunshangxiang.png
32	开放内容	35级琳琅店铺、一骑当千开启;36级开启武将炼魂	使用军功历练可提升同一兵种的所有武将属性。		hero/huangyueying.png
33	开放内容	35级琳琅店铺、一骑当千开启;36级开启武将炼魂	使用军功历练可提升同一兵种的所有武将属性。		hero/diaochan.png
34	开放内容	35级琳琅店铺、一骑当千开启;36级开启武将炼魂	使用军功历练可提升同一兵种的所有武将属性。		hero/hongyan.png
35	开放内容	琳琅店铺、一骑当千开启;36级开启武将炼魂	使用军功历练可提升同一兵种的所有武将属性。		hero/luoshen.png
36	开放内容	武将炼魂开启;武将可进行炼魂	使用军功历练可提升同一兵种的所有武将属性。	127	hero/hongyan.png
37	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/xiaoqiao.png
38	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/zhenji.png
39	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/sunshangxiang.png
40	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/huangyueying.png
41	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/diaochan.png
42	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/hongyan.png
43	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/luoshen.png
44	开放内容	45级开启军机处;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。		hero/daqiao.png
45	开放内容	军机处开启;兵种可进行历练	使用军功历练可提升同一兵种的所有武将属性。	130	hero/xiaoqiao.png
46	开放内容	55级开启勇闯汉墓;可斩获大量宝石	使用多余武将卡牌炼魂可大幅度提升武将战斗力哦！		hero/zhenji.png
47	开放内容	55级开启勇闯汉墓;可斩获大量宝石	使用多余武将卡牌炼魂可大幅度提升武将战斗力哦！		hero/sunshangxiang.png
48	开放内容	55级开启勇闯汉墓;可斩获大量宝石	使用多余武将卡牌炼魂可大幅度提升武将战斗力哦！		hero/huangyueying.png
49	开放内容	55级开启勇闯汉墓;可斩获大量宝石	使用多余武将卡牌炼魂可大幅度提升武将战斗力哦！		hero/diaochan.png
50	开放内容	55级开启勇闯汉墓;可斩获大量宝石	使用多余武将卡牌炼魂可大幅度提升武将战斗力哦！		hero/hongyan.png
51	开放内容	55级开启勇闯汉墓;可斩获大量宝石	野外关卡还有许多隐藏奖励，等待发现哦！		hero/luoshen.png
52	开放内容	55级开启勇闯汉墓;可斩获大量宝石	野外关卡还有许多隐藏奖励，等待发现哦！		hero/daqiao.png
53	开放内容	55级开启勇闯汉墓;可斩获大量宝石	野外关卡还有许多隐藏奖励，等待发现哦！		hero/xiaoqiao.png
54	开放内容	55级开启勇闯汉墓;可斩获大量宝石	野外关卡还有许多隐藏奖励，等待发现哦！		hero/zhenji.png
55	开放内容	勇闯汉墓开启;可斩获大量宝石	野外关卡还有许多隐藏奖励，等待发现哦！		hero/sunshangxiang.png
56	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/huangyueying.png
57	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/diaochan.png
58	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/hongyan.png
59	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/luoshen.png
60	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/daqiao.png
61	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/xiaoqiao.png
62	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/zhenji.png
63	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/sunshangxiang.png
64	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/huangyueying.png
65	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/diaochan.png
66	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/hongyan.png
67	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/luoshen.png
68	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/daqiao.png
69	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/xiaoqiao.png
70	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/zhenji.png
71	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/sunshangxiang.png
72	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/huangyueying.png
73	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/diaochan.png
74	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/hongyan.png
75	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/luoshen.png
76	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/daqiao.png
77	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/xiaoqiao.png
78	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/zhenji.png
79	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/sunshangxiang.png
80	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/huangyueying.png
81	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/diaochan.png
82	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/hongyan.png
83	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/luoshen.png
84	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/daqiao.png
85	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/xiaoqiao.png
86	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/zhenji.png
87	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/sunshangxiang.png
88	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/huangyueying.png
89	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/diaochan.png
90	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/hongyan.png
91	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/luoshen.png
92	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/daqiao.png
93	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/xiaoqiao.png
94	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/zhenji.png
95	开放内容	跨服军团战即将上线，敬请期待;	野外关卡还有许多隐藏奖励，等待发现哦！		hero/sunshangxiang.png
