怪物编号	怪物名称	等级	兵种	兵种等级	技能	技能等级	战斗力	攻击	血量	物理防御	法术防御	闪避	暴击	命中	破招	格挡	刚毅	素材	是否实体化	实体化素材
113009	敌军刀兵	9	1	1	3	1	1364	490	976	418	248	0	0	0	0	0	0	hero/dao_big.png	0	
114009	敌军刀兵	9	1	1	5	1	1368	492	980	421	249	0	0	0	0	0	0	hero/dao_big.png	0	
110010	敌军刀兵	10	1	1	1	1	1556	526	1008	425	254	0	0	0	0	0	0	hero/dao_big.png	0	
111010	敌军刀兵	10	1	1	3	1	1560	529	1013	427	255	0	0	0	0	0	0	hero/dao_big.png	0	
112010	敌军刀兵	10	1	1	1	1	1564	531	1018	429	256	0	0	0	0	0	0	hero/dao_big.png	0	
113010	敌军刀兵	10	1	1	3	1	1568	534	1023	431	258	0	0	0	0	0	0	hero/dao_big.png	0	
114010	敌军刀兵	10	1	1	5	1	1572	536	1028	434	259	0	0	0	0	0	0	hero/dao_big.png	0	
110011	敌军刀兵	11	1	2	1	1	1635	562	1077	455	273	0	0	0	0	3	3	hero/dao_big.png	0	
111011	敌军刀兵	11	1	2	3	1	1633	565	1082	457	274	0	0	0	0	2	2	hero/dao_big.png	0	
112011	敌军刀兵	11	1	2	1	1	1637	567	1087	459	276	0	0	0	0	2	2	hero/dao_big.png	0	
113011	敌军刀兵	11	1	2	3	1	1642	570	1093	462	277	0	0	0	0	2	2	hero/dao_big.png	0	
114011	敌军刀兵	11	1	2	5	1	1646	573	1098	464	278	0	0	0	0	2	2	hero/dao_big.png	0	
110012	敌军刀兵	12	1	2	1	1	1676	578	1127	469	284	0	0	0	0	3	3	hero/dao_big.png	0	
111012	敌军刀兵	12	1	2	3	1	1674	580	1132	471	286	0	0	0	0	2	2	hero/dao_big.png	0	
112012	敌军刀兵	12	1	2	1	1	1678	583	1137	473	287	0	0	0	0	2	2	hero/dao_big.png	0	
113012	敌军刀兵	12	1	2	3	1	1683	586	1143	475	288	0	0	0	0	2	2	hero/dao_big.png	0	
114012	敌军刀兵	12	1	2	5	1	1687	588	1148	478	290	0	0	0	0	2	2	hero/dao_big.png	0	
110013	敌军刀兵	13	1	2	1	1	1601	523	1038	426	261	0	0	0	0	3	3	hero/dao_big.png	0	
111013	敌军刀兵	13	1	2	3	1	1600	526	1043	428	262	0	0	0	0	2	2	hero/dao_big.png	0	
112013	敌军刀兵	13	1	2	1	1	1605	529	1049	430	263	0	0	0	0	2	2	hero/dao_big.png	0	
113013	敌军刀兵	13	1	2	3	1	1609	531	1054	432	265	0	0	0	0	2	2	hero/dao_big.png	0	
114013	敌军刀兵	13	1	2	5	1	1614	534	1060	435	266	0	0	0	0	2	2	hero/dao_big.png	0	
110014	敌军刀兵	14	1	2	1	1	1806	537	1111	465	297	0	0	0	0	3	3	hero/dao_big.png	0	
111014	敌军刀兵	14	1	2	3	1	1804	539	1117	468	299	0	0	0	0	2	2	hero/dao_big.png	0	
112014	敌军刀兵	14	1	2	1	1	1809	542	1123	470	300	0	0	0	0	2	2	hero/dao_big.png	0	
113014	敌军刀兵	14	1	2	3	1	1814	545	1129	473	302	0	0	0	0	2	2	hero/dao_big.png	0	
114014	敌军刀兵	14	1	2	5	1	1819	548	1135	475	304	0	0	0	0	2	2	hero/dao_big.png	0	
110015	敌军刀兵	15	1	2	1	1	1794	541	1078	445	286	0	0	0	0	3	3	hero/dao_big.png	0	
111015	敌军刀兵	15	1	2	3	1	1793	544	1084	448	287	0	0	0	0	2	2	hero/dao_big.png	0	
112015	敌军刀兵	15	1	2	1	1	1798	547	1090	450	289	0	0	0	0	2	2	hero/dao_big.png	0	
113015	敌军刀兵	15	1	2	3	1	1804	551	1096	453	291	0	0	0	0	2	2	hero/dao_big.png	0	
114015	敌军刀兵	15	1	2	5	1	1808	554	1102	456	292	0	0	0	0	2	2	hero/dao_big.png	0	
110016	敌军刀兵	16	1	2	1	1	1806	527	1118	438	279	0	0	0	0	2	2	hero/dao_big.png	0	
111016	敌军刀兵	16	1	2	3	1	1811	530	1124	441	280	0	0	0	0	2	2	hero/dao_big.png	0	
112016	敌军刀兵	16	1	2	1	1	1817	533	1131	443	282	0	0	0	0	2	2	hero/dao_big.png	0	
113016	敌军刀兵	16	1	2	3	1	1822	536	1137	446	284	0	0	0	0	2	2	hero/dao_big.png	0	
114016	敌军刀兵	16	1	2	5	1	1827	539	1144	448	285	0	0	0	0	2	2	hero/dao_big.png	0	
110017	敌军刀兵	17	1	2	1	1	1855	539	1187	450	288	0	0	0	0	2	2	hero/dao_big.png	0	
111017	敌军刀兵	17	1	2	3	1	1860	542	1193	452	290	0	0	0	0	2	2	hero/dao_big.png	0	
112017	敌军刀兵	17	1	2	1	1	1866	545	1200	455	291	0	0	0	0	2	2	hero/dao_big.png	0	
113017	敌军刀兵	17	1	2	3	1	1871	548	1207	457	293	0	0	0	0	2	2	hero/dao_big.png	0	
114017	敌军刀兵	17	1	2	5	1	1877	552	1214	460	294	0	0	0	0	2	2	hero/dao_big.png	0	
110018	敌军刀兵	18	1	2	1	1	2081	579	1278	460	296	0	0	0	0	2	2	hero/dao_big.png	0	
111018	敌军刀兵	18	1	2	3	1	2086	582	1285	463	298	0	0	0	0	2	2	hero/dao_big.png	0	
112018	敌军刀兵	18	1	2	1	1	2092	586	1292	465	300	0	0	0	0	2	2	hero/dao_big.png	0	
113018	敌军刀兵	18	1	2	3	1	2098	589	1300	468	301	0	0	0	0	2	2	hero/dao_big.png	0	
114018	敌军刀兵	18	1	2	5	1	2104	592	1307	471	303	0	0	0	0	2	2	hero/dao_big.png	0	
110019	敌军刀兵	19	1	2	1	1	2116	591	1318	471	305	0	1	0	0	2	2	hero/dao_big.png	0	
111019	敌军刀兵	19	1	2	3	1	2122	594	1326	474	306	0	1	0	0	2	2	hero/dao_big.png	0	
112019	敌军刀兵	19	1	2	1	1	2128	598	1333	477	308	0	1	0	0	2	2	hero/dao_big.png	0	
113019	敌军刀兵	19	1	2	3	1	2134	601	1341	479	310	0	1	0	0	2	2	hero/dao_big.png	0	
114019	敌军刀兵	19	1	2	5	1	2140	605	1348	482	312	0	1	0	0	2	2	hero/dao_big.png	0	
110020	敌军刀兵	20	1	2	1	1	2346	660	1387	483	314	0	1	0	0	2	2	hero/dao_big.png	0	
111020	敌军刀兵	20	1	2	3	1	2352	663	1395	485	316	0	1	0	0	2	2	hero/dao_big.png	0	
112020	敌军刀兵	20	1	2	1	1	2358	667	1403	488	317	0	1	0	0	2	2	hero/dao_big.png	0	
113020	敌军刀兵	20	1	2	3	1	2365	671	1411	491	319	0	1	0	0	2	2	hero/dao_big.png	0	
114020	敌军刀兵	20	1	2	5	1	2372	675	1419	494	321	0	1	0	0	2	2	hero/dao_big.png	0	
110021	敌军刀兵	21	1	3	1	1	2457	747	1492	527	344	0	1	0	0	2	2	hero/dao_big.png	0	
111021	敌军刀兵	21	1	3	3	1	2464	751	1500	530	346	0	1	0	0	2	2	hero/dao_big.png	0	
112021	敌军刀兵	21	1	3	1	1	2470	755	1508	532	347	0	1	0	0	2	2	hero/dao_big.png	0	
113021	敌军刀兵	21	1	3	3	1	2477	759	1516	535	349	0	1	0	0	2	2	hero/dao_big.png	0	
114021	敌军刀兵	21	1	3	5	1	2484	763	1524	538	351	0	1	0	0	2	2	hero/dao_big.png	0	
110022	敌军刀兵	22	1	3	1	1	2587	824	1638	585	384	0	1	0	0	2	2	hero/dao_big.png	0	
111022	敌军刀兵	22	1	3	3	1	2593	828	1646	588	386	0	1	0	0	2	2	hero/dao_big.png	0	
112022	敌军刀兵	22	1	3	1	1	2600	832	1654	591	388	0	1	0	0	2	2	hero/dao_big.png	0	
113022	敌军刀兵	22	1	3	3	1	2607	836	1662	594	390	0	1	0	0	2	2	hero/dao_big.png	0	
114022	敌军刀兵	22	1	3	5	1	2614	840	1671	597	392	0	1	0	0	2	2	hero/dao_big.png	0	
110023	敌军刀兵	23	1	3	1	1	2818	936	1931	671	441	0	1	0	0	2	2	hero/dao_big.png	0	
111023	敌军刀兵	23	1	3	3	1	2825	941	1939	674	442	0	1	0	0	2	2	hero/dao_big.png	0	
112023	敌军刀兵	23	1	3	1	1	2832	945	1948	677	444	0	1	0	0	2	2	hero/dao_big.png	0	
113023	敌军刀兵	23	1	3	3	1	2840	949	1957	680	446	0	1	0	0	2	2	hero/dao_big.png	0	
114023	敌军刀兵	23	1	3	5	1	2847	953	1965	683	448	0	1	0	0	2	2	hero/dao_big.png	0	
110024	敌军刀兵	24	1	3	1	2	3192	1004	2028	772	534	0	1	0	0	3	3	hero/dao_big.png	0	
111024	敌军刀兵	24	1	3	3	2	3200	1008	2037	775	536	0	1	0	0	3	3	hero/dao_big.png	0	
112024	敌军刀兵	24	1	3	1	2	3208	1013	2046	779	539	0	1	0	0	3	3	hero/dao_big.png	0	
113024	敌军刀兵	24	1	3	3	2	3216	1017	2055	782	541	0	1	0	0	3	3	hero/dao_big.png	0	
114024	敌军刀兵	24	1	3	5	2	3224	1022	2064	785	544	0	1	0	0	3	3	hero/dao_big.png	0	
110025	敌军刀兵	25	1	3	1	2	3807	1066	2158	798	570	0	1	0	0	3	3	hero/dao_big.png	0	
111025	敌军刀兵	25	1	3	3	2	3815	1071	2167	801	573	0	1	0	0	3	3	hero/dao_big.png	0	
112025	敌军刀兵	25	1	3	1	2	3824	1075	2177	805	575	0	1	0	0	3	3	hero/dao_big.png	0	
113025	敌军刀兵	25	1	3	3	2	3832	1080	2186	808	578	0	1	0	0	3	3	hero/dao_big.png	0	
114025	敌军刀兵	25	1	3	5	2	3840	1085	2196	812	580	0	1	0	0	3	3	hero/dao_big.png	0	
110026	敌军刀兵	26	1	3	1	2	3982	1139	2383	829	612	0	1	0	0	3	3	hero/dao_big.png	0	
111026	敌军刀兵	26	1	3	3	2	3991	1144	2393	833	615	0	1	0	0	3	3	hero/dao_big.png	0	
112026	敌军刀兵	26	1	3	1	2	4001	1149	2404	837	618	0	1	0	0	3	3	hero/dao_big.png	0	
113026	敌军刀兵	26	1	3	3	2	4009	1154	2414	840	621	0	1	0	0	3	3	hero/dao_big.png	0	
114026	敌军刀兵	26	1	3	5	2	4019	1159	2425	844	623	0	1	0	0	3	3	hero/dao_big.png	0	
110027	敌军刀兵	27	1	3	1	2	4134	1249	2521	911	655	0	1	0	0	3	3	hero/dao_big.png	0	
111027	敌军刀兵	27	1	3	3	2	4144	1254	2533	915	658	0	1	0	0	3	3	hero/dao_big.png	0	
112027	敌军刀兵	27	1	3	1	2	4154	1260	2544	919	661	0	1	0	0	3	3	hero/dao_big.png	0	
113027	敌军刀兵	27	1	3	3	2	4163	1265	2555	923	663	0	1	0	0	3	3	hero/dao_big.png	0	
114027	敌军刀兵	27	1	3	5	2	4173	1271	2566	927	666	0	1	0	0	3	3	hero/dao_big.png	0	
110028	敌军刀兵	28	1	3	1	2	4726	1456	2818	952	700	0	1	0	0	3	3	hero/dao_big.png	0	
111028	敌军刀兵	28	1	3	3	2	4737	1462	2831	956	703	0	1	0	0	3	3	hero/dao_big.png	0	
112028	敌军刀兵	28	1	3	1	2	4749	1469	2843	960	706	0	1	0	0	3	3	hero/dao_big.png	0	
113028	敌军刀兵	28	1	3	3	2	4760	1475	2856	964	709	0	1	0	0	3	3	hero/dao_big.png	0	
114028	敌军刀兵	28	1	3	5	2	4771	1482	2868	969	712	0	1	0	0	3	3	hero/dao_big.png	0	
110029	敌军刀兵	29	1	3	1	2	4918	1539	3056	986	745	0	1	0	0	3	3	hero/dao_big.png	0	
111029	敌军刀兵	29	1	3	3	2	4929	1545	3069	990	748	0	1	0	0	3	3	hero/dao_big.png	0	
112029	敌军刀兵	29	1	3	1	2	4942	1552	3083	995	751	0	1	0	0	3	3	hero/dao_big.png	0	
113029	敌军刀兵	29	1	3	3	2	4954	1559	3097	999	755	0	1	0	0	3	3	hero/dao_big.png	0	
114029	敌军刀兵	29	1	3	5	2	4966	1566	3110	1003	758	0	1	0	0	3	3	hero/dao_big.png	0	
110030	敌军刀兵	30	1	3	1	2	5201	1725	3348	1117	821	0	1	0	0	3	2	hero/dao_big.png	0	
111030	敌军刀兵	30	1	3	3	2	5214	1733	3362	1122	825	0	1	0	0	3	2	hero/dao_big.png	0	
112030	敌军刀兵	30	1	3	1	2	5227	1740	3376	1127	828	0	1	0	0	3	2	hero/dao_big.png	0	
113030	敌军刀兵	30	1	3	3	2	5240	1747	3391	1131	832	0	1	0	0	3	2	hero/dao_big.png	0	
114030	敌军刀兵	30	1	3	5	2	5253	1755	3405	1136	835	0	1	0	0	3	2	hero/dao_big.png	0	
110031	敌军刀兵	31	1	11	1	2	5486	1898	3410	1226	958	0	2	0	0	4	3	hero/dao_big.png	0	
111031	敌军刀兵	31	1	11	3	2	5500	1906	3424	1231	962	0	2	0	0	4	3	hero/dao_big.png	0	
112031	敌军刀兵	31	1	11	1	2	5514	1914	3439	1237	966	0	2	0	0	4	3	hero/dao_big.png	0	
113031	敌军刀兵	31	1	11	3	2	5528	1923	3453	1242	971	0	2	0	0	4	3	hero/dao_big.png	0	
114031	敌军刀兵	31	1	11	5	2	5542	1931	3468	1247	975	0	2	0	0	4	3	hero/dao_big.png	0	
110032	敌军刀兵	32	1	11	1	2	6062	2092	3624	1404	1146	0	2	0	0	4	3	hero/dao_big.png	0	
111032	敌军刀兵	32	1	11	3	2	6078	2101	3640	1410	1151	0	2	0	0	4	3	hero/dao_big.png	0	
112032	敌军刀兵	32	1	11	1	2	6093	2110	3655	1416	1156	0	2	0	0	4	3	hero/dao_big.png	0	
113032	敌军刀兵	32	1	11	3	2	6108	2119	3670	1422	1161	0	2	0	0	4	3	hero/dao_big.png	0	
114032	敌军刀兵	32	1	11	5	2	6123	2128	3686	1428	1166	0	2	0	0	4	3	hero/dao_big.png	0	
110033	敌军刀兵	33	1	11	1	3	6372	2189	3784	1503	1201	0	2	0	0	5	4	hero/dao_big.png	0	
111033	敌军刀兵	33	1	11	3	3	6388	2198	3800	1509	1206	0	2	0	0	5	4	hero/dao_big.png	0	
112033	敌军刀兵	33	1	11	1	3	6404	2207	3816	1515	1211	0	2	0	0	5	4	hero/dao_big.png	0	
113033	敌军刀兵	33	1	11	3	3	6420	2217	3832	1522	1216	0	2	0	0	5	4	hero/dao_big.png	0	
114033	敌军刀兵	33	1	11	5	3	6436	2226	3848	1528	1221	0	2	0	0	5	4	hero/dao_big.png	0	
110034	敌军刀兵	34	1	11	1	3	6601	2323	4004	1551	1289	0	2	0	0	5	4	hero/dao_big.png	0	
111034	敌军刀兵	34	1	11	3	3	6619	2333	4021	1558	1295	0	2	0	0	5	4	hero/dao_big.png	0	
112034	敌军刀兵	34	1	11	1	3	6636	2343	4038	1565	1300	0	2	0	0	5	4	hero/dao_big.png	0	
113034	敌军刀兵	34	1	11	3	3	6653	2353	4055	1571	1306	0	2	0	0	5	4	hero/dao_big.png	0	
114034	敌军刀兵	34	1	11	5	3	6671	2363	4072	1578	1311	0	2	0	0	5	4	hero/dao_big.png	0	
110035	敌军刀兵	35	1	11	1	3	6877	2446	4305	1619	1372	0	2	0	0	5	4	hero/dao_big.png	0	
111035	敌军刀兵	35	1	11	3	3	6896	2457	4323	1626	1378	0	2	0	0	5	4	hero/dao_big.png	0	
112035	敌军刀兵	35	1	11	1	3	6915	2467	4341	1633	1384	0	2	0	0	5	4	hero/dao_big.png	0	
113035	敌军刀兵	35	1	11	3	3	6934	2478	4360	1640	1389	0	2	0	0	5	4	hero/dao_big.png	0	
114035	敌军刀兵	35	1	11	5	3	6952	2488	4378	1647	1395	0	2	0	0	5	4	hero/dao_big.png	0	
110036	敌军刀兵	36	1	11	1	3	7584	2558	4756	1820	1607	0	2	0	0	5	4	hero/dao_big.png	0	
111036	敌军刀兵	36	1	11	3	3	7604	2569	4776	1828	1614	0	2	0	0	5	4	hero/dao_big.png	0	
112036	敌军刀兵	36	1	11	1	3	7625	2580	4796	1836	1621	0	2	0	0	5	4	hero/dao_big.png	0	
113036	敌军刀兵	36	1	11	3	3	7647	2591	4817	1844	1627	0	2	0	0	5	4	hero/dao_big.png	0	
114036	敌军刀兵	36	1	11	5	3	7667	2602	4837	1851	1634	0	2	0	0	5	4	hero/dao_big.png	0	
110037	敌军刀兵	37	1	11	1	3	7783	2677	4929	1878	1680	0	2	0	0	5	4	hero/dao_big.png	0	
111037	敌军刀兵	37	1	11	3	3	7804	2688	4950	1886	1687	0	2	0	0	5	4	hero/dao_big.png	0	
112037	敌军刀兵	37	1	11	1	3	7826	2699	4971	1894	1695	0	2	0	0	5	4	hero/dao_big.png	0	
113037	敌军刀兵	37	1	11	3	3	7848	2711	4992	1902	1702	0	2	0	0	5	4	hero/dao_big.png	0	
114037	敌军刀兵	37	1	11	5	3	7870	2722	5013	1910	1709	0	2	0	0	5	4	hero/dao_big.png	0	
110038	敌军刀兵	38	1	11	1	3	8277	2906	5235	1931	1748	0	2	0	0	5	4	hero/dao_big.png	0	
111038	敌军刀兵	38	1	11	3	3	8301	2918	5258	1939	1755	0	2	0	0	5	4	hero/dao_big.png	0	
112038	敌军刀兵	38	1	11	1	3	8325	2931	5280	1948	1763	0	2	0	0	5	4	hero/dao_big.png	0	
113038	敌军刀兵	38	1	11	3	3	8348	2943	5302	1956	1770	0	2	0	0	5	4	hero/dao_big.png	0	
114038	敌军刀兵	38	1	11	5	3	8371	2955	5324	1964	1778	0	2	0	0	5	4	hero/dao_big.png	0	
110039	敌军刀兵	39	1	11	1	3	8497	3019	5412	2036	1889	0	2	0	0	5	4	hero/dao_big.png	0	
111039	敌军刀兵	39	1	11	3	3	8522	3032	5435	2045	1897	0	2	0	0	5	4	hero/dao_big.png	0	
112039	敌军刀兵	39	1	11	1	3	8546	3044	5458	2054	1905	0	2	0	0	5	4	hero/dao_big.png	0	
113039	敌军刀兵	39	1	11	3	3	8571	3057	5481	2062	1913	0	2	0	0	5	4	hero/dao_big.png	0	
114039	敌军刀兵	39	1	11	5	3	8596	3070	5504	2071	1921	0	2	0	0	5	4	hero/dao_big.png	0	
110040	敌军刀兵	40	1	11	1	4	10069	3393	6021	2284	2146	1	2	0	0	7	5	hero/dao_big.png	0	
111040	敌军刀兵	40	1	11	3	4	10097	3407	6045	2293	2154	1	2	0	0	7	5	hero/dao_big.png	0	
112040	敌军刀兵	40	1	11	1	4	10125	3421	6070	2303	2163	1	2	0	0	7	5	hero/dao_big.png	0	
113040	敌军刀兵	40	1	11	3	4	10152	3435	6094	2312	2172	1	2	0	0	7	5	hero/dao_big.png	0	
114040	敌军刀兵	40	1	11	5	4	10181	3449	6119	2321	2181	1	2	0	0	7	5	hero/dao_big.png	0	
110041	敌军刀兵	41	1	12	1	4	10287	3485	6244	2311	2198	1	2	0	0	7	5	hero/dao_big.png	0	
111041	敌军刀兵	41	1	12	3	4	10316	3500	6270	2321	2207	1	2	0	0	7	5	hero/dao_big.png	0	
112041	敌军刀兵	41	1	12	1	4	10345	3514	6295	2330	2216	1	2	0	0	7	5	hero/dao_big.png	0	
113041	敌军刀兵	41	1	12	3	4	10374	3528	6321	2340	2225	1	2	0	0	7	5	hero/dao_big.png	0	
114041	敌军刀兵	41	1	12	5	4	10402	3542	6346	2349	2234	1	2	0	0	7	5	hero/dao_big.png	0	
110042	敌军刀兵	42	1	12	1	4	10733	3613	6426	2549	2468	1	2	0	0	7	5	hero/dao_big.png	0	
111042	敌军刀兵	42	1	12	3	4	10764	3628	6453	2560	2478	1	2	0	0	7	5	hero/dao_big.png	0	
112042	敌军刀兵	42	1	12	1	4	10794	3642	6479	2570	2488	1	2	0	0	7	5	hero/dao_big.png	0	
113042	敌军刀兵	42	1	12	3	4	10824	3657	6505	2581	2498	1	2	0	0	7	5	hero/dao_big.png	0	
114042	敌军刀兵	42	1	12	5	4	10855	3672	6531	2591	2508	1	2	0	0	7	5	hero/dao_big.png	0	
110043	敌军刀兵	43	1	12	1	4	10975	3754	6615	2620	2557	1	2	0	0	7	5	hero/dao_big.png	0	
111043	敌军刀兵	43	1	12	3	4	11007	3769	6642	2631	2568	1	2	0	0	7	5	hero/dao_big.png	0	
112043	敌军刀兵	43	1	12	1	4	11039	3785	6669	2641	2578	1	2	0	0	7	5	hero/dao_big.png	0	
113043	敌军刀兵	43	1	12	3	4	11071	3800	6696	2652	2589	1	2	0	0	7	5	hero/dao_big.png	0	
114043	敌军刀兵	43	1	12	5	4	11103	3815	6723	2663	2599	1	2	0	0	7	5	hero/dao_big.png	0	
110044	敌军刀兵	44	1	12	1	4	11373	3934	6977	2717	2664	1	2	0	0	7	5	hero/dao_big.png	0	
111044	敌军刀兵	44	1	12	3	4	11407	3950	7006	2728	2675	1	2	0	0	7	5	hero/dao_big.png	0	
112044	敌军刀兵	44	1	12	1	4	11441	3966	7034	2739	2686	1	2	0	0	7	5	hero/dao_big.png	0	
113044	敌军刀兵	44	1	12	3	4	11475	3982	7063	2750	2697	1	2	0	0	7	5	hero/dao_big.png	0	
114044	敌军刀兵	44	1	12	5	4	11508	3998	7091	2761	2708	1	2	0	0	7	5	hero/dao_big.png	0	
110045	敌军刀兵	45	1	12	1	4	11964	4383	7165	2793	2837	1	2	0	0	7	5	hero/dao_big.png	0	
111045	敌军刀兵	45	1	12	3	4	12000	4401	7195	2805	2848	1	2	0	0	7	5	hero/dao_big.png	0	
112045	敌军刀兵	45	1	12	1	4	12036	4419	7224	2816	2860	1	2	0	0	7	5	hero/dao_big.png	0	
113045	敌军刀兵	45	1	12	3	4	12072	4437	7253	2828	2871	1	2	0	0	7	5	hero/dao_big.png	0	
114045	敌军刀兵	45	1	12	5	4	12108	4455	7282	2839	2883	1	2	0	0	7	5	hero/dao_big.png	0	
110046	敌军刀兵	46	1	12	1	4	12569	4523	7589	2859	2918	1	3	0	0	8	5	hero/dao_big.png	0	
111046	敌军刀兵	46	1	12	3	4	12608	4542	7620	2871	2930	1	3	0	0	8	5	hero/dao_big.png	0	
112046	敌军刀兵	46	1	12	1	4	12646	4560	7651	2882	2942	1	3	0	0	8	5	hero/dao_big.png	0	
113046	敌军刀兵	46	1	12	3	4	12685	4579	7682	2894	2954	1	3	0	0	8	5	hero/dao_big.png	0	
114046	敌军刀兵	46	1	12	5	4	12723	4597	7713	2906	2966	1	3	0	0	8	5	hero/dao_big.png	0	
110047	敌军刀兵	47	1	12	1	5	13104	4656	7953	2920	2995	1	3	0	0	8	6	hero/dao_big.png	0	
111047	敌军刀兵	47	1	12	3	5	13145	4675	7986	2932	3008	1	3	0	0	8	6	hero/dao_big.png	0	
