编号	名称	显示颜色	级质	属性	值	是否可购买	图标	描述	出售价格	战斗力计算参数
506	6级统帅石	purple	6	health	3700		gem/gem606.png	兵力+3700，可镶嵌于护符	7000	0
507	7级统帅石	orange	7	health	6800		gem/gem607.png	兵力+6800，可镶嵌于护符	11000	0
508	8级统帅石	orange	8	health	10800		gem/gem608.png	兵力+10800，可镶嵌于护符	13800	0
509	9级统帅石	orange	9	health	15000		gem/gem609.png	兵力+15000，可镶嵌于护符	16800	0
901	1级士气石	green	1	power	10		gem/gem101.png	士气+10，可镶嵌于装备	400	0
902	2级士气石	blue	2	power	30		gem/gem102.png	士气+30，可镶嵌于装备	1200	0
903	3级士气石	purple	3	power	50		gem/gem103.png	士气+50，可镶嵌于装备	2000	0
904	4级士气石	orange	4	power	80		gem/gem104.png	士气+80，可镶嵌于装备	3200	0
905	5级士气石	orange	5	power	110		gem/gem105.png	士气+110，可镶嵌于装备	4400	0
906	6级士气石	orange	6	power	150		gem/gem106.png	士气+150，可镶嵌于装备	6000	0
907	7级士气石	orange	7	power	190		gem/gem107.png	士气+190，可镶嵌于装备	7600	0
908	8级士气石	orange	8	power	230		gem/gem108.png	士气+230，可镶嵌于装备	9200	0
909	9级士气石	orange	9	power	270		gem/gem109.png	士气+270，可镶嵌于装备	10800	0
