简体	越南
%s驻守矿点时，不忘锻炼自身武艺，苦练之余，获得%s	Khi %s đóng giữ Điểm Khoáng, đừng quên rèn luyện võ nghệ, nhận được %s
%s巡逻矿点时，在废弃的矿洞中发现一个宝箱，打开意外获得%s	Khi %s tuần tra Điểm Khoáng, ở Động Khoáng Bỏ Hoang phát hiện 1 rương, mở ra nhận được %s
%s击败了前来矿场抢夺的几名强盗，整理战利品时意外发现%s	%s đã đánh bại mấy cường đạo đến Bãi Khoáng cướp, khi dọn dẹp chiến lợi phẩm phát hiện %s
%s巡视矿场，在角度发现一个破烂的钱袋，打开获得%s	%s tuần tra Bãi Khoáng, ở bên góc phát hiện 1 Túi Tiền Rách, mở ra được %s
%s在驻守期间，抓获小偷一名，获得官府奖励%s	%s trong lúc đóng giữ, bắt được 1 tên trộm, được quan phủ thưởng %s
矿场发生地震，%s在逃跑时意外拾到%s	Bãi Khoáng có động đất, %s khi chạy nhặt được %s
%s救起了一名落入矿坑摔伤的矿工，获赠%s	%s đã cứu 1 Khoáng Công rơi xuống hầm bị thương, được tặng %s
%s驻守矿场的工作获得矿工一致好评，被官府奖赏%s	Công việc đóng giữ Bãi Khoáng của %s được đánh giá tốt, quan phủ thưởng %s
矿场发生暴乱，%s以一敌百，收复矿场，获得官府奖励%s	Bãi Khoáng có bạo loạn, %s lấy 1 địch 100, được quan phủ thưởng %s
%s人品爆发，走路时在地上捡到%s	%s rất may mắn, khi đi đường nhặt được %s
%s偶遇异国商人，从其手中低价购得%s	%s gặp thương nhân nước ngoài, mua được %s giá rẻ
%s深入矿坑帮助矿工挖矿，意外挖出古代宝箱，获得%s	%s giúp Khoáng Công đào khoáng, đào được rương cổ, nhận được %s
一头深山猛兽袭击矿场，%s追杀至其老巢，在其巢穴中获得%s	1 nhóm Mãnh Thú núi sâu tập kích Bãi Khoáng, %s truy sát đến sào huyệt chúng, trong đó nhận được %s
获得大量宝物	Nhận bảo vật
勇闯汉墓	Lăng Chiến
勇探汉王墓	Đánh bại thủ vệ
勇夺7级宝石	Nhận Ngọc cấp 7
开心充值	Nạp Vui Vẻ
大奖送不停	Tặng Thần Tướng
1人消费全服领奖	Một người tiêu
福利多多领不停	Phúc lợi rất nhiều
活动时间11—12号	Tất cả nhận thưởng
草船借箭	Thuyền Cỏ Mượn Tên
箭矢如飞盖天过	Tiễn vũ thiên thiên
草芥轻摇满载还	Thảo giới khinh diêu
傲视群雄	Ngạo Thị Quần Hùng
天人合一	Thiên Nhân Hợp Nhất
登峰造极	Đăng Phong Tạo Cực
出神入化	Xuất Thần Nhập Hóa
楼异	Lâu Dị
万潜	Vạn Tiềm
马相	Mã Tương
陶升	Đào Thăng
张曼成	Trương Man Thành
徐荣	Từ Vinh
小蝉	Tiểu Thuyền
华雄	Hoa Hùng
守将	Vệ Tướng
敌将	Địch Tướng
李蒙	Lý Mông
李暹	Lý Xiêm
攴胡赤儿	Hồ Xích Nhi
王允	Vương Doãn
李傕	Lý Quyết
胡轸	Hồ Chấn
左灵	Tả Linh
华雄	Hoa Hùng
张济	Trương Tế
段煨	Đoàn Ổi
李儒	Lý Nho
樊稠	Phàn Trù
郭汜	Quách Dĩ
董越	Đổng Việt
董承	Đổng Thừa
牛辅	Ngưu Phụ
董旻	Đổng Mân
董璜	Đổng Hoàng
董卓	Đổng Trác
裴元绍	Bùi Nguyên Thiệu
邓茂	Đặng Mậu
程远志	Trình Viễn Chí
伏完	Phục Hoàn
周仓	Chu Thương
张白骑	Trương Bạch Kị
刘石	Lưu Thạch
孙夏	Tôn Hạ
张梁	Trương Lương
笮融	Trách Dung
高升	Cao Thăng
李乐	Lý Nhạc
彭脱	Bành Thoát
赵媛姜	Triệu Viện Khương
张宝	Trương Bảo
卞喜	Biện Hỉ
何仪	Hà Nghi
郭太	Quách Thái
管亥	Quản Hợi
张角	Trương Giác
郝萌	Hác Manh
高顺	Cao Thuận
许汜	Hứa Dĩ
魏续	Ngụy Tục
成廉	Thành Liêm
薛兰	Tiết Lan
李封	Lý Phong
刘何	Lưu Hà
王楷	Vương Khải
王贺	Vương Hạ
纶直	Luân Trực
侯成	Hầu Thành
骆俊	Lạc Tuấn
宋宪	Tống Hiến
魏越	Ngụy Việt
吕玲绮	Lữ Linh Kỳ
张辽	Trương Liêu
严氏	Nghiêm Thị
吕布	Lữ Bố
舒邵	Thư Thiệu
苟闻建	Cẩu Văn Kiến
陶丘洪	Đào Khâu Hồng
韩胤	Hàn Dận
俞涉	Du Thiệp
苌奴	Trường Nô
诸葛玄	Gia Cát Huyền
惠衢	Huệ Cù
陈纪	Trần Kỷ
刘珐	Lưu Pháp
郑浑	Trịnh Hồn
郑泰	Trịnh Thái
桥蕤	Kiều Nhuy
张天昊	Trương Thiên Hạo
李丰	Lý Phong
纪灵	Kỷ Linh
袁耀	Viên Diệu
袁法	Viên Pháp
冯氏	Phùng Thị
袁术	Viên Thuật
岑壁	Sầm Bích
陈琳	Trần Lâm
周昂	Chu Ngang
冯礼	Phùng Lễ
公孙犊	Công Tôn Độc
高平	Cao Bình
沮授	Thư Thụ
袁遗	Viên Di
韩猛	Hàn Mãnh
韩琼	Hàn Quỳnh
蒋奇	Tưởng Kỳ
焦触	Tiêu Xúc
夏昭	Hạ Chiêu
高柔	Cao Nhu
辛明	Tân Minh
袁谭	Viên Đàm
袁熙	Viên Hi
袁尚	Viên Thượng
刘氏	Lưu Thị
袁绍	Viên Thiệu
乐何当	Lạc Hà Đương
李移子	Lý Di
刘纬台	Lưu Vĩ Đài
乐白	Lạc Bạch
郭铄	Quách Thước
张卿	Trương Khanh
季雍	Quý Ung
范方	Phạm Phương
文则	Văn Tắc
田豫	Điền Dự
关靖	Loan Tĩnh
邹丹	Trâu Đan
单经	Thiền Kinh
田楷	Điền Khải
严纲	Nghiêm Cương
公孙范	Công Tôn Phạm
公孙越	Công Tôn Việt
公孙续	Công Tôn Tục
候氏	Hầu Thị
公孙瓒	Công Tôn Toản
陈应	Trần Ưng
鲍隆	Bào Long
宋忠	Tống Trung
王威	Vương Uy
傅巽	Phụ Tốn
韩嵩	Hàn Tung
张允	Trương Doãn
刘磐	Lưu Bàn
李珪	Lý Khuê
蒯越	Khoái Việt
杨龄	Dương Linh
韩玄	Hàn Huyền
刘度	Lưu Độ
刘贤	Lưu Hiền
赵范	Triệu Phạm
刘修	Lưu Tu
刘琮	Lưu Tông
刘琦	Lưu Kỳ
蔡氏	Thái Thị
刘表	Lưu Biểu
庞柔	Bàng Nhu
庞隽	Bàng Tuấn
马援	Mã Viện
宋建	Tống Kiến
柏亥	Bá Hợi
马肃	Mã Túc
戴勇	Đái Dũng
杨松	Dương Tùng
杨柏	Dương Bá
黄奎	Hoàng Khuê
马岱	Mã Đại
刘婕	Lưu Tiệp
梁兴	Lương Hưng
毛绥	Mao Tuy
马铁	Mã Thiết
李堪	Lý Kham
许临	Hứa Lâm
马休	Mã Hưu
程氏	Trình Thị
马腾	Mã Đằng
天山大王	Thiên Sơn Đại Vương
黄草洞主	Hoàng Thảo Động Chủ
红砂洞主	Hồng Sa Động Chủ
碧水洞主	Bích Thủy Động Chủ
镇山大王	Trấn Sơn Đại Vương
蜈蚣洞主	Ngô Công Động Chủ
清峰大王	Thanh Phong Đại Vương
鹭江洞主	Lộ Giang Động Chủ
天魔洞主	Thiên Ma Động Chủ
飞龙洞主	Phi Long Động Chủ
蝶仔洞主	Điệp Tử Động Chủ
阿力赤	A Lực Xích
伽蓝洞主	Già Lam Động Chủ
车鹿会	Xa Lộc Hội
忙笛安	Mang Địch An
杨朵	Dương Đóa
杨锋	Dương Phong
沙摩柯	Sa Ma Kha
带来洞主	Đái Lai Động Chủ
孟获	Mạnh Hoạch
朱然	Chu Nhiên
麋芳	Mi Phương
蒋钦	Tưởng Khâm
朱桓	Chu Hoàn
程普	Trình Phổ
韩当	Hàn Đương
董袭	Đổng Tập
徐盛	Từ Thịnh
贺齐	Hạ Tề
张承	Trương Thừa
孙皎	Tôn Hiệu
宋谦	Tống Khiêm
大乔	Đại Kiều
孙策	Tôn Sách
徐琨	Từ Côn
鲁肃	Lỗ Túc
小乔	Tiểu Kiều
周瑜	Chu Du
袁夫人	Viên phu nhân
孙权	Tôn Quyền
于禁	Vu Cấm
乐进	Lạc Tiến
赵姬	Triệu Cơ
荀攸	Tuân Du
曹真	Tào Chân
蔡瑁	Thái Mạo
夏侯渊	Hạ Hầu Uyên
郭嘉	Quách Gia
夏侯玄	Hạ Hầu Uyên
邓艾	Đặng Nghệ
刘烨	Lưu Diệp
贾诩	Giả Hủ
夏侯惠	Hạ Hầu Huệ
秦夫人	Tần Phu Nhân
夏侯尚	Hạ Hầu Thượng
荀彧	Tuân Úc
张郃	Trương Hợp
王昭仪	Vương Chiêu Nghi
典韦	Điển Vi
曹操	Tào Tháo
张雷公	Trương Lôi Công
于毒	Vu Độc
张燕	Trương Yến
赵弘	Triệu Hoằng
韩忠	Hàn Trung
白绕	Bạch Nhiễu
波才	Ba Tài
杨凤	Dương Phụng
左髭丈八	Tả Tì Trượng Bát
孙康	Tôn Khang
孙观	Tôn Quan
吴敦	Ngô Đôn
尹礼	Doãn Lễ
臧霸	Tang Bá
昌豨	Xương Hi
李春香	Lý Xuân Hương
金尚	Kim Thượng
韩暹	Hàn Tiêm
张勋	Trương Huân
韩定	Hàn Định
张炯	Trương Quýnh
刘祥	Lưu Tường
袁凯	Viên Khải
高干	Cao Can
张旭	Trương Húc
吕威璜	Lữ Uy Hoàng
审配	Thẩm Phối
审荣	Thẩm Vinh
蒋义渠	Tưởng Nghĩa Cừ
白马义从	Bạch Mã Nghĩa Tùng
郭昕	Quách Hân
王门	Vương Môn
宿舒	Thúc Thư
孙综	Tôn Tông
金旋	Kim Tuyền
巩志	Củng Chí
伊籍	Y Tịch
邓羲	Đặng Hi
王粲	Vương Xán
张怿	Trương Dịch
张羡	Trương Tiện
苏代	Tô Đại
贝羽	Bối Vũ
张横	Trương Hoành
成宜	Thành Nghi
杨秋	Dương Thu
阎行	Diêm Hành
成公英	Thành Công Anh
边章	Biên Chương
阿六敦	A Lục Đôn
水鹰大王	Thủy Ưng Đại Vương
雷鸣大王	Lôi Minh Đại Vương
寿山洞主	Thọ Sơn Động Chủ
水晶洞主	Thủy Tinh Động Chủ
雷万兴	Lôi Vạn Hưng
蓝凤高	Lam Phụng Cao
诸葛建	Gia Cát Kiến
诸葛竦	Gia Cát Tủng
诸葛绰	Gia Cát Xước
诸葛恪	Gia Cát Khác
诸葛瑾	Gia Cát Cẩn
武烈皇后	Võ Liệt Hoàng Hậu
孙坚	Tôn Kiên
文聘	Văn Sính
夏侯霸	Hạ Hầu Bá
戏志才	Hí Chí Tài
李通	Lý Thông
刘夫人	Lưu Phu Nhân
周祥兆	Chu Tường Triệu
杜夫人	Đỗ Phu Nhân
秦宜禄	Tần Nghi Lộc
蔵洪	Tàng Hồng
李肃	Lý Túc
雷薄	Lôi Bác
李业	Lý Nghiệp
陈瑀	Trần Vũ
杨弘	Dương Hoằng
刘勋	Lưu Huân
颜良	Nhan Lương
郭图	Quách Đồ
田丰	Điền Phong
文丑	Văn Xú
公孙修	Công Tôn Tu
伦直	Luân Trực
贾范	Giả Phạm
柳甫	Liễu Phủ
公孙渊	Công Tôn Uyên
邢道荣	Hình Đạo Vinh
吕公	Lữ Công
蒯良	Khoái Lương
苏飞	Tô Phi
黄祖	Hoàng Tổ
北宫伯玉	Bắc Cung Bá Ngọc
李文候	Lý Văn Hậu
程银	Trình Ngân
候选	Hậu Tuyển
韩遂	Hàn Toại
朵思大王	Đóa Tư Đại Vương
兀突骨	Ngột Đột Cốt
木鹿大王	Mộc Lộc Đại Vương
彻里吉	Triệt Lý Cát
祝融	Chúc Dung
丁奉	Đinh Bổng
潘璋	Phan Chương
周泰	Chu Thái
凌统	Lăng Thống
甘宁	Cam Ninh
曹洪	Tào Hồng
曹植	Tào Thực
曹仁	Tào Nhân
藏霸	Tàng Bá
马元义	Mã Nguyên Nghĩa
卜己	Bốc Kỷ
黄龙	Hoàng Long
大洪	Đại Hồng
张牛角	Trương Ngưu Giác
陈宫	Trần Cung
曹性	Tào Tính
韩巍	Hàn Nguy
曹氏	Tào Thị
曹豹	Tào Báo
袁嗣	Viên Tự
乐就	Lạc Tựu
阎象	Diêm Tượng
荀正	Tuân Chính
徐璆	Từ Cầu
郭于淳	Quách Vu Thuần
逢纪	Phùng Kỷ
汗卢维	Hãn Lô Duy
许攸	Hứa Du
公孙康	Công Tôn Khang
公孙晃	Công Tôn Hoảng
柳夫人	Liễu Phu
公孙恭	Công Tôn Cung
公孙度	Công Tôn Độ
蔡中	Thái Trung
蔡和	Thái Hòa
蔡勋	Thái Huân
马玩	Mã Ngoạn
庞德	Bàng Đức
马云騼	Mã Vân Lộc
马超	Mã Siêu
金环三结	Kim Hoàn Tam Kết
董茶那	Đổng Trà Na
阿会喃	A Hội Nam
忙牙长	Mang Nha Trường
黄盖	Hoàng Cái
太史慈	Thái Sử Từ
吕蒙	Lữ Mông
陆逊	Lục Tốn
孙皓	Tôn Hạo
杨修	Dương Tu
孙姬	Tôn Cơ
徐晃	Từ Hoảng
司马懿	Tư Mã Ý
冀州宝箱	Ký Châu Bảo Rương
司州宝箱	Tư Châu Bảo Rương
青州宝箱	Thanh Châu Bảo Rương
豫州宝箱	Dự Châu Bảo Rương
幽州宝箱	U Châu Bảo Rương
荆州宝箱	Kinh Châu Bảo Rương
凉州宝箱	Lương Châu Bảo Rương
南蛮宝箱	Nam Man Bảo Rương
扬州宝箱	Dương Châu Bảo Rương
益州宝箱	Ích Châu Bảo Rương
洛神	Lạc Thần
孙尚香	Tôn Thượng Hương
蔡文姬	Thái Văn Cơ
黄月英	Hoàng Nguyệt Anh
甄姬	Chân Cơ
貂蝉	Điêu Thuyền
奖励道具	Phần thưởng vật phẩm
奖励资源	Phần thưởng tài nguyên
获得通商次数	Nhận được số lần thông thương
遭遇战斗	Tao ngộ chiến đấu
贼兵	Tặc Binh
刀	Đao
枪	Thương
骑	Kỵ
谋	Mưu
红	Hồng
王	Vương
胜	Thắng
平	Bình
败	Bại
兖州	Duyện Châu
冀州	Kí Châu
司州	Tư Châu
青州	Thanh Châu
豫州	Dự Châu
幽州	U Châu
荆州	Kinh Châu
凉州	Lương Châu
南蛮	Nam Man
扬州	Dương Châu
益州	Ích Châu
征收金币	Thu thuế
征收粮草	Thu hoạch
征战关卡	Chinh chiến quan ải
挑战英雄祭坛	Khiêu chiến Anh Hùng Tế Đàn
挑战精英士兵	Khiêu chiến Sĩ Binh Tinh Anh
挑战精英武将	Khiêu chiến Tướng Tinh Anh
擂台挑战	Khiêu chiến Lôi Đài
占领金矿	Chiếm Ngân Khoáng
拼合技能书	Hợp Sách Kỹ Năng
训练武将	Huấn luyện Võ Tướng
镖行天下	Tây Vực Thông Thương
军机处历练	Luyện Quân Kỹ
武将炼魂	Võ Tướng Ấn Hồn
雌雄双剑	Song Kiếm
相传是刘备年轻时倾家荡产打造的，而且店家当时举办了买一赠一的促销活动。	Tương truyền là Lưu Bị lúc còn trẻ luyện khuynh gia bại sản, mà các Tiệm vào thời điểm đó lại tổ chức hoạt động tiêu thụ mua 1 tặng 1.
隐士扇	Ẩn Sĩ Phiến
隐士牌羽扇，全国销量领先，荣获三国最驰名商标，烧火做饭时可用来扇风。	Quạt lông vũ Ẩn Sĩ, bán chạy nhất khắp toàn quốc, thương hiệu nổi tiếng khắp Tam Quốc, có thể dùng để quạt khi bắt lửa nấu cơm
鹿皮铠	Lộc Bì Khải
作为国家一级保护动物，梅花鹿感觉压力很大，直到它膝盖中了一箭。	Là loại động vật được quốc gia bảo vệ bậc nhất, hươu sao cảm thấy rất áp lực, mãi đến khi trúng 1 tên ở đầu gối
参将符	Tham Tướng Phù
其实路边刻章的小贩手里有很多，赔钱货一个铜板一个。	Thực ra tên tiểu thương chạm khắc bên đường kia có trong tay rất nhiều, bồi thường hàng 1 xu 1 cái
兖州英雄祭坛尚未解锁	Duyện Châu Anh Hùng Tế Đàn chưa mở
七星剑	Thất Tinh Kiếm
当年诸葛亮借东风，登坛作法时所用之剑，据说也可以用它召唤出神龙斗士。	Năm đó Gia Cát Lượng mượn gió Đông phong, thanh kiếm dùng để lập đàn cầu gió Đông, đồn rằng có thể dùng nó để kêu gọi thần long đấu sĩ
琉璃扇	Lưu Ly Phiến
看上去像琉璃一般玲珑剔透，做工极为巧妙，而且价格公道，故而能引领一代潮流。	Nhìn vào lung linh đặc sắc giống lưu ly, gia công lại rất tinh xảo, mà giá lại phải chăng, chắc sẽ tạo ra một trào lưu rất sốt đấy
战斗轻甲	Khinh Giáp
该战衣的成功流行，其实只是保暖内衣老板的阴谋。	Chiến giáp này đã thành công lưu hành, thực ra chỉ là âm mưu giữ ấm cho áo trong của chủ tiệm mà thôi
郎将符	Lang Tướng Phù
上下班打卡必备，顺便可以用来盖章。	Thượng hạ ban đả bài tất bị, thuận tiện dùng để đóng dấu
古锭刀	Cổ Đĩnh Đao
孙家的祖传菜刀，沉重异常，十几年来，孙家凭此刀一直蝉联东吴厨王大赛冠军。	Đao gia truyền của Tôn gia ta đây, phi thường khác biệt, 10 mấy năm nay, Tôn gia đều dựa vào nó liên tục giành quán quân các cuộc thi trù vương của Đông Ngô
凤羽扇	Phong Vũ Phiến
据传是由凤凰羽毛制成，挥动时仿佛能听到凤凰鸣啼，此功能对耳聋者无效。	Tương truyền rằng được làm từ lông phượng hoàng, khi vẫy quạt hình như nghe thấy tiếng kêu phượng hoàng, công năng này vô hiệu đối với người điếc tai
坚固皮甲	Kiên Bì Giáp
当年的金刚就是穿着这身铁甲打飞机的，不信你可以看看胸口上的拳印。	Kim cang năm đó tức là khoác trên mình toàn thân chiến giáp, nếu không tin ngươi có thể xem thử quyền ấn trên ngực ta nè
将军符	Tướng Quân Phù
用美玉定制的高级货，“同意”专用章。	Dùng loại mỹ ngọc cao cấp đặt chế
冀州英雄祭坛尚未解锁	Kí Châu Anh Hùng Tế Đàn chưa mở
麒麟弓	Kì Lân Cung
一把很神奇的弓，据说弓弦是用麒麟胡须制成，用它弹棉花格外顺手。	Một cây cung vô cùng thần kì, tương truyền dây cung được làm từ râu kì lân, khi dùng vô cùng thuận tay
五彩扇	Ngũ Thái Phiến
轻盈小巧，并带有五彩斑斓光芒，夜晚使用可以照明，和光头搭配效果更佳。	Nhẹ và tinh xảo, có tia sáng rực rỡ của ngũ sắc, ban đêm có thể dùng để chiếu sáng
神武战甲	Thần Võ Giáp
英明和神武缺一不可，想要神武靠衣装，想要英明请喝脑黄金。	Anh minh và thần võ khuyết nhất bất khả, thần võ dựa vào chiến phục
军神印	Quân Thần Ấn
军神除了巨能打以外，还有一个优点，那就是巨能盖！	Quân thần ngoài sức đánh khổng lồ còn có 1 ưu điểm, là còn có thể đóng ấn mạnh mẽ !
司州英雄祭坛尚未解锁	Tư Châu Anh Hùng Tế Đàn chưa mở
贯石斧	Quán Thạch Phủ
一把散发着诡异光芒的神斧，坚硬非常，足以砸碎所有型号的手机。	Toát lên vẻ đẹp trong sáng lạ lùng của thần phủ, vô cùng kiên cố, đủ để phá vỡ tất cả các mẫu điện thoại
鬼王扇	Quỷ Vương Phiến
散发着诡异黑气的扇子，和鬼王有莫大渊源，挥动时阴冷异常，很容易引发感冒。	Thoát lên luồng khí đen bí ẩn, có chung nguồn gốc với Quỷ vương, khi vẫy có luồng khí lạnh, rất dễ gây cảm cúm
伏虎战甲	Phục Hổ Giáp
一山不容二虎，除非一公一母，伏虎战甲可以替你消灭所有公老虎。	Một núi không thể có 2 hổ, trừ phi là 1 đực 1 cái, phục hổ chiến giáp có thể giúp ngươi tiêu diệt hết tất cả hổ đực
统帅印	Thống Soái Ấn
统亿和康帅傅两大知名品牌合力打造的专用印章，不是一般人可以拥有的。	Là chuyên ấn mà Thống Ức và Khang sư phụ cùng hợp lực tạo nên, người bình thường không thể nào có được đâu !
青州英雄祭坛尚未解锁	Thanh Châu Anh Hùng Tế Đàn chưa mở
丈八蛇矛	Bát Xà Mâu
此矛非比寻常，乃是张飞上阵杀敌时最犀利的杀器，也是干家务时最顺手的撑衣杆。	Mâu này khác biệt với bình thường, là sát khí sắc bén nhất khi Trương Phi lên trận giết địch
神仙扇	Thần Tiên Phiến
神仙谪凡后所用的羽扇，金光闪耀，拿到当铺可以当一个好价钱。	Vũ phiến khi thần tiên giáng phàm dùng, lấp lánh ánh kim, có thể cầm được một số tiền kha khá ở tiệm cầm đồ đấy
鬼纹战甲	Quỷ Văn Giáp
