编号	名字	品质	马匹素材	兑换所需马币	出售可得马币	基础攻击	基础物理防御	基础魔法防御	基础血量	攻击成长系数	物理防御成长系数	魔法防御成长系数	血量成长系数	道具套马的概率	最大金币消耗时的套马概率	金币套马的概率1	金币套马的概率2	金币套马的概率3	金币套马的概率4	金币套马的概率5	金币套马的概率6	金币套马的概率7	金币套马的概率8	金币套马的概率9	金币套马的概率10	马匹描述
10	惊帆	orange	horse/jing_fan.png	2000	600	2000	1000	1000	1500	1150	1070	1070	1095	9	8	5	5	5	6	6	6	6	7	7	7	河套名马，耐力惊人，奔行时如行云流水，有驰骤烈风举帆之疾 ，故名惊帆。
11	白鹤	purple	horse/purple_horse_1.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	曹洪所属之马，身形高壮，耐力、跃力惊人，时有人言：“凭空虚跃，曹家白鹤。”
12	白鸽	purple	horse/purple_horse_2.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	马首如鸽头，双眼灵动有神，全身洁白无异色，气质儒雅高洁，曾为陆逊坐骑。
13	白龙驹	purple	horse/purple_horse_3.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	外形俊朗，身有龙角龙鳞状斑纹，是为龙属坐骑，高贵无比。
14	乌骓	purple	horse/purple_horse_4.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	霸王项羽坐骑同属马匹，通体乌黑，耐力惊人，骁勇善战，为良将所喜。
15	快航	purple	horse/purple_horse_1.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	孙权坐骑之一，高大威武，奔速奇快，宛若江上快行之帆，故以之为名。
16	白浪	purple	horse/purple_horse_2.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	三国名马，马匹全身洁白如雪，好静，奔行时如水浪流逝，故而得名。
17	黑云	purple	horse/purple_horse_3.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	毛色乌黑，油亮有光彩，奔速奇绝，宛若黑云，故而名之，曾为周泰坐骑。
18	奔雷	purple	horse/purple_horse_4.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	大宛名马，奔速极快，行至兴起处，长引吭嘶鸣，势若奔雷，故而名之。
19	白灵	purple	horse/purple_horse_3.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	大宛良马，全身雪白，极有灵性，善解人意，马匹小巧，灵巧快捷，为女将所喜。
20	燎原火	purple	horse/purple_horse_4.png	400	100	1500	700	700	1000	1080	1050	1050	1050	250	300	200	300	300	300	300	250	250	250	250	250	大宛良马，脾气刚烈，老而弥坚，与黄忠秉性相投，为黄忠坐骑。
21	军马	blue	horse/green_horse_2.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	军中精锐战士所用马匹，马匹精壮善战，不惧刀剑。
22	商社马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	民间商社所用马匹，耐力良好，但爆发力不够，多用于商途运输。
23	关外马	blue	horse/green_horse_4.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	关外良马，后被引入关内，体质优异，为广大军民所喜。
24	西凉马	blue	horse/green_horse_1.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	西凉马匹，能耐严苛天气，多用作长期商途和军旅征战。
25	辽东马	blue	horse/green_horse_2.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	辽东马匹，高大雄壮，爆发力惊人，但耐力稍差。长用作短途战事。
26	中原马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	中原地区所产马匹，能适应中原地区地形气候，多为本地人所用。
27	山地马	blue	horse/green_horse_1.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	特殊马匹，在山地上仍能正常奔行，多为作山旅行人所用。
28	大漠马	blue	horse/green_horse_2.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	特殊马匹，耐力极强，能适应大漠的严苛环境，是沙漠行人必备坐骑。
29	雪原马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	特殊马匹，在严寒环境中仍能正常奔行，雪原乡民几乎家家皆有所养。
30	草原马	blue	horse/green_horse_4.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	特殊马匹，比一般马匹更适应草原环境，是牧民的良伴。
31	远行马	blue	horse/green_horse_1.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	特殊马匹，耐力极强，能适应长距离奔行，但爆发力不足。
32	家养马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	百姓所养马匹，多用于日常生产，无特殊特点。
33	黄鬃马	blue	horse/green_horse_2.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，因马鬓橙黄色而命名，无特殊特点。
34	黑马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，因全身毛发大多为黑色而取名。
35	白马	blue	horse/green_horse_4.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，因全身毛发大多为白色而取名。
36	运货马	blue	horse/green_horse_1.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，多用于民间短途货物运输，无特异之处。
37	白斑马	blue	horse/green_horse_2.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，因毛发中夹杂有白斑而得名。
38	行军马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通军用马匹，常用于行军途中托运军资。
39	次品马	blue	horse/green_horse_4.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	次等品质马匹，无特异之处，多用于日常普通生活。
40	矮脚马	blue	horse/green_horse_1.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，马腿较短，适合平时闲游骑乘。
41	跛脚马	blue	horse/green_horse_2.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	普通马匹，因跛脚缘故，只能做日常简单短途运输使用。
42	幼马	blue	horse/green_horse_3.png	100	30	800	300	300	500	1020	1020	1020	1020	1	5	1000	750	600	450	300	200	150	100	50	30	幼年马匹，只能做基本的轻短途运输和少量生产工作。
