编号	有缘马ID	有缘马匹加成	马鞭缘分等级	马鞭额外加成属性数值	马鞍缘分等级	马鞍额外加成属性数值
45	23	attack:200	10	defence:200	10	mdefence:200
46	24	attack:200	10	defence:200	10	mdefence:200
47	25	attack:200	10	defence:200	10	mdefence:200
31	26	attack:200	10	defence:200	10	mdefence:200
48	27	attack:200	10	defence:200	10	mdefence:200
49	28	attack:200	10	defence:200	10	mdefence:200
50	29	attack:200	10	defence:200	10	mdefence:200
51	30	attack:200	10	defence:200	10	mdefence:200
52	31	attack:200	10	defence:200	10	mdefence:200
53	32	attack:200	10	defence:200	10	mdefence:200
54	33	attack:200	10	defence:200	10	mdefence:200
55	34	attack:200	10	defence:200	10	mdefence:200
56	35	attack:200	10	defence:200	10	mdefence:200
57	36	attack:200	10	defence:200	10	mdefence:200
58	37	attack:200	10	defence:200	10	mdefence:200
59	38	attack:200	10	defence:200	10	mdefence:200
60	39	attack:200	10	defence:200	10	mdefence:200
110	40	attack:200	10	defence:200	10	mdefence:200
61	41	attack:200	10	defence:200	10	mdefence:200
62	42	attack:200	10	defence:200	10	mdefence:200
111	18	attack:200	10	defence:200	10	mdefence:200
112	19	attack:200	10	defence:200	10	mdefence:200
113	20	attack:200	10	defence:200	10	mdefence:200
41	21	attack:500	10	defence:500	10	mdefence:500
63	22	attack:500	10	defence:500	10	mdefence:500
64	23	attack:500	10	defence:500	10	mdefence:500
65	24	attack:500	10	defence:500	10	mdefence:500
66	25	attack:500	10	defence:500	10	mdefence:500
67	26	attack:500	10	defence:500	10	mdefence:500
68	27	attack:500	10	defence:500	10	mdefence:500
70	28	attack:500	10	defence:500	10	mdefence:500
71	29	attack:500	10	defence:500	10	mdefence:500
104	30	attack:500	10	defence:500	10	mdefence:500
72	31	attack:500	10	defence:500	10	mdefence:500
73	32	attack:500	10	defence:500	10	mdefence:500
74	33	attack:500	10	defence:500	10	mdefence:500
75	34	attack:500	10	defence:500	10	mdefence:500
105	35	attack:500	10	defence:500	10	mdefence:500
76	36	attack:500	10	defence:500	10	mdefence:500
77	37	attack:500	10	defence:500	10	mdefence:500
78	38	attack:500	10	defence:500	10	mdefence:500
79	39	attack:500	10	defence:500	10	mdefence:500
106	12	attack:500	10	defence:500	10	mdefence:500
80	13	attack:500	10	defence:500	10	mdefence:500
81	14	attack:500	10	defence:500	10	mdefence:500
82	15	attack:500	10	defence:500	10	mdefence:500
107	16	attack:500	10	defence:500	10	mdefence:500
108	17	attack:500	10	defence:500	10	mdefence:500
83	20	attack:1500	10	defence:1500	10	mdefence:1500
84	11	attack:1500	10	defence:1500	10	mdefence:1500
86	12	attack:1500	10	defence:1500	10	mdefence:1500
85	13	attack:1500	10	defence:1500	10	mdefence:1500
87	14	attack:1500	10	defence:1500	10	mdefence:1500
69	15	attack:1500	10	defence:1500	10	mdefence:1500
88	16	attack:1500	10	defence:1500	10	mdefence:1500
89	17	attack:1500	10	defence:1500	10	mdefence:1500
90	18	attack:1500	10	defence:1500	10	mdefence:1500
91	12	attack:1500	10	defence:1500	10	mdefence:1500
92	12	attack:1500	10	defence:1500	10	mdefence:1500
93	3	health:3000	10	defence:2500	10	mdefence:2500
94	3	health:4000	10	block:1000	10	fortitude:1000
96	5	attack:3000	10	critdamage:1000	10	health:1000
97	6	attack:3000	10	critdamage:800	10	health:1000
95	9	attack:3000	10	hit:800	10	critdamage:800
98	1	attack:3000	10	hit:1000	10	miss:600
99	2	attack:2500	10	unblock:800	10	hit:800
100	7	attack:2500	10	critdamage:800	10	unblock:800
101	8	attack:3000	10	hit:800	10	health:1000
119	4	attack:3000	10	hit:1000	10	critdamage:1000
102	10	attack:2500	10	unblock:800	10	health:1000
103	7	attack:2500	10	health:1000	10	hit:800
120	4	attack:2500	10	hit:800	10	critdamage:800
121	2	attack:3500	10	critdamage:1000	10	health:1000
