id	姓	男人名	女人名
73	杀戮的	人达	孤菱
74	俗气的	亿先	沛萍
75	皇家的	不评	梦柏
76	金属的	成威	从阳
77	英姿的	成败	绿海
78	细心的	难胜	白梅
79	摩登的	人英	秋烟
80	热情的	忘幽	访旋
81	跳舞的	世德	元珊
82	残忍的	世平	凌旋
83	精悍的	广山	依珊
84	苍白的	德天	寻凝
85	恭敬的	人雄	幻柏
86	冒险的	人杰	雨寒
87	怪异的	不言	寒安
88	安闲的	难摧	怀绿
89	幻影的	世立	书琴
90	清纯的	老三	水香
91	古铜的	若之	向彤
92	帅气的	成危	曼冬
93	黑暗的	元龙	怜梦
94	沉睡的	成仁	安珊
95	强大的	若剑	映阳
96	蓬勃的	难敌	思天
97	严格的	浩阑	初珍
98	苗条的	士晋	冷珍
99	茫然的	铸海	海安
100	冷淡的	人龙	从彤
101	年轻的	伯云	灵珊
102	狭窄的	老头	夏彤
103	粉嫩的	南风	映菡
104	奔跑的	擎宇	青筠
105	腐化的	浩轩	幼荷
106	坚毅的	煜城	冷霜
107	风度的	博涛	凝旋
108	风尘的	问安	夜柳
109	癫痫的	烨霖	紫文
110	平静的	天佑	凡桃
111	可笑的	明雪	醉蝶
112	飘逸的	书芹	从云
113	振奋的	半雪	冰萍
114	疯狂的	伟祺	小萱
115	神经的	从安	白筠
116	无耻的	寻菡	依云
117	狂暴的	秋寒	元柏
118	聪慧的	谷槐	丹烟
119	睿智的	文轩	念云
120	骄傲的	立诚	易蓉
121	自负的	立果	青易
122	英勇的	明轩	友卉
123	无双的	楷瑞	若山
124	神奇的	炎彬	涵柳
125	崩溃的	鹏煊	映菱
126	搞笑的	幼南	依凝
127	土豪的	沛山	怜南
128	你懂的	不尤	水儿
129	逆袭的	道天	从筠
130	坑爹的	剑愁	千秋
131	吐槽的	千筹	代芙
132	碉堡的	广缘	之卉
133	略吊的	天奇	幻丝
134	卖萌的	道罡	书瑶
135	蛋疼的	远望	含之
136	躺枪的	乘风	雪珊
137	次奥的	剑心	海之
138	围观的	道之	寄云
139	废柴	乘云	盼海
140	点赞的	绝施	谷梦
141	灌水的	冥幽	雁兰
142	酱紫的	天抒	晓灵
143	抓狂的	剑成	向珊
144	有范的	士萧	宛筠
145	逆天的	文龙	笑南
146	揉道的	一鸣	梦容
147	萌翻的	剑鬼	寄柔
148	骚年	半仙	静枫
149	逗比的	万言	尔容
150	纯洁的	剑封	沛蓝
151	惊呆的	远锋	宛海
152	传奇的	天与	迎彤
153	传说的	元正	梦易
154	寂寞的	世开	惜海
155	淡定的	不凡	灵阳
156	威武的	断缘	念寒
157	霸气的	中道	采梦
158	山寨的	绝悟	梦山
159	给力的	道消	醉波
160	骨感的	断秋	慕晴
161	呆萌的	远山	安彤
162	备胎	蓝血	半烟
163	危险的	无招	翠桃
164	雷人的	无极	书蝶
165	弱弱的	鬼神	寻云
166	斯文的	满天	冰绿
167	温柔的	飞扬	山雁
168	胆怯的	醉山	南莲
169	胆小的	语堂	夜梅
170	霸道的	懿轩	翠阳
171	华丽的	雅阳	芷文
172	华贵的	鑫鹏	南露
173	奢华的	文昊	向真
174	雍容的	松思	又晴
175	包邮的	水云	又蓝
176	你懂的	山柳	雅旋
177	高兴的	荣轩	千儿
178	欢快的	绮彤	听安
179	开心的	沛白	凌蝶
180	愉快的	慕蕊	向露
181	欢乐的	觅云	从凝
182	欢腾的	鹭洋	雨双
183	欢欣的	立轩	依白
184	欢喜的	金鑫	以筠
185	愤怒的	健柏	浮云
186	生气的	元芳	萝莉
187	伤心的	正太	宅女
188	忧郁的	宅男	蕾丝
189	忧伤的	斯巴达	拉拉
190	善良的	之玉	恐龙
191	开朗的	越泽	腐女
192	活泼的	锦程	醉易
193	好动的	修杰	紫萱
194	轻松的	烨伟	紫霜
195	可爱的	尔曼	紫南
196	幽默的	立辉	紫菱
197	真诚的	致远	紫蓝
198	豪爽的	天思	紫翠
199	耿直的	友绿	紫安
200	成熟的	聪健	芷天
201	独立的	修洁	芷容
202	果断的	访琴	芷巧
203	健谈的	初彤	芷卉
204	机智的	谷雪	芷荷
205	机敏的	平灵	元霜
206	坚强的	源智	元绿
207	兴奋的	烨华	元槐
208	率真的	振家	元枫
209	有爱的	越彬	语雪
210	风趣的	子轩	语山
211	沉静的	伟宸	语蓉
212	谨慎的	晋鹏	语琴
213	忠诚的	觅松	语海
214	友善的	海亦	语芙
215	严肃的	雨珍	语儿
216	忠心的	浩宇	语蝶
217	乐观的	嘉熙	雨雪
218	坦率的	志泽	雨文
219	勇敢的	苑博	雨梅
220	自信的	念波	雨莲
221	自立的	峻熙	雨兰
222	沉着的	俊驰	幼丝
223	执着的	聪展	幼枫
224	体贴的	南松	又菡
225	满足的	问旋	友梅
226	积极的	黎昕	友儿
227	有趣的	谷波	映萱
228	知足的	凝海	映安
229	勤劳的	靖易	迎梦
230	和气的	芷烟	迎波
231	无畏的	渊思	易巧
232	务实的	煜祺	亦丝
233	冲动的	乐驹	亦巧
234	幼稚的	风华	忆雪
235	任性的	睿渊	忆文
236	拜金的	博超	忆梅
237	倔强的	天磊	忆枫
238	武断的	夜白	以丹
239	善变的	初晴	依丝
240	狡猾的	秋白	夜玉
241	懒惰的	瑾瑜	夜梦
242	顽固的	鹏飞	夜春
243	冷漠的	弘文	雁荷
244	逆反的	伟泽	雁风
245	内向的	迎松	雅彤
246	脆弱的	雨泽	雅琴
247	自卑的	鹏笑	寻梅
248	害羞的	诗云	寻冬
249	敏感的	白易	雪珍
250	迟钝的	远航	雪瑶
251	柔弱的	笑白	雪旋
252	猥琐的	映波	雪卉
253	顺从的	代桃	笑旋
254	胆小的	晓啸	笑蓝
255	安静的	智宸	笑翠
256	保守的	晓博	晓亦
257	被动的	靖琪	晓夏
258	主动的	十八	向梦
259	温和的	君浩	香萱
260	老实的	绍辉	香岚
261	平和的	冷安	夏真
262	含蓄的	盼旋	夏山
263	羞涩的	天德	夏兰
264	缓慢的	铁身	惜雪
265	暧昧的	老黑	惜蕊
266	散漫的	半邪	惜灵
267	啰嗦的	半山	问夏
268	唠叨的	一江	问蕊
269	贤淑的	冰安	问梅
270	腼腆的	皓轩	听筠
271	泼辣的	子默	听枫
272	细腻的	熠彤	天曼
273	稚气的	青寒	思松
274	憨厚的	烨磊	思菱
275	世故的	愚志	水瑶
276	精明的	飞风	水彤
277	稳重的	问筠	书竹
278	婆妈的	旭尧	书易
279	现实的	妙海	诗桃
280	特殊的	平文	诗双
281	漂亮的	冷之	诗珊
282	精致的	尔阳	诗蕊
283	精彩的	天宇	山菡
284	优秀的	正豪	山蝶
285	感性的	文博	若雁
286	知性的	明辉	若菱
287	幸福的	行恶	如风
288	时尚的	哲瀚	如冬
289	开放的	子骞	如波
290	传统的	泽洋	秋柔
291	经典的	灵竹	青雪
292	自由的	幼旋	青曼
293	性感的	百招	千亦
294	流行的	不斜	千柔
295	完美的	擎汉	千柳
296	保密的	千万	绮琴
297	丢范儿的	高烽	绮梅
298	天真的	大开	平萱
299	傻傻的	不正	平露
300	放空的	伟帮	沛儿
301	穿越的	如豹	盼烟
302	扭曲的	三德	凝雁
303	放大的	三毒	凝安
304	缩小的	连虎	念之
305	肥胖的	十三	念柏
306	纤细的	酬海	妙之
307	壮硕的	天川	妙梦
308	畸形的	一德	妙柏
309	液态的	复天	梦之
310	固态的	牛青	梦桃
311	气态的	羊青	梦琪
312	分离的	大楚	梦露
313	游离的	傀斗	梦凡
314	邋遢的	老五	曼容
315	慷慨的	老九	曼荷
316	暴露的	定帮	曼寒
317	原始的	自中	曼安
318	逆反的	开山	绿真
319	堕落的	似狮	凌文
320	腐朽的	无声	凌青
321	绝望的	一手	凌波
322	恐怖的	严青	怜阳
323	弱势的	老四	怜珊
324	盲目的	不可	冷雪
325	弱智的	随阴	冷荷
326	摇滚的	大有	乐萱
327	秀逗的	中恶	乐天
328	三朝元老	延恶	乐松
329	开国功臣	百川	乐枫
330	大将军	世倌	静芙
331	骠骑将军	连碧	靖柏
332	车骑将军	岱周	寄真
333	督军	擎苍	寄文
334	大都督	思远	寄琴
335	中郎将	嘉懿	幻天
336	后将军	鸿煊	幻珊
337	偏将军	笑天	寒天
338	前护军	晟睿	寒凝
339	征东将军	强炫	寒梦
340	征南将军	寄灵	寒荷
341	征西将军	听白	涵易
342	征北将军	鸿涛	涵菱
343	禁军教头	孤风	含玉
344	齐天大圣	青文	含烟
345	平天大圣	盼秋	含灵
346	覆海大圣	怜烟	含蕾
347	混天大圣	浩然	海云
348	移山大圣	明杰	海冬
349	通风大圣	昊焱	谷蕊
350	驱神大圣	伟诚	谷兰
351	炮灰	剑通	飞珍
352	小白	鹏涛	飞槐
353	菜鸟	鑫磊	访云
354	杀很大	醉薇	访烟
355	辣手摧花	尔蓝	访天
356	乱臣贼子	靖仇	访风
357	盗墓贼	成风	凡阳
358	欺诈者	豪英	凡旋
359	驱魔人	若风	凡梅
360	大丈夫	难破	凡灵
361	小女人	德地	凡蕾
362	无间道	无施	尔丝
363	火神	追命	尔柳
364	水神	不评	尔芙
365	战神	成威	尔白
366	元始天尊	成败	孤菱
367	灵宝天尊	难胜	沛萍
368	道德天尊	人英	梦柏
369	玉皇大帝	忘幽	从阳
370	长生大帝	世德	绿海
371	王母娘娘	世平	白梅
372	财神	广山	秋烟
373	门神	德天	访旋
374	睡神	人雄	元珊
375	食神	人杰	凌旋
376	千里眼	不言	依珊
377	顺风耳	难摧	寻凝
378	天仙	世立	幻柏
379	地仙	老三	雨寒
380	散仙	若之	寒安
381	金仙	成危	怀绿
382	大罗金仙	元龙	书琴
383	仙女	成仁	水香
384	死神	若剑	向彤
385	野心家	难敌	曼冬
386	冒险家	浩阑	怜梦
387	战略家	士晋	安珊
388	考古学家	铸海	映阳
389	科学家	人龙	思天
390	艺术家	伯云	初珍
391	钢琴家	老头	冷珍
392	思想家	南风	海安
393	梦想家	擎宇	从彤
394	发明家	浩轩	灵珊
395	文学家	煜城	夏彤
396	书法家	博涛	映菡
397	美食家	问安	青筠
398	军事家	烨霖	易真
399	画家	天佑	幼荷
400	诗人	明雪	冷霜
401	歌星	书芹	凝旋
402	卧底	半雪	夜柳
403	后宫	伟祺	紫文
404	忠臣	从安	凡桃
405	反贼	寻菡	醉蝶
406	内奸	秋寒	从云
407	主公	谷槐	冰萍
408	男主角	文轩	小萱
409	女主角	立诚	白筠
410	路人	立果	依云
411	啤酒王	明轩	元柏
412	吃货	楷瑞	丹烟
413	干爹	炎彬	念云
414	女汉子	鹏煊	易蓉
415	女神	幼南	青易
416	刺客	沛山	友卉
417	猎人	不尤	若山
418	战士	道天	涵柳
419	隐士	剑愁	映菱
420	谋士	千筹	依凝
421	勇士	广缘	怜南
422	英雄	天奇	水儿
423	小霸王	道罡	从筠
424	小魔王	远望	千秋
425	混世魔王	乘风	代芙
426	美少女	剑心	之卉
427	魔法少女	道之	幻丝
428	守护者	乘云	书瑶
429	雇佣军	绝施	含之
430	盗贼	冥幽	雪珊
431	暗杀者	天抒	海之
432	超能力者	剑成	寄云
433	橡皮人	士萧	盼海
434	恶魔	文龙	谷梦
435	天使	一鸣	雁兰
436	人间兵器	剑鬼	晓灵
437	大杀器	半仙	向珊
438	魔术师	万言	宛筠
439	带头大哥	剑封	笑南
440	中国大妈	远锋	梦容
441	大姐头	天与	寄柔
442	眼镜娘	元正	静枫
443	女王	世开	尔容
444	御姐	不凡	沛蓝
445	萝莉控	断缘	宛海
446	御姐控	中道	迎彤
447	女王控	绝悟	梦易
448	人妻控	道消	惜海
449	猫女	断秋	灵阳
450	黑寡妇	远山	念寒
451	女侠	蓝血	采梦
452	拜金女	无招	夜绿
453	小清新	无极	又亦
454	外围女	鬼神	梦山
455	嫩模	满天	醉波
456	小仙女	飞扬	慕晴
457	小魔仙	醉山	安彤
458	糊涂虫	语堂	半烟
459	何弃疗	懿轩	翠桃
460	高富帅	雅阳	书蝶
461	白富美	鑫鹏	寻云
462	怪蜀黍	文昊	冰绿
463	小伙伴	松思	山雁
464	灰太狼	水云	南莲
465	红太狼	山柳	夜梅
466	喜羊羊	荣轩	翠阳
467	懒羊羊	绮彤	芷文
468	暖羊羊	沛白	南露
469	神秘人	慕蕊	向真
470	五道杠	觅云	又晴
471	奶茶妹妹	鹭洋	又蓝
472	国民女神	立轩	雅旋
473	街头霸王	金鑫	千儿
474	圆桌骑士	健柏	听安
475	七武士	建辉	凌蝶
476	漫画英雄	鹤轩	向露
477	无敌	昊强	从凝
478	天才	凡梦	雨双
479	冷酷杀手	代丝	依白
480	黑白无常	远侵	以筠
481	御前侍卫	一斩	含巧
482	摸金校尉	一笑	晓瑶
483	后宫佳丽	一刀	忆山
484	绿林好汉	行天	以莲
485	混世魔王	无血	冰海
486	超级战士	无剑	盼芙
487	寒冬战士	无敌	冰珍
488	科学怪人	万怨	半双
489	还珠格格	万天	以冬
490	后宫总管	万声	千凝
491	世外高人	万恶	笑阳
492	窈窕淑女	万仇	香菱
493	绝代佳人	天问	友蕊
494	九天仙女	天寿	若云
495	挨千刀的	送终	天晴
496	卖队友的	山河	笑珊
497	变形金刚	三问	凡霜
498	开坦克的	如花	南珍
499	开飞机的	灭龙	晓霜
500	打飞机的	聋五	芷云
501	开敞篷的	绝义	谷芹
502	有力气的	绝山	芷蝶
503	没精神的	剑身	雨柏
504	爱谁谁的	浩天	之云
505	不高兴的	非笑	靖巧
506	没头脑的	恶天	寄翠
507	大爆炸的	断天	涵菡
508	不稳定的	仇血	雁卉
509	固液态的	仇天	涵山
510	健康态的	沧海	念薇
511	逆生长的	不二	绮兰
512	好交际的	碧空	迎蕾
513	善组织的	半鬼	秋荷
514	有韧性的	文涛	代天
515	可依赖的	晓刚	采波
516	好心肠的	洪纲	诗兰
517	善交际的	砖家	谷丝
518	受尊重的	叫兽	凝琴
519	有条理的	思山	凝芙
520	无拘束的	若翠	尔风
521	受欢迎的	曼青	觅双
522	神经质的	小珍	忆灵
523	不差钱的	青荷	水蓝
524	捡肥皂的	代容	书蕾
525	伤不起的	孤云	访枫
526	上档次的	慕青	涵双
527	吊炸天的	寄凡	初阳
528	查水表的	元容	从梦
529	矮矬穷的	丹琴	凝天
530	毁三观的	寒珊	秋灵
531	有木有的	飞雪	笑槐
532	甄嬛体的	妙芙	灵凡
533	打酱油的	碧凡	冰夏
534	喜当爹的	思柔	听露
535	无下限的	雁桃	翠容
536	重口味的	丹南	绮晴
537	朕知道的	雁菡	静柏
538	穿马甲的	翠丝	天亦
539	小盾群的	幻梅	冷玉
540	高大上的	海莲	盼曼
541	土豪金的	宛秋	乐蕊
542	人鱼线的	问枫	凡柔
543	啪啪啪的	靖雁	曼凝
544	我宣你的	蛟凤	沛柔
545	涨姿势的	大凄	迎蓉
546	且珍惜的	傻姑	映真
547	切克闹的	金连	采文
548	么么哒的	梦安	曼文
549	有姿色的	碧曼	新筠
550	正能量的	代珊	碧玉
551	早知道的	惜珊	秋柳
552	易兴奋的	元冬	白莲
553	好批评的	珠	亦玉
554	不专注的	绮波	幻波
555	好争吵的	寄瑶	忆之
556	无目标的	冰蝶	孤丝
557	易激动的	孤丹	妙竹
558	难预测的	半梅	傲柏
559	不合群的	友菱	元风
560	不灵活的	飞双	易烟
561	喜操纵的	醉冬	怀蕊
562	情绪化的	寡妇	寻桃
563	大嗓门的	沛容	映之
564	统治欲的	南晴	小玉
565	强迫性的	太兰	尔槐
566	好表现的	紫易	听荷
567	国际范的	从蓉	赛君
568	非主流的	友易	闭月
569	乡村范的	巧荷	不愁
570	来自星星的	寻双	羞花
571	初出茅庐的	芷雪	紫寒
572	锋芒毕露的	又夏	夏之
573	赤胆忠心的	梦玉	飞薇
574	鸿运当头的	安梦	如松
575	刀枪不入的	凝荷	白安
576	战无不胜的	外绣	秋翠
577	天下无双的	忆曼	夜蓉
578	天下无敌的	不平	傲晴
579	以一当千的	凝蝶	凝丹
580	登峰造极的	以寒	凌瑶
581	嗜酒成性的	安南	初曼
582	鱼肉百姓的	慕卉	夜安
583	花天酒地的	映梦	安荷
584	国色天香的	绿蝶	青柏
585	倾国倾城的	凌翠	向松
586	貌美如花的	夜蕾	绿旋
587	秀色可餐的	含双	芷珍
588	英俊潇洒的	慕灵	凌晴
589	风流倜傥的	碧琴	新儿
590	气宇轩昂的	夏旋	亦绿
591	器宇不凡的	冷雁	雁丝
592	玉树临风的	乐双	惜霜
593	仪表堂堂的	念梦	紫青
594	眉清目秀的	静丹	冰双
595	目若朗星的	之柔	映冬
596	风度翩翩的	新瑶	代萱
597	一表人才的	亦旋	梦旋
598	亭亭玉立的	雪巧	毒娘
599	花枝招展的	中蓝	紫萍
600	如花似玉的	莹芝	冰真
601	秀外慧中的	一兰	幻翠
602	楚楚动人的	清涟	向秋
603	天生丽质的	盛男	海蓝
604	美眸皓齿的	凝莲	凌兰
605	绝代风华的	雪莲	如柏
606	不施粉黛的	依琴	千山
607	出水芙蓉的	绣连	雁芙
608	美若天仙的	友灵	白秋
609	千娇百媚的	醉柳	代梅
610	梨花带雨的	秋双	香之
611	面若桃花的	梦寒	小蕊
