编号	名字	品质	兵种	初始血量(废弃)	血量成长(废弃)	战斗力	初始攻击	攻击成长	初始防御	防御成长	初始法术防御	法术防御成长	初始格挡等级	初始刚毅等级	初始命中等级	初始破招等级	初始暴击等级	初始闪避等级	武将成长	武将素材	阵营(魏1、蜀2、吴3、群4)	分期(1、2、3)	获取方式（1招贤馆、2副本、3活动、4兑换）	拆解将魂数量	兑换需要将魂	炼魂经验	是否开启实体化	实体化素材id
13	蔡瑁	blue	2	500	0	950	164	41	84	21	152	38	0	0	40	0	40	0	20	hero/huaxiong_big.png	2	1	1	5	0	33	0	
14	周仓	blue	2	500	0	950	172	43	72	18	156	39	0	0	40	0	40	0	20	hero/qiang_big.png	1	1	1	5	0	33	0	
15	孟获	blue	2	500	0	950	176	44	88	22	136	34	0	0	40	0	40	0	20	hero/yanliang_big.png	2	1	1	5	0	33	0	
115	满宠	blue	2	500	0	950	188	47	84	21	128	32	0	0	40	0	40	0	20	hero/qi_big.png	4	1	1	5	0	33	0	
116	阎行	blue	2	500	0	950	184	46	92	23	124	31	0	0	40	0	40	0	20	hero/yanliang_big.png	4	1	1	5	0	33	0	
16	廖化	blue	3	500	0	950	180	45	156	39	64	16	0	0	0	40	0	40	20	hero/huaxiong_big.png	2	1	1	5	0	33	0	
17	张苞	blue	3	500	0	950	164	41	148	37	88	22	0	0	0	40	0	40	20	hero/caopi_big.png	1	1	1	5	0	33	0	
18	高顺	blue	3	500	0	950	176	44	140	35	84	21	0	0	0	40	0	40	20	hero/qi_big.png	4	1	1	5	0	33	0	
19	黄祖	blue	3	500	0	950	188	47	156	39	56	14	0	0	0	40	0	40	20	hero/huanggai_big.png	2	1	1	5	0	33	0	
20	李肃	blue	3	500	0	950	184	46	152	38	64	16	0	0	0	40	0	40	20	hero/huaxiong_big.png	2	1	1	5	0	33	0	
21	马腾	blue	3	500	0	950	184	46	156	39	60	15	0	0	0	40	0	40	20	hero/huanggai_big.png	2	1	1	5	0	33	0	
22	贾充	blue	3	500	0	950	172	43	148	37	80	20	0	0	0	40	0	40	20	hero/dao_big.png	1	1	1	5	0	33	0	
23	司马师	blue	3	500	0	950	168	42	152	38	80	20	0	0	0	40	0	40	20	hero/caopi_big.png	1	1	1	5	0	33	0	
24	郭于淳	blue	3	500	0	950	180	45	152	38	68	17	0	0	0	40	0	40	20	hero/qi_big.png	1	1	1	5	0	33	0	
25	蒋干	blue	4	500	0	950	204	51	84	21	112	28	0	0	0	40	40	0	20	hero/zhugedan_big.png	4	1	1	5	0	33	0	
26	逢纪	blue	4	500	0	950	192	48	80	20	128	32	0	0	0	40	40	0	20	hero/zhugedan_big.png	3	1	1	5	0	33	0	
27	曹植	blue	4	500	0	950	180	45	76	19	144	36	0	0	0	40	40	0	20	hero/zhugedan_big.png	4	1	1	5	0	33	0	
28	卢植	blue	4	500	0	950	200	50	80	20	120	30	0	0	0	40	40	0	20	hero/zhugedan_big.png	4	1	1	5	0	33	0	
29	刘禅	blue	4	500	0	950	192	48	84	21	124	31	0	0	0	40	40	0	20	hero/liushan_big.png	3	1	1	5	0	33	0	
30	刘表	blue	4	500	0	950	188	47	84	21	128	32	0	0	0	40	40	0	20	hero/yuanshu_big.png	2	1	1	5	0	33	0	
32	许攸	blue	4	500	0	950	180	45	80	20	140	35	0	0	0	40	40	0	20	hero/yuanshu_big.png	1	1	1	5	0	33	0	
33	张昭	blue	4	500	0	950	204	51	84	21	112	28	0	0	0	40	40	0	20	hero/yuanshao_big.png	2	1	1	5	0	33	0	
117	郭淮	blue	4	500	0	950	184	46	100	25	116	29	0	0	0	40	40	0	20	hero/yuanshao_big.png	4	1	1	5	0	33	0	
34	甘夫人	blue	5	500	0	950	176	44	132	33	92	23	0	40	0	0	0	40	20	hero/hongyan_big.png	2	1	1	5	0	33	0	
35	马云騼	blue	5	500	0	950	180	45	112	28	108	27	0	40	0	0	0	40	20	hero/zhangchunhua_big.png	1	1	1	5	0	33	0	
36	步练师	blue	5	500	0	950	164	41	132	33	104	26	0	40	0	0	0	40	20	hero/diaochan_big.png	1	1	1	5	0	33	0	
37	张星彩	blue	5	500	0	950	172	43	108	27	120	30	0	40	0	0	0	40	20	hero/zhangchunhua_big.png	1	1	1	5	0	33	0	
38	诸葛果	blue	5	500	0	950	180	45	128	32	92	23	0	40	0	0	0	40	20	hero/daqiao_big.png	3	1	1	5	0	33	0	
39	王元姬	blue	5	500	0	950	168	42	116	29	116	29	0	40	0	0	0	40	20	hero/hongyan_big.png	2	1	1	5	0	33	0	
40	王异	blue	5	500	0	950	172	43	108	27	120	30	0	40	0	0	0	40	20	hero/zhurongfuren_big.png	1	1	1	5	0	33	0	
42	关凤	blue	5	500	0	950	180	45	132	33	88	22	0	40	0	0	0	40	20	hero/sunshangxiang_big.png	1	1	1	5	0	33	0	
118	夏侯氏	blue	5	500	0	950	180	45	120	30	100	25	0	40	0	0	0	40	20	hero/zhangchunhua_big.png	4	1	1	5	0	33	0	
43	曹丕	purple	1	500	0	1400	304	38	256	32	240	30	80	80	0	0	0	0	40	hero/caopi_big.png	3	1	1	20	0	67	0	
44	关平	purple	1	500	0	1400	336	42	288	36	176	22	80	80	0	0	0	0	40	hero/dengai_big.png	4	1	1	20	0	67	0	
45	黄盖	purple	1	500	0	1400	312	39	280	35	208	26	80	80	0	0	0	0	40	hero/huanggai_big.png	1	1	1	20	0	67	0	
46	凌统	purple	1	500	0	1400	328	41	264	33	208	26	80	80	0	0	0	0	40	hero/lingtong_big.png	1	1	1	20	0	67	0	
47	吕蒙	purple	1	500	0	1400	344	43	264	33	192	24	80	80	0	0	0	0	40	hero/dao_big.png	3	1	1	20	0	67	0	
31	周泰	purple	2	500	0	1400	328	41	152	19	320	40	0	0	80	0	80	0	40	hero/zhoutai_big.png	3	1	1	20	0	67	0	
48	文聘	purple	2	500	0	1400	352	44	136	17	312	39	0	0	80	0	80	0	40	hero/qi_big.png	4	1	1	20	0	67	0	
49	张任	purple	2	500	0	1400	360	45	144	18	296	37	0	0	80	0	80	0	40	hero/qiang_big.png	3	1	1	20	0	67	0	
50	于禁	purple	2	500	0	1400	368	46	168	21	264	33	0	0	80	0	80	0	40	hero/caopi_big.png	1	1	1	20	0	67	0	
51	邓艾	purple	2	500	0	1400	328	41	136	17	336	42	0	0	80	0	80	0	40	hero/dengai_big.png	1	1	1	20	0	67	0	
52	马岱	purple	3	500	0	1400	352	44	288	36	160	20	0	0	0	80	0	80	40	hero/yanliang_big.png	4	1	1	20	0	67	0	
53	关索	purple	3	500	0	1400	360	45	272	34	168	21	0	0	0	80	0	80	40	hero/wenchou_big.png	4	1	1	20	0	67	0	
54	曹洪	purple	3	500	0	1400	376	47	304	38	120	15	0	0	0	80	0	80	40	hero/yanliang_big.png	4	1	1	20	0	67	0	
55	丁奉	purple	3	500	0	1400	360	45	296	37	144	18	0	0	0	80	0	80	40	hero/huaxiong_big.png	4	1	1	20	0	67	0	
56	文鸳	purple	3	500	0	1400	368	46	288	36	144	18	0	0	0	80	0	80	40	hero/qi_big.png	1	1	1	20	0	67	0	
57	徐庶	purple	4	500	0	1400	392	49	160	20	248	31	0	0	0	80	80	0	40	hero/pangtong_big.png	1	1	1	20	0	67	0	
58	李儒	purple	4	500	0	1400	408	51	200	25	192	24	0	0	0	80	80	0	40	hero/guojia_big.png	3	1	1	20	0	67	0	
59	诸葛诞	purple	4	500	0	1400	368	46	192	24	240	30	0	0	0	80	80	0	40	hero/zhugedan_big.png	2	1	1	20	0	67	0	
60	法正	purple	4	500	0	1400	408	51	192	24	200	25	0	0	0	80	80	0	40	hero/pangtong_big.png	2	1	1	20	0	67	0	
110	陈宫	purple	4	500	0	1400	368	46	192	24	240	30	0	0	0	80	80	0	40	hero/guojia_big.png	4	1	1	20	0	67	0	
61	糜夫人	purple	5	500	0	1400	328	41	232	29	240	30	0	80	0	0	0	80	40	hero/hongyan_big.png	2	1	1	20	0	67	0	
62	辛宪英	purple	5	500	0	1400	368	46	240	30	192	24	0	80	0	0	0	80	40	hero/huangyueying_big.png	2	1	1	20	0	67	0	
111	鲍三娘	purple	5	500	0	1400	336	42	256	32	208	26	0	80	0	0	0	80	40	hero/hongyan_big.png	4	1	1	20	0	67	0	
112	张春华	purple	5	500	0	1400	344	43	248	31	208	26	0	80	0	0	0	80	40	hero/zhangchunhua_big.png	4	1	1	20	0	67	0	
113	关银屏	purple	5	500	0	1400	368	46	256	32	176	22	0	80	0	0	0	80	40	hero/huangyueying_big.png	4	1	1	20	0	67	0	
41	刘贝贝	orange	1	500	0	1850	492	41	384	32	324	27	160	160	0	0	0	0	60	hero/liubeibei_big.png	4	1	3	80	0	500	0	
63	曹操	orange	1	500	0	1850	468	39	384	32	348	29	160	160	0	0	0	0	60	hero/caocao_big.png	3	1	1	80	0	500	0	
64	刘备	orange	1	500	0	1850	444	37	444	37	312	26	160	160	0	0	0	0	60	hero/gongsunzan_big.png	2	1	1	80	0	500	0	
65	孙权	orange	1	500	0	1850	444	37	408	34	348	29	160	160	0	0	0	0	60	hero/sunquan_big.png	1	1	1	80	0	500	0	
66	孙坚	orange	1	500	0	1850	492	41	444	37	264	22	160	160	0	0	0	0	60	hero/sunjian_big.png	2	1	1	80	0	500	0	
67	魏延	orange	1	500	0	1850	504	42	444	37	252	21	160	160	0	0	0	0	60	hero/weiyan_big.png	1	1	4	80	0	500	0	
68	文丑	orange	2	500	0	1850	504	42	276	23	420	35	0	0	160	0	160	0	60	hero/wenchou_big.png	3	1	1	80	0	500	0	
70	华雄	orange	2	500	0	1850	516	43	240	20	444	37	0	0	160	0	160	0	60	hero/huaxiong_big.png	2	1	1	80	0	500	0	
71	甘宁	orange	2	500	0	1850	528	44	204	17	468	39	0	0	160	0	160	0	60	hero/ganning_big.png	3	1	1	80	0	500	0	
104	孙策	orange	2	500	0	1850	492	41	252	21	456	38	0	0	160	0	160	0	60	hero/sunce_big.png	4	1	1	80	0	500	0	
72	颜良	orange	3	500	0	1850	540	45	432	36	228	19	0	0	0	160	0	160	60	hero/yanliang_big.png	1	1	1	80	0	500	0	
73	庞德	orange	3	500	0	1850	552	46	468	39	180	15	0	0	0	160	0	160	60	hero/pangde_big.png	1	1	1	80	0	500	0	
74	张郃	orange	3	500	0	1850	564	47	408	34	228	19	0	0	0	160	0	160	60	hero/zhanghe_big.png	1	1	4	80	0	500	0	
75	徐晃	orange	3	500	0	1850	504	42	456	38	240	20	0	0	0	160	0	160	60	hero/xuhuang_big.png	1	1	1	80	0	500	0	
105	夏侯渊	orange	3	500	0	1850	540	45	408	34	252	21	0	0	0	160	0	160	60	hero/xiahouyuan_big.png	4	1	1	80	0	500	0	
76	贾诩	orange	4	500	0	1850	576	48	288	24	336	28	0	0	0	160	160	0	60	hero/jiaxu_big.png	2	1	4	80	0	500	0	
77	荀攸	orange	4	500	0	1850	564	47	300	25	336	28	0	0	0	160	160	0	60	hero/xunyou_big.png	1	1	1	80	0	500	0	
78	张角	orange	4	500	0	1850	576	48	288	24	336	28	0	0	0	160	160	0	60	hero/zhangjiao_big.png	4	1	1	80	0	500	0	
79	陆逊	orange	4	500	0	1850	600	50	300	25	300	25	0	0	0	160	160	0	60	hero/luxun_big.png	3	1	1	80	0	500	0	
106	鲁肃	orange	4	500	0	1850	612	51	252	21	336	28	0	0	0	160	160	0	60	hero/lusu_big.png	4	1	1	80	0	500	0	
80	孙尚香	orange	5	500	0	1850	492	41	324	27	384	32	0	160	0	0	0	160	60	hero/sunshangxiang_big.png	3	1	1	80	0	500	0	
81	甄姬	orange	5	500	0	1850	552	46	336	28	312	26	0	160	0	0	0	160	60	hero/zhenji_big.png	1	1	4	80	0	500	0	
82	祝融	orange	5	500	0	1850	516	43	396	33	288	24	0	160	0	0	0	160	60	hero/zhurongfuren_big.png	4	1	1	80	0	500	0	
107	黄月英	orange	5	500	0	1850	504	42	324	27	372	31	0	160	0	0	0	160	60	hero/huangyueying_big.png	4	1	1	80	0	500	0	
108	蔡文姬	orange	5	500	0	1850	564	47	372	31	264	22	0	160	0	0	0	160	60	hero/caiwenji_big.png	4	1	1	80	0	500	0	
83	黄忠	ared	1	500	0	2350	624	39	560	35	416	26	320	320	0	0	0	0	80	hero/huangzhong_big.png	2	1	3	600	800	4000	0	
84	许褚	ared	1	500	0	2350	624	39	528	33	448	28	320	320	0	0	0	0	80	hero/xuchu_big.png	1	1	3	600	800	4000	0	
86	张辽	ared	2	500	0	2350	704	44	272	17	624	39	0	0	320	0	320	0	80	hero/zhangliao_big.png	1	1	3	600	800	4000	0	
85	太史慈	ared	2	500	0	2350	672	42	320	20	608	38	0	0	320	0	320	0	80	hero/taishici_big.png	3	1	3	600	800	4000	0	
87	姜维	ared	2	500	0	2350	656	41	368	23	576	36	0	0	320	0	320	0	80	hero/jiangwei_big.png	2	1	3	600	800	4000	0	
69	夏侯惇	ared	3	500	0	2350	672	42	576	36	352	22	0	0	0	320	0	320	80	hero/xiahoudun_big.png	1	1	4	600	800	4000	0	
88	董卓	ared	3	500	0	2350	752	47	528	33	320	20	0	0	0	320	0	320	80	hero/dongzhuo_big.png	4	1	3	600	800	4000	0	
89	庞统	ared	4	500	0	2350	720	45	320	20	560	35	0	0	0	320	320	0	80	hero/pangtong_big.png	2	1	3	600	800	4000	0	
90	周瑜	ared	4	500	0	2350	800	50	320	20	480	30	0	0	0	320	320	0	80	hero/zhouyu_big.png	3	1	3	600	800	4000	0	
91	大乔	ared	5	500	0	2350	720	45	432	27	448	28	0	320	0	0	0	320	80	hero/daqiao_big.png	3	1	3	600	800	4000	0	
92	小乔	ared	5	500	0	2350	720	45	432	27	448	28	0	320	0	0	0	320	80	hero/xiaoqiao_big.png	3	1	3	600	800	4000	0	
93	典韦	sred	1	500	0	3500	1000	40	850	34	650	26	640	640	0	0	0	0	100	hero/dianwei_big.png	1	1	3	6000	8000	40000	0	
94	关羽	sred	1	500	0	3500	1075	43	950	38	475	19	640	640	0	0	0	0	100	hero/guanyu_big.png	2	1	3	6000	8000	40000	1	94
96	赵云	sred	2	500	0	3500	1125	45	500	20	875	35	0	0	640	0	640	0	100	hero/zhaoyun_big.png	2	1	3	6000	8000	40000	1	96
97	张飞	sred	2	500	0	3500	1075	43	975	39	450	18	0	0	640	0	640	0	100	hero/zhangfei_big.png	2	1	3	6000	8000	40000	0	
95	马超	sred	3	500	0	3500	1075	43	875	35	550	22	0	0	0	640	0	640	100	hero/machao_big.png	2	1	3	6000	8000	40000	0	
98	吕布	sred	3	500	0	3500	1075	43	875	35	550	22	0	0	0	640	0	640	100	hero/lvbu_big.png	4	1	3	6000	8000	40000	1	98
99	诸葛亮	sred	4	500	0	3500	1250	50	550	22	700	28	0	0	0	640	640	0	100	hero/zhugeliang_big.png	2	1	3	6000	8000	40000	1	99
100	郭嘉	sred	4	500	0	3500	1200	48	625	25	675	27	0	0	0	640	640	0	100	hero/guojia_big.png	1	1	3	6000	8000	40000	0	
101	司马懿	sred	4	500	0	3500	1250	50	600	24	650	26	0	0	0	640	640	0	100	hero/simayi_big.png	1	1	3	6000	8000	40000	0	
119	左慈	sred	4	500	0	7500	3825	51	1800	24	1875	25	80	80	80	640	640	80	100	hero/zuoci_big.png	4	1	3	24000	54000	200000	0	
102	洛神	sred	5	500	0	3500	1125	45	675	27	700	28	0	640	0	0	0	640	100	hero/luoshen_big.png	4	1	3	6000	8000	40000	1	102
103	貂蝉	sred	5	500	0	3500	1125	45	700	28	675	27	0	640	0	0	0	640	100	hero/diaochan_big.png	4	1	3	6000	8000	40000	0	
120	华佗	sred	5	500	0	7500	3825	47	1800	27	1875	26	40	640	40	40	40	640	100	hero/nvhuatuo_big.png	4	1	3	24000	54000	200000	0	
121	童渊	sred	2	500	0	7500	3825	50	1800	20	1875	30	80	80	640	80	640	80	100	hero/tongyuan_big.png	2	1	3	24000	54000	200000	0	
