编号	主怪	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	士气
86	136051	136051	111051	111051	411051	211051		211051	511046		116494	1300	490	458	303
87	435052	110052	110052	110052	510052	435052	210052	410048			117754	1400	495	461	305
88	336052	336052	111052	111052	211052	411052	211052		511050		122626	1400	500	464	305
89	235053	110053	110053	110053	310053	210053	210053	235053			131678	1500	505	467	308
90	336053	311053	111053	111053	211053	211053		336053	411053		131656	1500	510	470	308
91	135054	135054	110054	110054	310054	410054		210054	410054		132712	1600	515	473	310
92	236054	111054	111054	111054	511054	236054	411054	411054			132505	1600	520	476	310
93	335055	310055	110055	110055	210055	335055	210055		510055		147235	1700	525	479	312
94	436055	111055	311055	111055	311055	211055	411055	436055			143328	1700	530	482	312
95	135056	310056	110056	110056	210056	210056		135056	410056		154786	1800	535	485	315
96	136056	111056	111056	136056		411056	211056		511056	411056	153510	1800	540	488	315
97	235057	110057	110057	110057	510057	235057	510057	410057			157543	1900	545	491	317
98	336057	111057	111057	311057	211057	336057	211057		411057		159786	1900	550	494	317
99	535058	110058	110058	310058	310058	410058	210058	535058			162164	2000	555	497	320
100	136058	136058	111058	111058	211058	411058		211058	511058		162639	2000	560	500	320
101	135059	110059	135059		210059	210059	310059		410059	410059	169980	2100	565	503	322
102	236059	311059			236059	111059	111059	211059	411059	211059	171886	2100	570	506	322
103	435060	310060	310060	110060	210060	435060		210060	410060		177226	2200	575	509	324
104	136060	111060	136060		511060	211060	311060		411060	411060	180281	2200	580	512	324
105	235061	110061	310061	110061	235061	510061		210061	410061		186799	2300	585	515	327
106	436061	111061	111061	311061	311061		211061	436061		411061	184308	2300	590	518	327
107	335062		310062	335062	510062	210062	510062	410062		410062	190331	2400	595	521	329
108	136062		311062	136062	111062	511062	211062		411062	211062	193246	2400	600	524	329
109	335063	335063	110063	110063	210063		510063	210063		410063	198224	2500	605	527	332
110	336063	311063	336063	311063	411063	311063	211063		411063		198508	2500	610	530	332
111	435064		110064	110064		310064	410064	510064	435064	210064	204089	2600	615	533	334
112	336064	336064	511064	111064	311064	311064	311064		411064		212250	2600	620	536	334
113	135065	110065	135065	310065	210065	210065	310065			210065	222281	2700	625	539	336
114	336065		111065	111065		211065	411065	336065	211065	511065	220788	2700	630	542	336
115	135066	135066		310066	210066	110066	510066	210066		410066	229163	2800	635	545	339
116	136066	136066		111066	411066	311066	211066	511066		211066	230381	2800	640	548	339
117	335067	110067		110067	210067	335067	210067	410067	510067		236624	2900	645	551	341
118	336067		111067		111067	411067	336067	211067	211067	211067	238146	2900	650	554	341
119	535068	110068	310068	110068	310068	210068	310068		535068		247777	3000	655	557	344
120	336068	311068	336068	111068		411068		411068	511068	211068	244447	3000	660	560	344
121	135069	135069		110069	410069	310069	210069	510069		210069	259515	3000	665	563	346
122	136069	136069		111069	411069	311069	211069	511069		211069	260849	3000	670	566	346
123	235070	235070		110070	410070	310070	210070	510070		210070	276133	3000	675	569	348
124	136070	136070		111070	411070	311070	211070	511070		211070	279394	3000	680	572	348
125	435071	435071		110071	410071	310071	210071	510071		210071	280004	3000	685	575	351
126	336071	336071		111071	411071	311071	211071	511071		211071	290787	3000	690	578	351
127	435072	435072		110072	410072	310072	210072	510072		210072	286013	3000	695	581	353
128	136072	136072		111072	411072	311072	211072	511072		211072	297023	3000	700	584	353
129	335073	335073		110073	410073	310073	210073	510073		210073	304835	3000	705	587	356
130	436073	436073		111073	411073	311073	211073	511073		211073	296569	3000	710	590	356
131	235074	235074		110074	410074	310074	210074	510074		210074	323949	3000	715	593	358
132	136074	136074		111074	411074	311074	211074	511074		211074	328122	3000	720	596	358
133	135075	135075		110075	410075	310075	210075	510075		210075	340539	3000	725	599	360
134	436075	436075		111075	411075	311075	211075	511075		211075	331286	3000	730	602	360
135	135076	135076		110076	410076	310076	210076	510076		210076	357323	3000	735	605	363
136	336076	336076		111076	411076	311076	211076	511076		211076	359263	3000	740	608	363
137	235077	235077		110077	410077	310077	210077	510077		210077	363759	3000	745	611	365
138	136077	136077		111077	411077	311077	211077	511077		211077	368628	3000	750	614	365
139	535078	535078		110078	410078	310078	210078	510078		210078	374777	3000	753	615	368
140	136078	136078		111078	411078	311078	211078	511078		211078	377183	3000	756	616	368
141	135079	135079		110079	410079	310079	210079	510079		210079	400861	4000	759	617	370
142	436079	436079		111079	411079	311079	211079	511079		211079	388128	4000	762	618	370
143	335080	335080		110080	410080	310080	210080	510080		210080	424280	5000	765	619	372
144	236080	236080		111080	411080	311080	211080	511080		211080	422985	5000	768	620	372
145	335081	335081		110081	410081	310081	210081	510081		210081	437882	5600	771	621	375
146	436081	436081		111081	411081	311081	211081	511081		211081	425773	5600	774	622	375
147	135082	135082		110082	410082	310082	210082	510082		210082	452952	5700	777	623	377
148	336082	336082		111082	411082	311082	211082	511082		211082	455230	5800	780	624	377
149	235083	235083		110083	410083	310083	210083	510083		210083	459629	5900	783	625	380
150	136083	136083		111083	411083	311083	211083	511083		211083	466809	6000	786	626	380
151	335084	335084		110084	410084	310084	210084	510084		210084	496456	6100	789	627	382
152	536084	536084		111084	411084	311084	211084	511084		211084	500663	6200	792	628	382
153	335085	335085		110085	410085	310085	210085	510085		210085	525636	6300	795	629	384
154	236085	236085		111085	411085	311085	211085	511085		211085	524181	6400	798	630	384
155	335086	335086		110086	410086	310086	210086	510086		210086	549471	6500	801	631	387
156	136086	136086		111086	411086	311086	211086	511086		211086	553369	6600	804	632	387
157	435087	435087		110087	410087	310087	210087	510087		210087	542320	6700	807	633	389
158	236087	236087		111087	411087	311087	211087	511087		211087	562571	6800	810	634	389
159	535088	535088		110088	410088	310088	210088	510088		210088	579974	6900	813	635	392
160	336088	336088		111088	411088	311088	211088	511088		211088	584008	7000	816	636	392
161	135089	135089		110089	410089	310089	210089	510089		210089	626654	7100	819	637	394
162	236089	236089		111089	411089	311089	211089	511089		211089	625969	7200	822	638	394
163	335090	335090		110090	410090	310090	210090	510090		210090	669896	7300	825	639	396
164	536090	536090		111090	411090	311090	211090	511090		211090	677336	7400	828	640	396
165	135091	135091		110091	410091	310091	210091	510091		210091	691486	7500	831	641	399
166	436091	436091		111091	411091	311091	211091	511091		211091	667694	7600	834	642	399
167	235092	235092		110092	410092	310092	210092	510092		210092	698800	7700	837	643	401
168	336092	336092		111092	411092	311092	211092	511092		211092	711423	7800	840	644	401
169	435093	435093		110093	410093	310093	210093	510093		210093	691954	7900	843	645	404
170	336093	336093		111093	411093	311093	211093	511093		211093	726841	8000	846	646	404
171	535094	535094		110094	410094	310094	210094	510094		210094	789840	8100	849	647	406
172	136094	136094		111094	411094	311094	211094	511094		211094	794203	8200	852	648	406
173	435095	435095		110095	410095	310095	210095	510095		210095	802203	8300	855	649	408
174	136095	136095		111095	411095	311095	211095	511095		211095	847525	8400	858	650	408
175	335096	335096		110096	410096	310096	210096	510096		210096	872463	8500	861	651	411
176	136096	136096		111096	411096	311096	211096	511096		211096	882719	8600	864	652	411
177	335097	335097		110097	410097	310097	210097	510097		210097	886468	8700	867	653	413
178	136097	136097		111097	411097	311097	211097	511097		211097	895375	8800	870	654	413
179	335098	335098		110098	410098	310098	210098	510098		210098	913887	8900	873	655	416
180	236098	236098		111098	411098	311098	211098	511098		211098	908710	9000	876	656	416
181	235099	310099	110099	110099	235099	510099		210099		410099	983551	9100	879	657	418
182	136099		111099	311099		411099	211099	136099	411099	411099	969273	9200	882	658	418
183	235100	110100	310100	310100	235100	210100		410100		510100	1056113	9300	885	659	420
184	136100	111100	111100	136100	311100	311100		211100	211100		1094551	9400	888	660	420
185	235101	110101	310101	310101	235101	210101		410101		510101	1092359	9500	891	661	423
186	336101	111101		311101	311101	336101	211101	411101		211101	1107322	9600	894	662	423
187	135102		110102	310102		410102	210102	135102	410102	410102	1085770	9700	897	663	425
188	136102	111102	111102	136102	311102	311102		211102	211102		1153143	9800	900	664	425
189	335103	110103		310103	310103	335103	210103	410103		210103	1137267	9900	903	665	428
190	336103	111103		311103	311103	336103	211103	411103		211103	1148656	10000	906	666	428
191	135104	110104	110104	135104	310104	310104		210104	210104		1290388	10100	909	667	430
192	236104	311104	111104	111104	236104	511104		211104		411104	1263187	10200	912	668	430
193	535105	110105	110105	110105	210105	110105		535105	410105		1367415	10300	915	669	432
194	136105		111105	311105		411105	211105	136105	411105	411105	1314130	10400	918	670	432
195	135106			135106	210106	310106	310106	410106	210106	210106	1396851	10500	921	671	435
196	436106	311106	111106	311106		311106	211106	436106		411106	1346973	10600	924	672	435
197	535107	110107	110107	110107	210107	110107		535107	410107		1447180	10700	927	673	437
198	436107	311107	111107	311107		311107	211107	436107		411107	1371846	10800	930	674	437
199	535108	110108	110108	110108	210108	110108		535108	410108		1475848	10900	933	675	440
200	136108			136108	211108	311108	311108	411108	211108	211108	1467693	11000	936	676	440
201	235109	235109		110109	410109	310109	210109	510109		210109	1577380	11100	939	677	442
202	136109	136109		111109	411109	311109	211109	511109		211109	1617879	11200	942	678	442
203	535110	535110		110110	410110	310110	210110	510110		210110	1743441	11300	945	679	444
204	436110	436110		111110	411110	311110	211110	511110		211110	1656685	11400	948	680	444
205	335111	335111		110111	410111	310111	210111	510111		210111	1752755	11500	951	681	447
206	236111	236111		111111	411111	311111	211111	511111		211111	1748089	11600	954	682	447
207	335112	335112		110112	410112	310112	210112	510112		210112	1782423	11700	957	683	449
208	436112	436112		111112	411112	311112	211112	511112		211112	1706036	11800	960	684	449
209	135113	135113		110113	410113	310113	210113	510113		210113	1838104	11900	963	685	452
210	236113	236113		111113	411113	311113	211113	511113		211113	1827464	12000	966	686	452
211	335114	335114		110114	410114	310114	210114	510114		210114	2037741	12100	969	687	454
212	436114	436114		111114	411114	311114	211114	511114		211114	1948937	12200	972	688	454
213	135115	135115		110115	410115	310115	210115	510115		210115	2068325	12300	975	689	456
214	536115	536115		111115	411115	311115	211115	511115		211115	2094149	12400	978	690	456
215	235116	235116		110116	410116	310116	210116	510116		210116	2070501	12500	981	691	459
216	436116	436116		111116	411116	311116	211116	511116		211116	2005199	12600	984	692	459
217	335117	335117		110117	410117	310117	210117	510117		210117	2120122	12700	987	693	461
218	536117	536117		111117	411117	311117	211117	511117		211117	2156502	12800	990	694	461
219	135118	135118		110118	410118	310118	210118	510118		210118	2160516	12900	993	695	464
220	136118	136118		111118	411118	311118	211118	511118		211118	2183417	13000	996	696	464
1002101	137021				137021	212021					6114	242	170	170	231
1002102	335022			310022			335022				6418	244	175	175	233
1002103	136022	136022			311022						6410	246	180	180	233
1002401	237023						237023		412023		6939	254	200	200	236
1002402	335024		210024	110010	335024						9445	256	205	205	238
1002403	436024	436024			111024			311012			9258	258	210	210	238
1002404	237024	212024	237024	212014							9765	260	215	215	238
1002405	335025			410025				510016	335025		10824	262	220	220	240
1002406	136025	136025	211025					511018			11272	264	225	225	240
1004501	337031	112031	337031	112026				312020			20216	290	290	290	200
1004502	137032			137032	112032	212028		412022			22449	294	300	300	200
1004503	238032			238032	413032		213030		513024		23424	294	300	300	200
1004504	237033	112033		237033				512032	412026		25827	298	310	310	200
1004505	338033	113033		113034		338033			213028		27606	298	310	310	200
1005301	337036		112036		312036		337036		412032		33022	310	340	340	200
1005302	538036		113036		313036			513034	538036		33427	310	340	340	200
1007201	337045	337045		312045	512045	112045	212045	412026			71650	700	430	422	204
1007202	438045	113045	313045	113045	438045			213045	413029		71190	700	430	422	204
1007203	137046		112046		112046	212046	137046	412046		412032	76357	800	440	428	206
1007204	437047	112047	112047	112047	437047	312047			212035		79596	900	450	434	208
1007301	339045	114045		314045	314045		214045	339045		414035	75359	700	430	422	204
1007302	138046	113046		138046	213046	313046		413046		513038	79210	800	440	428	206
1007303	439046	114046		314046		314046	214046	439046	414041		80174	800	440	428	206
1008601	337052	112052	112052	112052	212052		212052	337052		412035	115964	1400	500	464	218
1008602	438052	313052	313052	313052	438052	113052		413052	413038		113902	1400	500	464	218
1009601	137057	112057	112057	137057	312057	312057		212057	212057		161925	1900	550	494	228
1009602	438057	213057	313057		313057	438057		413057	513057	113057	157076	1900	550	494	228
1009603	337058			112058	412058	412058	337058	212058	512058	512058	161968	2000	560	500	230
1009604	238058	513058		313058	213058	238058	413058	413058	213058		162609	2000	560	500	230
1010301	337059	312059	112059	112059	337059	512059		212059		412059	173147	2100	570	506	232
1010302	238059	313059	113059	113059	238059	513059		213059		413059	173109	2100	570	506	232
1010303	337062	312062	112062	112062	337062	512062		212062		412062	194171	2400	600	524	238
1010304	437063	312063	112063	112063	437063	512063		212063		412063	195304	2500	610	530	240
1011201	137065	312065	112065	112065	137065	512065		212065		412065	222493	2700	630	542	244
1011202	238065	313065	113065	113065	238065	513065		213065		413065	222487	2700	630	542	244
1012801	337073	312073	112073	112073	337073	512073		212073		412073	309189	3000	710	590	260
1012802	138073	313073	113073	113073	138073	513073		213073		413073	310142	3000	710	590	260
1012803	237074	312074	112074	112074	237074	512074		212074		412074	328271	3000	720	596	262
1012804	438074	313074	113074	113074	438074	513074		213074		413074	321388	3000	720	596	262
1012805	237075	312075	112075	112075	237075	512075		212075		412075	342527	3000	730	602	264
1013101	139074	314074	114074	114074	139074	514074		214074		414074	335044	3000	720	596	262
1013102	238075	313075	113075	113075	238075	513075		213075		413075	344981	3000	730	602	264
1013401	237076	312076	112076	112076	237076	512076		212076		412076	358936	3000	740	608	266
1013402	138076	313076	113076	113076	138076	513076		213076		413076	363776	3000	740	608	266
1015201	137085	312085	112085	112085	137085	512085		212085		412085	535005	6400	798	630	284
1015202	238085	313085	113085	113085	238085	513085		213085		413085	532773	6400	798	630	284
1015203	137086	312086	112086	112086	137086	512086		212086		412086	558294	6600	804	632	286
1015204	337087	312087	112087	112087	337087	512087		212087		412087	574659	6800	810	634	288
1015601	138087	313087	113087	113087	138087	513087		213087		413087	578417	6800	810	634	288
1015602	339087	314087	114087	114087	339087	514087		214087		414087	582831	6800	810	634	288
1016301	137090	312090	112090	112090	137090	512090		212090		412090	682753	7400	828	640	294
1016302	337091	312091	112091	112091	337091	512091		212091		412091	702606	7600	834	642	296
1016303	238091	313091	113091	113091	238091	513091		213091		413091	699188	7600	834	642	296
1016304	437092	312092	112092	112092	437092	512092		212092		412092	688751	7800	840	644	298
1016901	537093	312093	112093	112093	537093	512093		212093		412093	736350	8000	846	646	300
1016902	137094	312094	112094	112094	137094	512094		212094		412094	801927	8200	852	648	302
1016903	338094	313094	113094	113094	338094	513094		213094		413094	810549	8200	852	648	302
1018801	137103		137103		312103	212103	512103	412103	412103	412103	1121718	10000	906	666	320
1018802	238103	113103		113103	238103		513103	213103	113103	213103	1179544	10000	906	666	320
1018803	337104	112104		112104	212104		112104	412104	337104	412104	1261487	10200	912	668	322
1018804	438104	313104	313104	313104	113104	113104	113104		438104		1265605	10200	912	668	322
1018805	437105	112105	112105	112105	312105	312105	312105		437105		1343780	10400	918	670	324
1019401	537106	112106		312106	212106	112106		412106	537106	412106	1412681	10600	924	672	326
1019402	138106		113106	313106		413106	213106	138106	413106	413106	1390254	10600	924	672	326
1021201	337115	212115	337115	112115	212115		212115		412115	412115	2026901	12400	978	690	344
1021202	238115	213115	238115	113115	213115		213115		413115	413115	2017432	12400	978	690	344
1021203	137116	212116	137116	112116	212116		212116		412116	412116	2075000	12600	984	692	346
1021204	438116	213116	438116	113116	213116		213116		413116	413116	1971466	12600	984	692	346
1021401	239116	214116	239116	114116	214116		214116		414116	414116	2077025	12600	984	692	346
1021402	539116	214116	539116	114116	214116		214116		414116	414116	2121434	12600	984	692	346
