编号	名称	等级限制	战役编号	主怪	战斗背景	位置0	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	战斗力	金币	君主经验	武将经验	英雄祭坛说明	点类型	坐标X	坐标Y	宝箱坐标	宝箱坐标	X轴反转(1=图片资源不反转，2=图片资源反转)	开启条件	士气	剧情文件编号
24	刘石	1	2	116015	2			116015						511015	3577	252	195	195		main	772	882			1		235	0
25	张雷公	1	2	417016	2		417016	412016	212015						5347	264	225	225		box	494	563	590	503	1		235	0
26	赵媛姜	1	2	517017	2	517017			212017	112011					5374	266	230	230		main	682	458			1		237	0
27	赵弘	1	2	218017	2	113017	218017			413015					5538	266	230	230		main	866	358			1		237	0
28	韩忠	1	2	319017	2		114017				514015	319017			5590	266	230	230		main	1047	437			1		239	0
29	于毒	1	2	417017	2	417017			512017	312018					5765	266	230	230		main	936	488			1		239	0
30	卞喜	1	2	116018	2	111018				511013				116018	5772	268	235	235		main	1158	577			1		241	0
31	张宝	1	2	115018	2		115018	110018	310012						5864	270	240	240		main	1252	677			1		241	0
32	白绕	1	2	417018	2			212018				412016	417018		5904	270	240	240		main	1420	807			1		243	0
33	何仪	1	2	215019	2				310019		215019		410014		6029	270	240	240		main	1430	985			1		243	0
34	波才	1	2	118018	2	313018		118018			213016				6082	272	245	245		main	1630	910			1		245	0
35	郭太	18	2	216019	2	111019		211015		216019					6085	274	250	250		main	1620	742			1		245	0
36	杨凤	18	2	317019	2	317019		212019		512017					6149	274	250	250		main	1804	626			1		247	0
37	左髭丈八	19	2	418019	2	418019		113019		213018					6326	274	250	250		main	1648	529			1		247	0
38	管亥	19	2	315020	2		110020			410016			315020		6472	276	255	255		box	1806	431	1717	364	1		249	0
39	张角	20	2	416020	2				111020	511017	416020				6463	278	260	260		main	1630	323			1		249	0
40	张燕	20	2	317020	2	212020			212020				317020		7150	278	260	260		main	1446	393			1		249	0
41	郝萌	21	3	315021	3			310021		110018	315021				7052	280	265	265		main	232	1054			1		250	0
42	高顺	21	3	116021	3	111021			111019			116021			7070	282	270	270		main	398	1146			1		250	0
43	许汜	22	3	415022	3	310022	110020						415022		7449	284	275	275		main	568	1170			1		252	0
44	魏续	22	3	216022	3			311022		216022	511021				7674	286	280	280		main	474	1008			1		252	0
45	成廉	23	3	315023	3	315023	110023	110022	510006						9508	288	285	285		box	570	904	678	770	1		255	0
46	薛兰	23	3	116023	3			111023				116023	411022	311008	9499	290	290	290		main	508	676			1		255	0
47	李封	24	3	215024	3			210024		215024			510023	510010	10728	292	295	295		main	396	544			1		257	0
48	刘何	24	3	316024	3			211024		311023		316024	211012		11003	294	300	300		main	572	474			1		257	0
49	王楷	25	3	415025	3				415025		310025		410024	510014	12296	296	305	305		main	760	568			1		260	0
50	王贺	25	3	116025	3		116025			211025		411024	511016		12501	298	310	310		main	938	670			1		260	0
51	纶直	26	3	215026	3			310026	210026	215026	510018				14072	300	315	315		main	1092	802			1		262	0
52	侯成	26	3	316026	3	316026	211026					111026		511020	14354	302	320	320		box	1366	740	1454	675	1		262	0
53	骆俊	27	3	415027	3			110027		510027	415027			510022	14650	304	325	325		main	1554	638			1		264	0
54	宋宪	27	3	316027	3		316027	411027	511027			211024			15392	306	330	330		main	1404	564			1		264	0
55	李封	28	3	115028	3	115028					210028		410028	510025	17722	308	335	335		main	1262	610			1		267	0
56	魏越	28	3	316028	3			411028		411028		211026		316028	17835	310	340	340		main	1146	496			1		267	0
57	吕玲绮	29	3	515029	3	110029	410029				515029		210027		18572	312	345	345		main	1022	388			1		269	0
58	张辽	29	3	316029	3	311029			311029		311028	316029			19683	314	350	350		main	1210	276			1		269	0
59	严氏	30	3	515030	3		210030		515030	210030		510029	410012		22009	316	355	355		main	1402	384			1		272	0
60	吕布	30	3	316030	3	311030	311030	311030				316030		311014	22879	318	360	360		main	1620	429			1		272	0
61	舒邵	31	4	115031	4	110031		310031	115031		210031	410016			23821	320	365	365		main	108	776			1		274	0
62	苟闻建	31	4	316031	4	111031		316031			411031	411031	211018		23661	322	370	370		main	321	665			1		274	0
63	陶丘洪	32	4	415032	4	110032		110032		410032		410020		415032	25947	324	375	375		main	541	548			1		276	0
64	韩胤	32	4	116032	4		111032	116032			311032		211032	411022	26956	326	380	380		main	760	677			1		276	0
65	俞涉	33	4	215033	4	215033		110033	210033		510033		410024		28478	328	385	385		main	565	788			1		279	0
66	苌奴	33	4	116033	4	116033	111033		511033	411033		211026			29142	330	390	390		box	750	898	661	941	1		279	0
67	诸葛玄	34	4	415034	4		310034	110034	410034			415034	410028		30300	400	395	395		main	560	1018			1		281	0
68	惠衢	34	4	116034	4	311034	111034	116034	211034		411030				31559	400	400	400		main	751	1127			1		281	0
69	陈纪	35	4	115035	4	110035	115035	310035		210035		210032	210009		35123	500	405	405		main	934	1224			1		284	0
70	刘珐	35	4	116035	4	311035	116035	111035		411035		411034		511012	35253	500	410	410		main	1110	1129			1		284	0
71	郑浑	36	4	315036	4	110036	315036	110036				210036	210036	410015	39825	600	415	413		main	951	1031			1		286	0
72	郑泰	36	4	416036	4	111036	111036		311036	211036	211018	416036			39862	600	420	416		main	1177	869			1		286	0
73	桥蕤	37	4	315037	4	110037		315037		110037		510037	410037	210021	40947	700	425	419		main	1332	785			1		288	0
74	张天昊	37	4	116037	4	116037		311037	211037	111037	411037	511024			41926	700	430	422		box	1522	896	1606	935	1		288	0
75	李丰	38	4	315038	4		110038	110038	210038	315038	210038		510027		45668	800	435	425		main	1722	983			1		291	0
76	纪灵	38	4	216038	4		111038	111038	511038	216038	511038	411030			46255	800	440	428		main	1879	900			1		291	0
77	袁耀	39	4	115039	4			310039	210039	115039	510039		210039	410033	48632	900	445	431		main	1729	803			1		293	0
78	袁法	39	4	416039	4			511039	416039	211039		511039	411039	211036	49110	900	450	434		main	1838	722			1		293	0
79	冯氏	40	4	515040	4	310040	110040	110040	210040	210038		515040	410018		60599	1000	455	437		main	1671	604			1		296	0
80	袁术	40	4	116040	4	116040	111040	111040	211040	411040		211040	511021		62533	1000	460	440		main	1488	490			1		296	0
81	岑壁	41	5	115041	5	310041		310041	210041	115041	510041		210041	410024	64778	1100	465	443		main	157	1160			1		298	0
82	陈琳	41	5	216041	5	111041	111041	111041	211041	216041	511041	411027			65741	1100	470	446		main	317	1062			1		298	0
83	周昂	42	5	315042	5	110042	110042	315042	410042	210042	210042			210030	69184	1200	475	449		box	480	992	409	909	1		300	0
84	冯礼	42	5	416042	5	111042	111042	111042	311042	211042	211033	416042			70546	1200	480	452		main	327	841			1		300	0
85	公孙犊	43	5	215043	5	310043	110043	110043	210043	210043		215043	410036		73339	1300	485	455		main	218	715			1		303	0
86	高平	43	5	116043	5	116043	111043	111043	411043	211043		211043	511038		73738	1300	490	458		main	370	623			1		303	0
87	沮授	44	5	415044	5	110044	110044	110044	510044	415044	210044	410040			76980	1400	495	461		main	541	534			1		305	0
88	袁遗	44	5	316044	5	316044	111044	111044	211044	411044	211044		511042		78672	1400	500	464		main	703	460			1		305	0
89	韩猛	45	5	215045	5	110045	110045	110045	310045	210045	210045	215045			84182	1500	505	467		main	859	573			1		308	0
90	韩琼	45	5	316045	5	311045	111045	111045	211045	211045		316045	411045		83847	1500	510	470		main	991	651			1		308	0
91	蒋奇	46	5	115046	5	115046	110046	110046	310046	410046		210046	410046		86850	1600	515	473		main	754	751			1		310	0
92	焦触	46	5	216046	5	111046	111046	111046	511046	216046	411046	411046			86783	1600	520	476		main	587	817			1		310	0
93	夏昭	47	5	315047	5	310047	110047	110047	210047	315047	210047		510047		92059	1700	525	479		main	754	928			1		312	0
94	高柔	47	5	416047	5	111047	311047	111047	311047	211047	411047	416047			90967	1700	530	482		main	947	1021			1		312	0
95	辛明	48	5	115048	5	310048	110048	110048	210048	210048		115048	410048		94138	1800	535	485		box	1197	916	1362	834	1		315	0
96	袁谭	48	5	116048	5	111048	111048	116048		411048	211048		511048	411048	93215	1800	540	488		main	1513	786			1		315	0
97	袁熙	49	5	215049	5	110049	110049	110049	510049	215049	510049	410049			97376	1900	545	491		main	1702	686			1		317	0
98	袁尚	49	5	316049	5	111049	111049	311049	211049	316049	211049		411049		98628	1900	550	494		main	1596	588			1		317	0
99	刘氏	50	5	515050	5	110050	110050	310050	310050	410050	210050	515050			104224	2000	555	497		main	1475	483			1		320	0
100	袁绍	50	5	116050	5	116050	111050	111050	211050	411050		211050	511050		104409	2000	560	500		main	1713	363			1		320	0
101	乐何当	51	6	115051	1	110051	115051		210051	210051	310051		410051	410051	108258	2100	565	503		main	150	1135			1		322	0
102	李移子	51	6	216051	1	311051			216051	111051	111051	211051	411051	211051	109734	2100	570	506		main	295	1049			1		322	0
103	刘纬台	52	6	415052	1	310052	310052	110052	210052	415052		210052	410052		111817	2200	575	509		main	433	974			1		324	0
104	乐白	52	6	116052	1	111052	116052		511052	211052	311052		411052	411052	111706	2200	580	512		box	625	1093	710	1045	1		324	0
105	郭铄	53	6	215053	1	110053	310053	110053	215053	510053		210053	410053		118903	2300	585	515		main	791	1025			1		327	0
106	张卿	53	6	416053	1	111053	111053	311053	311053		211053	416053		411053	118589	2300	590	518		main	955	949			1		327	0
107	季雍	54	6	315054	1		310054	315054	510054	210054	510054	410054		410054	120236	2400	595	521		main	1090	879			1		329	0
108	范方	54	6	116054	1		311054	116054	111054	511054	211054		411054	211054	122158	2400	600	524		main	958	794			1		329	0
109	文则	55	6	315055	1	315055	110055	110055	210055		510055	210055		410055	132837	2500	605	527		main	839	713			1		332	0
110	田豫	55	6	316055	1	311055	316055	311055	411055	311055	211055		411055		132928	2500	610	530		main	1007	636			1		332	0
111	关靖	56	6	415056	1		110056	110056		310056	410056	510056	415056	210056	139464	2600	615	533		main	1162	733			1		334	0
112	邹丹	56	6	316056	1	316056	511056	111056	311056	311056	311056		411056		142168	2600	620	536		main	1323	837			1		334	0
113	单经	57	6	115057	1	110057	115057	310057	210057	210057	310057			210057	146363	2700	625	539		main	1509	723			1		336	0
114	田楷	57	6	316057	1		111057	111057		211057	411057	316057	211057	511057	144910	2700	630	542		box	1366	632	1287	563	1		336	0
115	严纲	58	6	115058	1	115058		310058	210058	110058	510058	210058		410058	147479	2800	635	545		main	1212	542			1		339	0
116	公孙范	58	6	116058	1	116058		111058	411058	311058	211058	511058		211058	148045	2800	640	548		main	1068	446			1		339	0
117	公孙越	59	6	315059	1	110059		110059	210059	315059	210059	410059	510059		155377	2900	645	551		main	1240	301			1		341	0
118	公孙续	59	6	316059	1		111059		111059	411059	316059	211059	211059	211059	156284	2900	650	554		main	1420	411			1		341	0
119	候氏	60	6	515060	1	110060	310060	110060	310060	210060	310060		515060		166717	3000	655	557		main	1584	519			1		344	0
120	公孙瓒	60	6	316060	1	311060	316060	111060		411060		411060	511060	211060	163682	3000	660	560		main	1833	387			1		344	0
121	陈应	61	7	115061	2	115061		110061	410061	310061	210061	510061		210061	170255	3000	665	563		main	272	1124			1		346	0
122	鲍隆	61	7	116061	2	116061		111061	411061	311061	211061	511061		211061	170945	3000	670	566		main	148	1048			1		346	0
123	宋忠	62	7	215062	2	215062		110062	410062	310062	210062	510062		210062	174192	3000	675	569		main	360	952			1		348	0
124	王威	62	7	116062	2	116062		111062	411062	311062	211062	511062		211062	174791	3000	680	572		box	592	1052	701	1013	1		348	0
125	傅巽	63	7	415063	2	415063		110063	410063	310063	210063	510063		210063	177563	3000	685	575		main	788	982			1		351	0
126	韩嵩	63	7	316063	2	316063		111063	411063	311063	211063	511063		211063	180586	3000	690	578		main	608	948			1		351	0
127	张允	64	7	415064	2	415064		110064	410064	310064	210064	510064		210064	187105	3000	695	581		main	448	828			1		353	0
128	刘磐	64	7	116064	2	116064		111064	411064	311064	211064	511064		211064	190225	3000	700	584		main	254	746			1		353	0
129	李珪	65	7	315065	2	315065		110065	410065	310065	210065	510065		210065	198718	3000	705	587		main	440	656			1		356	0
130	蒯越	65	7	416065	2	416065		111065	411065	311065	211065	511065		211065	197263	3000	710	590		main	662	760			1		356	0
131	杨龄	66	7	215066	2	215066		110066	410066	310066	210066	510066		210066	206890	3000	715	593		main	850	846			1		358	0
132	韩玄	66	7	116066	2	116066		111066	411066	311066	211066	511066		211066	207843	3000	720	596		main	1016	768			1		358	0
133	刘度	67	7	115067	2	115067		110067	410067	310067	210067	510067		210067	213409	3000	725	599		main	1174	740			1		360	0
134	刘贤	67	7	416067	2	416067		111067	411067	311067	211067	511067		211067	211854	3000	730	602		main	1310	626			1		360	0
135	赵范	68	7	115068	2	115068		110068	410068	310068	210068	510068		210068	220619	3000	735	605		main	1442	552			1		363	0
136	刘修	68	7	316068	2	316068		111068	411068	311068	211068	511068		211068	221945	3000	740	608		box	1566	668	1698	660	1		363	0
137	刘琮	69	7	215069	2	215069		110069	410069	310069	210069	510069		210069	232803	3000	745	611		main	1800	706			1		365	0
138	刘琦	69	7	116069	2	116069		111069	411069	311069	211069	511069		211069	234023	3000	750	614		main	1966	620			1		365	0
139	蔡氏	70	7	515070	2	515070		110070	410070	310070	210070	510070		210070	250074	3000	753	615		main	1774	576			1		368	0
140	刘表	70	7	116070	2	116070		111070	411070	311070	211070	511070		211070	251584	3000	756	616		main	1584	466			1		368	0
141	庞柔	71	8	115071	3	115071		110071	410071	310071	210071	510071		210071	260146	4000	759	617		main	342	266			1		370	0
142	庞隽	71	8	416071	3	416071		111071	411071	311071	211071	511071		211071	258100	4000	762	618		main	212	347			1		370	0
143	马援	72	8	315072	3	315072		110072	410072	310072	210072	510072		210072	265768	5000	765	619		main	378	474			1		372	0
144	宋建	72	8	216072	3	216072		111072	411072	311072	211072	511072		211072	266453	5000	768	620		main	190	594			1		372	0
145	柏亥	73	8	315073	3	315073		110073	410073	310073	210073	510073		210073	274409	5600	771	621		main	360	710			1		375	0
146	马肃	73	8	416073	3	416073		111073	411073	311073	211073	511073		211073	271660	5600	774	622		main	549	816			1		375	0
147	戴勇	74	8	115074	3	115074		110074	410074	310074	210074	510074		210074	292243	5700	777	623		box	804	786	915	722	1		377	0
148	杨松	74	8	316074	3	316074		111074	411074	311074	211074	511074		211074	294282	5800	780	624		main	1040	662			1		377	0
149	杨柏	75	8	215075	3	215075		110075	410075	310075	210075	510075		210075	305321	5900	783	625		main	860	502			1		380	0
150	黄奎	75	8	116075	3	116075		111075	411075	311075	211075	511075		211075	307237	6000	786	626		main	1020	422			1		380	0
151	马岱	76	8	315076	3	315076		110076	410076	310076	210076	510076		210076	320852	6100	789	627		main	1166	354			1		382	0
152	刘婕	76	8	516076	3	516076		111076	411076	311076	211076	511076		211076	321710	6200	792	628		main	1362	478			1		382	0
153	梁兴	77	8	315077	3	315077		110077	410077	310077	210077	510077		210077	328754	6300	795	629		box	1484	660	1368	707	1		384	0
154	毛绥	77	8	216077	3	216077		111077	411077	311077	211077	511077		211077	329405	6400	798	630		main	1238	764			1		384	0
155	马铁	78	8	315078	3	315078		110078	410078	310078	210078	510078		210078	336112	6500	801	631		main	1030	876			1		387	0
156	李堪	78	8	116078	3	116078		111078	411078	311078	211078	511078		211078	337375	6600	804	632		main	1240	990			1		387	0
157	许临	79	8	415079	3	415079		110079	410079	310079	210079	510079		210079	352087	6700	807	633		main	1442	922			1		389	0
158	马休	79	8	216079	3	216079		111079	411079	311079	211079	511079		211079	358758	6800	810	634		main	1562	1014			1		389	0
159	程氏	80	8	515080	3	515080		110080	410080	310080	210080	510080		210080	378782	6900	813	635		main	1424	1096			1		392	0
160	马腾	80	8	316080	3	316080		111080	411080	311080	211080	511080		211080	381594	7000	816	636		main	1616	1172			1		392	0
161	天山大王	81	9	115081	4	115081		110081	410081	310081	210081	510081		210081	391763	7100	819	637		main	148	354			1		394	0
162	黄草洞主	81	9	216081	4	216081		111081	411081	311081	211081	511081		211081	394584	7200	822	638		main	266	428			1		394	0
163	红砂洞主	82	9	315082	4	315082		110082	410082	310082	210082	510082		210082	404924	7300	825	639		main	378	494			1		396	0
164	碧水洞主	82	9	516082	4	516082		111082	411082	311082	211082	511082		211082	406290	7400	828	640		main	502	408			1		396	0
165	镇山大王	83	9	115083	4	115083		110083	410083	310083	210083	510083		210083	413771	7500	831	641		main	492	262			1		399	0
166	蜈蚣洞主	83	9	416083	4	416083		111083	411083	311083	211083	511083		211083	409463	7600	834	642		main	628	202			1		399	0
167	清峰大王	84	9	215084	4	215084		110084	410084	310084	210084	510084		210084	441127	7700	837	643		main	782	298			1		401	0
168	鹭江洞主	84	9	316084	4	316084		111084	411084	311084	211084	511084		211084	444912	7800	840	644		main	914	382			1		401	0
169	天魔洞主	85	9	415085	4	415085		110085	410085	310085	210085	510085		210085	461679	7900	843	645		box	1052	338	1152	386	1		404	0
170	飞龙洞主	85	9	316085	4	316085		111085	411085	311085	211085	511085		211085	472417	8000	846	646		main	1204	476			1		404	0
171	蝶仔洞主	86	9	515086	4	515086		110086	410086	310086	210086	510086		210086	490167	8100	849	647		main	1044	566			1		406	0
172	阿力赤	86	9	116086	4	116086		111086	411086	311086	211086	511086		211086	493104	8200	852	648		main	878	636			1		406	0
173	伽蓝洞主	87	9	415087	4	415087		110087	410087	310087	210087	510087		210087	494786	8300	855	649		main	730	782			1		408	0
174	车鹿会	87	9	116087	4	116087		111087	411087	311087	211087	511087		211087	505874	8400	858	650		main	580	878			1		408	0
175	忙笛安	88	9	315088	4	315088		110088	410088	310088	210088	510088		210088	517542	8500	861	651		main	754	986			1		411	0
176	杨朵	88	9	116088	4	116088		111088	411088	311088	211088	511088		211088	519507	8600	864	652		box	940	1088	1044	1040	1		411	0
177	杨锋	89	9	315089	4	315089		110089	410089	310089	210089	510089		210089	557502	8700	867	653		main	1154	994			1		413	0
178	沙摩柯	89	9	116089	4	116089		111089	411089	311089	211089	511089		211089	561760	8800	870	654		main	1360	1058			1		413	0
179	带来洞主	90	9	315090	4	315090		110090	410090	310090	210090	510090		210090	597454	8900	873	655		main	1540	974			1		416	0
180	孟获	90	9	216090	4	216090		111090	411090	311090	211090	511090		211090	599340	9000	876	656		main	1698	1042			1		416	0
181	朱然	91	10	215091	5	310091	110091	110091	215091	510091		210091		410091	616709	9100	879	657		main	276	943			1		418	0
182	麋芳	91	10	116091	5		111091	311091		411091	211091	116091	411091	411091	600408	9200	882	658		main	437	884			1		418	0
183	蒋钦	92	10	215092	5	110092	310092	310092	215092	210092		410092		510092	630163	9300	885	659		main	260	806			1		420	0
184	朱桓	92	10	116092	5	111092	111092	116092	311092	311092		211092	211092		645148	9400	888	660		main	68	711			1		420	0
185	程普	93	10	215093	5	110093	310093	310093	215093	210093		410093		510093	642549	9500	891	661		box	219	591	341	632	1		423	0
186	韩当	93	10	316093	5	111093		311093	311093	316093	211093	411093		211093	646688	9600	894	662		main	425	693			1		423	0
187	董袭	94	10	115094	5		110094	310094		410094	210094	115094	410094	410094	673581	9700	897	663		main	626	798			1		425	0
188	徐盛	94	10	116094	5	111094	111094	116094	311094	311094		211094	211094		716982	9800	900	664		main	833	899			1		425	0
189	贺齐	95	10	315095	5	110095		310095	310095	315095	210095	410095		210095	747613	9900	903	665		main	975	769			1		428	0
190	张承	95	10	316095	5	111095		311095	311095	316095	211095	411095		211095	752113	10000	906	666		main	820	692			1		428	0
191	孙皎	96	10	115096	5	110096	110096	115096	310096	310096		210096	210096		793347	10100	909	667		main	1026	555			1		430	0
192	宋谦	96	10	216096	5	311096	111096	111096	216096	511096		211096		411096	784046	10200	912	668		box	1195	700	1294	799	1		430	0
193	大乔	97	10	515097	5	110097	110097	110097	210097	110097		515097	410097		793267	10300	915	669		main	1457	911			1		432	0
194	孙策	97	10	116097	5		111097	311097		411097	211097	116097	411097	411097	766711	10400	918	670		main	1653	1030			1		432	0
195	徐琨	98	10	115098	5			115098	210098	310098	310098	410098	210098	210098	807947	10500	921	671		main	1984	839			1		435	0
196	鲁肃	98	10	416098	5	311098	111098	311098		311098	211098	416098		411098	804298	10600	924	672		main	1836	771			1		435	0
197	小乔	99	10	515099	5	110099	110099	110099	210099	110099		515099	410099		882040	10700	927	673		main	1687	859			1		437	0
198	周瑜	99	10	416099	5	311099	111099	311099		311099	211099	416099		411099	870578	10800	930	674		main	1545	777			1		437	0
199	袁夫人	100	10	515100	5	110100	110100	110100	210100	110100		515100	410100		953681	10900	933	675		main	1717	644			1		440	0
200	孙权	100	10	116100	5			116100	211100	311100	311100	411100	211100	211100	948238	11000	936	676		main	1855	526			1		440	0
201	于禁	101	11	215101	1	215101		110101	410101	310101	210101	510101		210101	976115	11100	939	677		main	312	265			1		442	0
202	乐进	101	11	116101	1	116101		111101	411101	311101	211101	511101		211101	989276	11200	942	678		main	418	355			1		442	0
203	赵姬	102	11	515102	1	515102		110102	410102	310102	210102	510102		210102	999790	11300	945	679		main	539	440			1		444	0
204	荀攸	102	11	416102	1	416102		111102	411102	311102	211102	511102		211102	983409	11400	948	680		main	650	526			1		444	0
205	曹真	103	11	315103	1	315103		110103	410103	310103	210103	510103		210103	1015565	11500	951	681		main	650	633			1		447	0
206	蔡瑁	103	11	216103	1	216103		111103	411103	311103	211103	511103		211103	1019953	11600	954	682		main	520	697			1		447	0
207	夏侯渊	104	11	315104	1	315104		110104	410104	310104	210104	510104		210104	1122816	11700	957	683		main	392	758			1		449	0
208	郭嘉	104	11	416104	1	416104		111104	411104	311104	211104	511104		211104	1104629	11800	960	684		box	264	823	370	898	1		449	0
209	夏侯玄	105	11	115105	1	115105		110105	410105	310105	210105	510105		210105	1206843	11900	963	685		main	495	965			1		452	0
210	邓艾	105	11	216105	1	216105		111105	411105	311105	211105	511105		211105	1207112	12000	966	686		main	646	901			1		452	0
211	刘烨	106	11	315106	1	315106		110106	410106	310106	210106	510106		210106	1251378	12100	969	687		main	790	840			1		454	0
212	贾诩	106	11	416106	1	416106		111106	411106	311106	211106	511106		211106	1229385	12200	972	688		main	956	771			1		454	0
213	夏侯惠	107	11	115107	1	115107		110107	410107	310107	210107	510107		210107	1277140	12300	975	689		main	1157	681			1		456	0
214	秦夫人	107	11	516107	1	516107		111107	411107	311107	211107	511107		211107	1286875	12400	978	690		main	1338	780			1		456	0
215	夏侯尚	108	11	215108	1	215108		110108	410108	310108	210108	510108		210108	1294511	12500	981	691		box	1472	863	1570	825	1		459	0
216	荀彧	108	11	416108	1	416108		111108	411108	311108	211108	511108		211108	1282321	12600	984	692		main	1659	802			1		459	0
217	张郃	109	11	315109	1	315109		110109	410109	310109	210109	510109		210109	1422717	12700	987	693		main	1779	894			1		461	0
218	王昭仪	109	11	516109	1	516109		111109	411109	311109	211109	511109		211109	1435624	12800	990	694		main	1569	974			1		461	0
219	典韦	110	11	115110	1	115110		110110	410110	310110	210110	510110		210110	1551614	12900	993	695		main	1397	1040			1		464	0
220	曹操	110	11	116110	1	116110		111110	411110	311110	211110	511110		211110	1563308	13000	996	696		main	1533	1130			1		464	0
1002101	邓茂	1	2	117013	2				117013	212013					3245	242	170	170		main	304	1038			1		231	0
1002102	程远志	1	2	315014	2			310014			315014				3646	244	175	175		main	422	1142			1		233	0
1002103	伏完	1	2	116014	2	116014			311014						3642	246	180	180		main	572	1216			1		233	0
1002401	孙夏	1	2	217015	2						217015		412015		3582	254	200	200		main	904	940			1		236	0
1002402	张梁	1	2	315016	2		210016	110002	315016						4176	256	205	205		main	1076	870			1		238	0
1002403	笮融	1	2	416016	2	416016			111016			311004			4562	258	210	210		main	886	774			1		238	0
1002404	高升	1	2	217016	2	212016	217016	212006							4951	260	215	215		main	714	686			1		238	0
1002405	李乐	1	2	315017	2			410017				510008	315017		4983	260	215	215		main	508	772			1		240	0
1002406	彭脱	1	2	116017	2	116017	211017					511010			5301	262	220	220		main	302	662			1		240	0
1004501	孙康	1	3	317023	3	112023	317023	112018				312012			9513	290	290	290		branch	852	882			1		200	0
1004502	孙观	1	3	117024	3			117024	112024	212020		412014			10580	294	300	300		branch	980	992			1		200	0
1004503	吴敦	1	3	218024	3			218024	413024		213022		513016		10747	294	300	300		branch	1118	1064			1		200	0
1004504	尹礼	1	3	217025	3	112025		217025				512024	412018		12849	298	310	310		branch	992	1198			1		200	0
1004505	臧霸	1	3	318025	3	113025		113026		318025			213020		14118	298	310	310		branch	854	1138			1		200	0
1005301	昌豨	1	3	317028	3		112028		312028		317028		412024		17401	310	340	340		branch	1728	800			1		200	0
1005302	李春香	1	3	518028	3		113028		313028			513026	518028		18169	310	340	340		branch	1578	868			1		200	0
1007201	金尚	1	4	317037	4	317037		312037	512037	112037	212037	412018			41305	700	430	422		branch	996	763			1		204	0
1007202	韩暹	1	4	418037	4	113037	313037	113037	418037			213037	413021		41436	700	430	422		branch	1158	660			1		204	0
1007203	张勋	1	4	117038	4		112038		112038	212038	117038	412038		412024	44383	800	440	428		branch	1025	579			1		206	0
1007204	韩定	1	4	417039	4	112039	112039	112039	417039	312039			212027		46628	900	450	434		branch	893	500			1		208	0
1007301	张炯	1	4	319037	4	114037		314037	314037		214037	319037		414027	43758	700	430	422		branch	1509	678			1		204	0
1007302	刘祥	1	4	118038	4	113038		118038	213038	313038		413038		513030	46673	800	440	428		branch	1341	563			1		206	0
1007303	袁凯	1	4	419038	4	114038		314038		314038	214038	419038	414033		47903	800	440	428		branch	1179	461			1		206	0
1008601	高干	1	5	317044	5	112044	112044	112044	212044		212044	317044		412027	72976	1400	500	464		branch	205	478			1		218	0
