兵种(刀，枪，骑，谋士，红颜)	技能	类型(1:主动，2：被动)	技能等级	技能战斗力系数	技能效果	技能效果参数	技能目标	效果描述	效果持续回合	技能伤害系数	升级Tips	战斗力附加值
1	1	1	13	168	strongatk	0	0	对敌方单体造成168%的伤害，且本方剩余武将越少伤害越高		168	下一级：对目标造成的伤害提高至172%	260
1	1	1	14	172	strongatk	0	0	对敌方单体造成172%的伤害，且本方剩余武将越少伤害越高		172	下一级：对目标造成的伤害提高至176%	280
1	1	1	15	176	strongatk	0	0	对敌方单体造成176%的伤害，且本方剩余武将越少伤害越高		176	下一级：对目标造成的伤害提高至180%	300
1	1	1	16	180	strongatk	0	0	对敌方单体造成180%的伤害，且本方剩余武将越少伤害越高		180	下一级：对目标造成的伤害提高至184%	320
1	1	1	17	184	strongatk	0	0	对敌方单体造成184%的伤害，且本方剩余武将越少伤害越高		184	下一级：对目标造成的伤害提高至188%	340
1	1	1	18	188	strongatk	0	0	对敌方单体造成188%的伤害，且本方剩余武将越少伤害越高		188	下一级：对目标造成的伤害提高至192%	360
1	1	1	19	192	strongatk	0	0	对敌方单体造成192%的伤害，且本方剩余武将越少伤害越高		192	下一级：对目标造成的伤害提高至196%	380
1	1	1	20	196	strongatk	0	0	对敌方单体造成196%的伤害，且本方剩余武将越少伤害越高		196	下一级：对目标造成的伤害提高至200%	400
1	1	1	21	200	strongatk	0	0	对敌方单体造成200%的伤害，且本方剩余武将越少伤害越高		200	下一级：对目标造成的伤害提高至204%	420
1	1	1	22	204	strongatk	0	0	对敌方单体造成204%的伤害，且本方剩余武将越少伤害越高		204	下一级：对目标造成的伤害提高至208%	440
1	1	1	23	208	strongatk	0	0	对敌方单体造成208%的伤害，且本方剩余武将越少伤害越高		208	下一级：对目标造成的伤害提高至212%	460
1	1	1	24	212	strongatk	0	0	对敌方单体造成212%的伤害，且本方剩余武将越少伤害越高		212	下一级：对目标造成的伤害提高至216%	480
1	1	1	25	216	strongatk	0	0	对敌方单体造成216%的伤害，且本方剩余武将越少伤害越高		216	下一级：对目标造成的伤害提高至220%	500
1	1	1	26	220	strongatk	0	0	对敌方单体造成220%的伤害，且本方剩余武将越少伤害越高		220	下一级：对目标造成的伤害提高至224%	520
1	1	1	27	224	strongatk	0	0	对敌方单体造成224%的伤害，且本方剩余武将越少伤害越高		224	下一级：对目标造成的伤害提高至228%	540
1	1	1	28	228	strongatk	0	0	对敌方单体造成228%的伤害，且本方剩余武将越少伤害越高		228	下一级：对目标造成的伤害提高至232%	560
1	1	1	29	232	strongatk	0	0	对敌方单体造成232%的伤害，且本方剩余武将越少伤害越高		232	下一级：对目标造成的伤害提高至236%	580
1	1	1	30	236	strongatk	0	0	对敌方单体造成236%的伤害，且本方剩余武将越少伤害越高		236	下一级：对目标造成的伤害提高至240%	600
1	1	1	31	240	strongatk	0	0	对敌方单体造成240%的伤害，且本方剩余武将越少伤害越高		240	下一级：对目标造成的伤害提高至244%	620
1	1	1	32	244	strongatk	0	0	对敌方单体造成244%的伤害，且本方剩余武将越少伤害越高		244	下一级：对目标造成的伤害提高至248%	640
1	1	1	33	248	strongatk	0	0	对敌方单体造成248%的伤害，且本方剩余武将越少伤害越高		248	下一级：对目标造成的伤害提高至252%	660
1	1	1	34	252	strongatk	0	0	对敌方单体造成252%的伤害，且本方剩余武将越少伤害越高		252	下一级：对目标造成的伤害提高至256%	680
1	1	1	35	256	strongatk	0	0	对敌方单体造成256%的伤害，且本方剩余武将越少伤害越高		256	下一级：对目标造成的伤害提高至260%	700
1	1	1	36	260	strongatk	0	0	对敌方单体造成260%的伤害，且本方剩余武将越少伤害越高		260	下一级：对目标造成的伤害提高至264%	720
1	1	1	37	264	strongatk	0	0	对敌方单体造成264%的伤害，且本方剩余武将越少伤害越高		264	下一级：对目标造成的伤害提高至268%	740
1	1	1	38	268	strongatk	0	0	对敌方单体造成268%的伤害，且本方剩余武将越少伤害越高		268	下一级：对目标造成的伤害提高至272%	760
1	1	1	39	272	strongatk	0	0	对敌方单体造成272%的伤害，且本方剩余武将越少伤害越高		272	下一级：对目标造成的伤害提高至276%	780
1	1	1	40	276	strongatk	0	0	对敌方单体造成276%的伤害，且本方剩余武将越少伤害越高		276	下一级：对目标造成的伤害提高至280%	800
1	1	1	41	280	strongatk	0	0	对敌方单体造成280%的伤害，且本方剩余武将越少伤害越高		280	下一级：对目标造成的伤害提高至284%	820
1	1	1	42	284	strongatk	0	0	对敌方单体造成284%的伤害，且本方剩余武将越少伤害越高		284	下一级：对目标造成的伤害提高至288%	840
1	1	1	43	288	strongatk	0	0	对敌方单体造成288%的伤害，且本方剩余武将越少伤害越高		288	下一级：对目标造成的伤害提高至292%	860
1	1	1	44	292	strongatk	0	0	对敌方单体造成292%的伤害，且本方剩余武将越少伤害越高		292	下一级：对目标造成的伤害提高至296%	880
1	1	1	45	296	strongatk	0	0	对敌方单体造成296%的伤害，且本方剩余武将越少伤害越高		296	下一级：对目标造成的伤害提高至300%	900
1	1	1	46	300	strongatk	0	0	对敌方单体造成300%的伤害，且本方剩余武将越少伤害越高		300	下一级：对目标造成的伤害提高至304%	920
1	1	1	47	304	strongatk	0	0	对敌方单体造成304%的伤害，且本方剩余武将越少伤害越高		304	下一级：对目标造成的伤害提高至308%	940
1	1	1	48	308	strongatk	0	0	对敌方单体造成308%的伤害，且本方剩余武将越少伤害越高		308	下一级：对目标造成的伤害提高至312%	960
1	1	1	49	312	strongatk	0	0	对敌方单体造成312%的伤害，且本方剩余武将越少伤害越高		312	下一级：对目标造成的伤害提高至316%	980
1	1	1	50	316	strongatk	0	0	对敌方单体造成316%的伤害，且本方剩余武将越少伤害越高		316	已升到最高级	1000
1	2	2	1	0	block	50	0	永久提高刀兵50点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵100点格挡	20
1	2	2	2	0	block	100	0	永久提高刀兵100点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵150点格挡	40
1	2	2	3	0	block	150	0	永久提高刀兵150点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵200点格挡	60
1	2	2	4	0	block	200	0	永久提高刀兵200点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵250点格挡	80
1	2	2	5	0	block	250	0	永久提高刀兵250点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵300点格挡	100
1	2	2	6	0	block	300	0	永久提高刀兵300点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵350点格挡	120
1	2	2	7	0	block	350	0	永久提高刀兵350点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵400点格挡	140
1	2	2	8	0	block	400	0	永久提高刀兵400点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵450点格挡	160
1	2	2	9	0	block	450	0	永久提高刀兵450点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵500点格挡	180
1	2	2	10	0	block	500	0	永久提高刀兵500点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵550点格挡	200
1	2	2	11	0	block	550	0	永久提高刀兵550点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵600点格挡	220
1	2	2	12	0	block	600	0	永久提高刀兵600点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵650点格挡	240
1	2	2	13	0	block	650	0	永久提高刀兵650点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵700点格挡	260
1	2	2	14	0	block	700	0	永久提高刀兵700点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵750点格挡	280
1	2	2	15	0	block	750	0	永久提高刀兵750点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵800点格挡	300
1	2	2	16	0	block	800	0	永久提高刀兵800点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵850点格挡	320
1	2	2	17	0	block	850	0	永久提高刀兵850点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵900点格挡	340
1	2	2	18	0	block	900	0	永久提高刀兵900点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵950点格挡	360
1	2	2	19	0	block	950	0	永久提高刀兵950点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1000点格挡	380
1	2	2	20	0	block	1000	0	永久提高刀兵1000点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1050点格挡	400
1	2	2	21	0	block	1050	0	永久提高刀兵1050点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1100点格挡	420
1	2	2	22	0	block	1100	0	永久提高刀兵1100点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1150点格挡	440
1	2	2	23	0	block	1150	0	永久提高刀兵1150点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1200点格挡	460
1	2	2	24	0	block	1200	0	永久提高刀兵1200点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1250点格挡	480
1	2	2	25	0	block	1250	0	永久提高刀兵1250点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1300点格挡	500
1	2	2	26	0	block	1300	0	永久提高刀兵1300点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1350点格挡	520
1	2	2	27	0	block	1350	0	永久提高刀兵1350点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1400点格挡	540
1	2	2	28	0	block	1400	0	永久提高刀兵1400点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1450点格挡	560
1	2	2	29	0	block	1450	0	永久提高刀兵1450点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1500点格挡	580
1	2	2	30	0	block	1500	0	永久提高刀兵1500点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1550点格挡	600
1	2	2	31	0	block	1550	0	永久提高刀兵1550点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1600点格挡	620
1	2	2	32	0	block	1600	0	永久提高刀兵1600点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1650点格挡	640
1	2	2	33	0	block	1650	0	永久提高刀兵1650点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1700点格挡	660
1	2	2	34	0	block	1700	0	永久提高刀兵1700点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1750点格挡	680
1	2	2	35	0	block	1750	0	永久提高刀兵1750点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1800点格挡	700
1	2	2	36	0	block	1800	0	永久提高刀兵1800点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1850点格挡	720
1	2	2	37	0	block	1850	0	永久提高刀兵1850点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1900点格挡	740
1	2	2	38	0	block	1900	0	永久提高刀兵1900点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵1950点格挡	760
1	2	2	39	0	block	1950	0	永久提高刀兵1950点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2000点格挡	780
1	2	2	40	0	block	2000	0	永久提高刀兵2000点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2050点格挡	800
1	2	2	41	0	block	2050	0	永久提高刀兵2050点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2100点格挡	820
1	2	2	42	0	block	2100	0	永久提高刀兵2100点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2150点格挡	840
1	2	2	43	0	block	2150	0	永久提高刀兵2150点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2200点格挡	860
1	2	2	44	0	block	2200	0	永久提高刀兵2200点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2250点格挡	880
1	2	2	45	0	block	2250	0	永久提高刀兵2250点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2300点格挡	900
1	2	2	46	0	block	2300	0	永久提高刀兵2300点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2350点格挡	920
1	2	2	47	0	block	2350	0	永久提高刀兵2350点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2400点格挡	940
1	2	2	48	0	block	2400	0	永久提高刀兵2400点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2450点格挡	960
1	2	2	49	0	block	2450	0	永久提高刀兵2450点格挡，格挡可将受到伤害降低50%			下一级：永久提高刀兵2500点格挡	980
1	2	2	50	0	block	2500	0	永久提高刀兵2500点格挡，格挡可将受到伤害降低50%			已升到最高级	1000
1	3	1	1	120	atktransdef	100	0	对敌方单体造成140%的伤害，并将自身武力转化为武防	1	140	下一级：对目标造成的伤害提高至142%	20
1	3	1	2	124	atktransdef	100	0	对敌方单体造成142%的伤害，并将自身武力转化为武防	1	142	下一级：对目标造成的伤害提高至144%	40
1	3	1	3	128	atktransdef	100	0	对敌方单体造成144%的伤害，并将自身武力转化为武防	1	144	下一级：对目标造成的伤害提高至146%	60
1	3	1	4	132	atktransdef	100	0	对敌方单体造成146%的伤害，并将自身武力转化为武防	1	146	下一级：对目标造成的伤害提高至148%	80
1	3	1	5	136	atktransdef	100	0	对敌方单体造成148%的伤害，并将自身武力转化为武防	1	148	下一级：对目标造成的伤害提高至150%	100
1	3	1	6	140	atktransdef	100	0	对敌方单体造成150%的伤害，并将自身武力转化为武防	1	150	下一级：对目标造成的伤害提高至152%	120
1	3	1	7	144	atktransdef	100	0	对敌方单体造成152%的伤害，并将自身武力转化为武防	1	152	下一级：对目标造成的伤害提高至154%	140
1	3	1	8	148	atktransdef	100	0	对敌方单体造成154%的伤害，并将自身武力转化为武防	1	154	下一级：对目标造成的伤害提高至156%	160
1	3	1	9	152	atktransdef	100	0	对敌方单体造成156%的伤害，并将自身武力转化为武防	1	156	下一级：对目标造成的伤害提高至158%	180
1	3	1	10	156	atktransdef	100	0	对敌方单体造成158%的伤害，并将自身武力转化为武防	1	158	下一级：对目标造成的伤害提高至160%	200
1	3	1	11	160	atktransdef	100	0	对敌方单体造成160%的伤害，并将自身武力转化为武防	1	160	下一级：对目标造成的伤害提高至162%	220
1	3	1	12	164	atktransdef	100	0	对敌方单体造成162%的伤害，并将自身武力转化为武防	1	162	下一级：对目标造成的伤害提高至164%	240
1	3	1	13	168	atktransdef	100	0	对敌方单体造成164%的伤害，并将自身武力转化为武防	1	164	下一级：对目标造成的伤害提高至166%	260
1	3	1	14	172	atktransdef	100	0	对敌方单体造成166%的伤害，并将自身武力转化为武防	1	166	下一级：对目标造成的伤害提高至168%	280
1	3	1	15	176	atktransdef	100	0	对敌方单体造成168%的伤害，并将自身武力转化为武防	1	168	下一级：对目标造成的伤害提高至170%	300
1	3	1	16	180	atktransdef	100	0	对敌方单体造成170%的伤害，并将自身武力转化为武防	1	170	下一级：对目标造成的伤害提高至172%	320
1	3	1	17	184	atktransdef	100	0	对敌方单体造成172%的伤害，并将自身武力转化为武防	1	172	下一级：对目标造成的伤害提高至174%	340
1	3	1	18	188	atktransdef	100	0	对敌方单体造成174%的伤害，并将自身武力转化为武防	1	174	下一级：对目标造成的伤害提高至176%	360
1	3	1	19	192	atktransdef	100	0	对敌方单体造成176%的伤害，并将自身武力转化为武防	1	176	下一级：对目标造成的伤害提高至178%	380
1	3	1	20	196	atktransdef	100	0	对敌方单体造成178%的伤害，并将自身武力转化为武防	1	178	下一级：对目标造成的伤害提高至180%	400
1	3	1	21	200	atktransdef	100	0	对敌方单体造成180%的伤害，并将自身武力转化为武防	1	180	下一级：对目标造成的伤害提高至182%	420
1	3	1	22	204	atktransdef	100	0	对敌方单体造成182%的伤害，并将自身武力转化为武防	1	182	下一级：对目标造成的伤害提高至184%	440
1	3	1	23	208	atktransdef	100	0	对敌方单体造成184%的伤害，并将自身武力转化为武防	1	184	下一级：对目标造成的伤害提高至186%	460
1	3	1	24	212	atktransdef	100	0	对敌方单体造成186%的伤害，并将自身武力转化为武防	1	186	下一级：对目标造成的伤害提高至188%	480
1	3	1	25	216	atktransdef	100	0	对敌方单体造成188%的伤害，并将自身武力转化为武防	1	188	下一级：对目标造成的伤害提高至190%	500
1	3	1	26	220	atktransdef	100	0	对敌方单体造成190%的伤害，并将自身武力转化为武防	1	190	下一级：对目标造成的伤害提高至192%	520
1	3	1	27	224	atktransdef	100	0	对敌方单体造成192%的伤害，并将自身武力转化为武防	1	192	下一级：对目标造成的伤害提高至194%	540
1	3	1	28	228	atktransdef	100	0	对敌方单体造成194%的伤害，并将自身武力转化为武防	1	194	下一级：对目标造成的伤害提高至196%	560
1	3	1	29	232	atktransdef	100	0	对敌方单体造成196%的伤害，并将自身武力转化为武防	1	196	下一级：对目标造成的伤害提高至198%	580
1	3	1	30	236	atktransdef	100	0	对敌方单体造成198%的伤害，并将自身武力转化为武防	1	198	下一级：对目标造成的伤害提高至200%	600
1	3	1	31	240	atktransdef	100	0	对敌方单体造成200%的伤害，并将自身武力转化为武防	1	200	下一级：对目标造成的伤害提高至202%	620
1	3	1	32	244	atktransdef	100	0	对敌方单体造成202%的伤害，并将自身武力转化为武防	1	202	下一级：对目标造成的伤害提高至204%	640
1	3	1	33	248	atktransdef	100	0	对敌方单体造成204%的伤害，并将自身武力转化为武防	1	204	下一级：对目标造成的伤害提高至206%	660
1	3	1	34	252	atktransdef	100	0	对敌方单体造成206%的伤害，并将自身武力转化为武防	1	206	下一级：对目标造成的伤害提高至208%	680
1	3	1	35	256	atktransdef	100	0	对敌方单体造成208%的伤害，并将自身武力转化为武防	1	208	下一级：对目标造成的伤害提高至210%	700
1	3	1	36	260	atktransdef	100	0	对敌方单体造成210%的伤害，并将自身武力转化为武防	1	210	下一级：对目标造成的伤害提高至212%	720
1	3	1	37	264	atktransdef	100	0	对敌方单体造成212%的伤害，并将自身武力转化为武防	1	212	下一级：对目标造成的伤害提高至214%	740
1	3	1	38	268	atktransdef	100	0	对敌方单体造成214%的伤害，并将自身武力转化为武防	1	214	下一级：对目标造成的伤害提高至216%	760
1	3	1	39	272	atktransdef	100	0	对敌方单体造成216%的伤害，并将自身武力转化为武防	1	216	下一级：对目标造成的伤害提高至218%	780
1	3	1	40	276	atktransdef	100	0	对敌方单体造成218%的伤害，并将自身武力转化为武防	1	218	下一级：对目标造成的伤害提高至220%	800
1	3	1	41	280	atktransdef	100	0	对敌方单体造成220%的伤害，并将自身武力转化为武防	1	220	下一级：对目标造成的伤害提高至222%	820
1	3	1	42	284	atktransdef	100	0	对敌方单体造成222%的伤害，并将自身武力转化为武防	1	222	下一级：对目标造成的伤害提高至224%	840
1	3	1	43	288	atktransdef	100	0	对敌方单体造成224%的伤害，并将自身武力转化为武防	1	224	下一级：对目标造成的伤害提高至226%	860
1	3	1	44	292	atktransdef	100	0	对敌方单体造成226%的伤害，并将自身武力转化为武防	1	226	下一级：对目标造成的伤害提高至228%	880
1	3	1	45	296	atktransdef	100	0	对敌方单体造成228%的伤害，并将自身武力转化为武防	1	228	下一级：对目标造成的伤害提高至230%	900
1	3	1	46	300	atktransdef	100	0	对敌方单体造成230%的伤害，并将自身武力转化为武防	1	230	下一级：对目标造成的伤害提高至232%	920
1	3	1	47	304	atktransdef	100	0	对敌方单体造成232%的伤害，并将自身武力转化为武防	1	232	下一级：对目标造成的伤害提高至234%	940
1	3	1	48	308	atktransdef	100	0	对敌方单体造成234%的伤害，并将自身武力转化为武防	1	234	下一级：对目标造成的伤害提高至236%	960
1	3	1	49	312	atktransdef	100	0	对敌方单体造成236%的伤害，并将自身武力转化为武防	1	236	下一级：对目标造成的伤害提高至238%	980
1	3	1	50	316	atktransdef	100	0	对敌方单体造成238%的伤害，并将自身武力转化为武防	1	238	已升到最高级	1000
1	4	2	1	0	fortitude	50	0	永久提高刀兵50点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵100点刚毅	20
1	4	2	2	0	fortitude	100	0	永久提高刀兵100点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵150点刚毅	40
1	4	2	3	0	fortitude	150	0	永久提高刀兵150点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵200点刚毅	60
1	4	2	4	0	fortitude	200	0	永久提高刀兵200点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵250点刚毅	80
1	4	2	5	0	fortitude	250	0	永久提高刀兵250点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵300点刚毅	100
1	4	2	6	0	fortitude	300	0	永久提高刀兵300点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵350点刚毅	120
1	4	2	7	0	fortitude	350	0	永久提高刀兵350点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵400点刚毅	140
1	4	2	8	0	fortitude	400	0	永久提高刀兵400点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵450点刚毅	160
1	4	2	9	0	fortitude	450	0	永久提高刀兵450点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵500点刚毅	180
1	4	2	10	0	fortitude	500	0	永久提高刀兵500点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵550点刚毅	200
1	4	2	11	0	fortitude	550	0	永久提高刀兵550点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵600点刚毅	220
1	4	2	12	0	fortitude	600	0	永久提高刀兵600点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵650点刚毅	240
1	4	2	13	0	fortitude	650	0	永久提高刀兵650点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵700点刚毅	260
1	4	2	14	0	fortitude	700	0	永久提高刀兵700点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵750点刚毅	280
1	4	2	15	0	fortitude	750	0	永久提高刀兵750点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵800点刚毅	300
1	4	2	16	0	fortitude	800	0	永久提高刀兵800点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵850点刚毅	320
1	4	2	17	0	fortitude	850	0	永久提高刀兵850点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵900点刚毅	340
1	4	2	18	0	fortitude	900	0	永久提高刀兵900点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵950点刚毅	360
1	4	2	19	0	fortitude	950	0	永久提高刀兵950点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1000点刚毅	380
1	4	2	20	0	fortitude	1000	0	永久提高刀兵1000点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1050点刚毅	400
1	4	2	21	0	fortitude	1050	0	永久提高刀兵1050点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1100点刚毅	420
1	4	2	22	0	fortitude	1100	0	永久提高刀兵1100点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1150点刚毅	440
1	4	2	23	0	fortitude	1150	0	永久提高刀兵1150点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1200点刚毅	460
1	4	2	24	0	fortitude	1200	0	永久提高刀兵1200点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1250点刚毅	480
1	4	2	25	0	fortitude	1250	0	永久提高刀兵1250点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1300点刚毅	500
1	4	2	26	0	fortitude	1300	0	永久提高刀兵1300点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1350点刚毅	520
1	4	2	27	0	fortitude	1350	0	永久提高刀兵1350点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1400点刚毅	540
1	4	2	28	0	fortitude	1400	0	永久提高刀兵1400点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1450点刚毅	560
1	4	2	29	0	fortitude	1450	0	永久提高刀兵1450点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1500点刚毅	580
1	4	2	30	0	fortitude	1500	0	永久提高刀兵1500点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1550点刚毅	600
1	4	2	31	0	fortitude	1550	0	永久提高刀兵1550点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1600点刚毅	620
1	4	2	32	0	fortitude	1600	0	永久提高刀兵1600点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1650点刚毅	640
1	4	2	33	0	fortitude	1650	0	永久提高刀兵1650点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1700点刚毅	660
1	4	2	34	0	fortitude	1700	0	永久提高刀兵1700点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1750点刚毅	680
1	4	2	35	0	fortitude	1750	0	永久提高刀兵1750点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1800点刚毅	700
1	4	2	36	0	fortitude	1800	0	永久提高刀兵1800点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1850点刚毅	720
1	4	2	37	0	fortitude	1850	0	永久提高刀兵1850点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1900点刚毅	740
1	4	2	38	0	fortitude	1900	0	永久提高刀兵1900点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵1950点刚毅	760
1	4	2	39	0	fortitude	1950	0	永久提高刀兵1950点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵2000点刚毅	780
1	4	2	40	0	fortitude	2000	0	永久提高刀兵2000点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵2050点刚毅	800
1	4	2	41	0	fortitude	2050	0	永久提高刀兵2050点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵2100点刚毅	820
1	4	2	42	0	fortitude	2100	0	永久提高刀兵2100点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵2150点刚毅	840
1	4	2	43	0	fortitude	2150	0	永久提高刀兵2150点刚毅，刚毅可降低受到暴击的几率			下一级：永久提高刀兵2200点刚毅	860
