编号	等级	科技名称	图标	科技效果	科技效果参数	外部描述	本级描述（升级确认界面）	下一级描述（升级确认界面）	升级资源	升级资源ID	升级资源数量	是否世界公告
4	3	兵力强化	legiontech/health.png	4	1000	所有武将兵力+1000	所有武将兵力+1000	所有武将兵力+1600	order	80	40	0
4	4	兵力强化	legiontech/health.png	4	1600	所有武将兵力+1600	所有武将兵力+1600	所有武将兵力+2200	order	80	80	0
4	5	兵力强化	legiontech/health.png	4	2200	所有武将兵力+2200	所有武将兵力+2200	所有武将兵力+3000	order	80	160	0
4	6	兵力强化	legiontech/health.png	4	3000	所有武将兵力+3000	所有武将兵力+3000	所有武将兵力+3800	order	80	320	0
4	7	兵力强化	legiontech/health.png	4	3800	所有武将兵力+3800	所有武将兵力+3800	所有武将兵力+4600	order	80	520	1
4	8	兵力强化	legiontech/health.png	4	4600	所有武将兵力+4600	所有武将兵力+4600	所有武将兵力+5400	order	80	750	1
4	9	兵力强化	legiontech/health.png	4	5400	所有武将兵力+5400	所有武将兵力+5400	所有武将兵力+6400	order	80	1000	1
4	10	兵力强化	legiontech/health.png	4	6400	所有武将兵力+6400	所有武将兵力+6400	已升到最高级	order	80	0	0
5	0	招兵买马	legiontech/zhaobingmaima.png	5	0	提高皇城争霸体力上限	皇城争霸体力上限+0	皇城争霸体力上限+50	order	80	50	0
5	1	招兵买马	legiontech/zhaobingmaima.png	5	50	皇城争霸体力上限+50	皇城争霸体力上限+50	皇城争霸体力上限+100	order	80	150	1
5	2	招兵买马	legiontech/zhaobingmaima.png	5	100	皇城争霸体力上限+100	皇城争霸体力上限+100	皇城争霸体力上限+150	order	80	300	1
5	3	招兵买马	legiontech/zhaobingmaima.png	5	150	皇城争霸体力上限+150	皇城争霸体力上限+150	已升到最高级	order	80	0	0
6	0	快马加鞭	legiontech/kuaimajiabian.png	6	0	缩短皇城争霸行动力恢复时间	皇城争霸行动力恢复时间 -0秒	皇城争霸行动力恢复时间 -3秒	order	80	5	0
6	1	快马加鞭	legiontech/kuaimajiabian.png	6	3	皇城争霸行动力恢复时间 -3秒	皇城争霸行动力恢复时间 -3秒	皇城争霸行动力恢复时间 -6秒	order	80	10	0
6	2	快马加鞭	legiontech/kuaimajiabian.png	6	6	皇城争霸行动力恢复时间 -6秒	皇城争霸行动力恢复时间 -6秒	皇城争霸行动力恢复时间 -9秒	order	80	20	0
6	3	快马加鞭	legiontech/kuaimajiabian.png	6	9	皇城争霸行动力恢复时间 -9秒	皇城争霸行动力恢复时间 -9秒	皇城争霸行动力恢复时间 -12秒	order	80	40	0
6	4	快马加鞭	legiontech/kuaimajiabian.png	6	12	皇城争霸行动力恢复时间 -12秒	皇城争霸行动力恢复时间 -12秒	皇城争霸行动力恢复时间 -15秒	order	80	80	0
6	5	快马加鞭	legiontech/kuaimajiabian.png	6	15	皇城争霸行动力恢复时间 -15秒	皇城争霸行动力恢复时间 -15秒	皇城争霸行动力恢复时间 -18秒	order	80	160	0
6	6	快马加鞭	legiontech/kuaimajiabian.png	6	18	皇城争霸行动力恢复时间 -18秒	皇城争霸行动力恢复时间 -18秒	皇城争霸行动力恢复时间 -21秒	order	80	320	0
6	7	快马加鞭	legiontech/kuaimajiabian.png	6	21	皇城争霸行动力恢复时间 -21秒	皇城争霸行动力恢复时间 -21秒	皇城争霸行动力恢复时间 -24秒	order	80	520	1
6	8	快马加鞭	legiontech/kuaimajiabian.png	6	24	皇城争霸行动力恢复时间 -24秒	皇城争霸行动力恢复时间 -24秒	皇城争霸行动力恢复时间 -27秒	order	80	750	1
6	9	快马加鞭	legiontech/kuaimajiabian.png	6	27	皇城争霸行动力恢复时间 -27秒	皇城争霸行动力恢复时间 -27秒	皇城争霸行动力恢复时间 -30秒	order	80	1000	1
6	10	快马加鞭	legiontech/kuaimajiabian.png	6	30	皇城争霸行动力恢复时间 -30秒	皇城争霸行动力恢复时间 -30秒	已升到最高级	order	80	0	0
7	0	一掷千金	legiontech/yizhiqianjin.png	7	0	增加每日捐献金币次数	每日捐献金币次数+0	每日捐献金币次数+1	order	80	20	0
7	1	一掷千金	legiontech/yizhiqianjin.png	7	1	每日捐献金币次数+1	每日捐献金币次数+1	每日捐献金币次数+2	order	80	50	1
7	2	一掷千金	legiontech/yizhiqianjin.png	7	2	每日捐献金币次数+2	每日捐献金币次数+2	已升至最高级	order	80	0	0
