关键字	简体	越南
E_STR_PUT_YOUR_ARRESTING	我方将领英勇奋战，但依然寡不敌众，最后被%s俘虏	Tướng lĩnh của ta đã chiến đấu anh dũng, nhưng thiểu số không thắng nổi đa số, cuối cùng bị %s bắt làm tù binh
E_STR_GOLD_TIME	金币/小时	Vàng/giờ
E_STR_ZHANLING_GOLD	你成功占领了一个空的矿坑	Ngươi thành công chiếm được mỏ trống 
E_STR_ZHANLING_GOLD_TIP	没有多余的矿坑啦，只能选择掠夺或者占领其他品质的金矿	Không có dư mỏ nữa rồi, chỉ có thể chọn cướp hoặc chiếm Ngân Khoáng khác thôi 
E_STR_ZHANLING_GOLD_ING	你当前已经占领了一座金矿	Hiện tại ngươi đã chiếm được 1 Ngân Khoáng 
E_STR_CHE_JUN	占领时间还未结束，撤军将获得当前积累的金币，确定撤军吗？	Thời gian chiếm vẫn còn, rút quân sẽ chỉ nhận được số Vàng tích lũy, đồng ý rút quân ?
E_STR_CAN_NOT_ZHANLING	你的失败保证金不足，不能掠夺该金矿，请选择其他人的金矿	Nếu thất bại không đủ Vàng bồi thường, không thể cướp Ngân Khoáng này, hãy chọn Ngân Khoáng khác
E_STR_GOLDMINE_LEVEL	%d-%d级	Cấp %d-%d
E_STR_GOLDMINE_BY_NONE	没有可掠夺的矿坑	Không có Ngân Khoáng có thể cướp 
E_STR_GOLDMINE_BY_CASH	你确定要花费%d元宝占领金矿吗	Đồng ý dùng %d KNB chiếm Ngân Khoáng ?
E_STR_GOLDMINE_HAVE_NONE	今日没有占领和掠夺次数了	Hôm nay đã hết số lần chiếm và cướp rồi 
E_STR_GOLDMINE_GET_GOLD_BACK	我军久占金矿无人能与之抗衡，获得 %d金币	Quân ta chiếm Ngân Khoáng đã lâu không ai có thể chống chọi lại được, nhận được %d Vàng
E_STR_GOLDMINE_CAPTURE	占领	Chiếm 
E_STR_GOLDMINE_DESPOIL	掠夺	Cướp 
E_STR_GOLDMINE_RETREATE	撤军	Rút quân
E_STR_GRAB_FRAGMENT	太不幸了，可恶的%s抢夺了你的%s，下次说不定就会抢走你的后宫美人！	Quá xui rồi, tên đáng ghét %s đã cướp %s của ngươi rồi, lần sau không chừng sẽ cướp luôn hậu cung mỹ nhân của ngươi đấy !
E_STR_GOLDMINE_FAILED	%s掠夺了你的金矿，慌乱中你只拿走了%d金币！	%s đã cướp Ngân Khoáng của ngươi, trong lúc hoảng loạn chỉ mang theo %d Vàng ! 
E_STR_GOLD_OPEN_LEVEL	君主等级%d级才能开启金矿	Quân Chủ cấp %d mới có thể mở Ngân Khoáng
E_STR_CATCH_TIMES_OVER	你的今日抓捕次数已用完，请明天再来	Số lần bắt giữ của ngươi hôm này đã hết, mời ngày mai quay lại 
E_STR_GET_GOLD	你获得了%d金币	Bạn nhận được %d Vàng 
E_STR_SEE_A_VISITOR_OUT	席位不足,请送客	Chỗ ngồi không đủ, mời tiễn khách
E_STR_MERCIER	名士	Danh Sĩ
E_STR_YOU_HAVE_ROLD	已拥有该武将，自动转换为卡牌	Đã sở hữu Võ Tướng này, tự động chuyển thành thẻ 
E_STR_ROLD_NUMBER_LIMIT	武将位超出上限，将自动转换为卡牌	Võ Tướng đã vượt giới hạn, sẽ tự động chuyển thành thẻ
E_STR_ORANGE_MESSAGEBOX	橙色和红色品质武将可完成成就或者用于炼魂确认要清场送客？	Võ Tướng phẩm chất cam và đỏ có thể dùng hoàn thành Nhiệm Vụ hoặc luyện hồn, đuổi đi ?
E_STR_RECRUIT_SUCCEED	招募成功	Chiêu mộ thành công
E_STR_GET_ROLE	获取武将	Nhận được Võ Tướng 
E_STR_CHANGE_CARD	转为卡牌	Chuyển thành thẻ
E_STR_CASH	元宝	KNB 
E_STR_TECH_NOT_EXCEED_LIMIT	等级达到上限，不能超过君主等级.	Cấp đạt giới hạn, không thể vượt quá cấp Quân Chủ 
E_STR_DEFAULT_THOUSAND_FLOOR_CASH_STR	你确定消耗%d元宝进行重置吗？重置后将返回重楼第一层	Ngươi đồng ý tiêu hao %d KNB tiến hành làm mới? Sau khi làm mới sẽ quay về trọng lâu tầng 1
E_STR_DEFAULT_THOUSAND_FLOOR_RESET_OVER	你今天的重置次数已经用完	Bạn đã dùng hết số lần làm mới hôm nay
E_STR_AUTO_CHALLENGE	自动挑战	Tự động khiêu chiến
E_STR_RESET_CAMPAIGN	重置战役	Làm mới lại chiến dịch
E_STR_FREE_RESET	是否免费重置该战役？重置后可以重新挑战该战役	Miễn phí làm mới chiến dịch ? Sau khi làm mới có thể khiêu chiến lại chiến dịch này
E_STR_CASH_RESET	是否花费%d元宝重置该战役？重置后可以重新挑战该战役	Dùng %d KNB làm mới chiến dịch ? Sau khi làm mới có thể khiêu chiến lại chiến dịch này 
E_STR_100_CASH_RESET	是否花费100元宝重置该战役？重置后可以重新挑战该战役	Dùng 100 KNB làm mới chiến dịch ? Sau khi làm mới có thể khiêu chiến lại chiến dịch này 
E_STR_CHALLENGING_TIMES_RUN_OUT	当前挑战次数已用完，剩余次数正在恢复中！	Đã dùng hết số lần khiêu chiến hôm nay, số lần còn lại đang hồi !
E_STR_FLOOR	第%d层	Tầng %d
E_STR_ROLES_NOT_ENOUGH	你必须有至少三名可以上阵的武将	Bạn nhất định phải có ít nhất 3 Võ Tướng để xuất trận 
E_STR_DEFAULT_THOUSAND_FLOOR_RESET_FIRST	本次重置免费，重置后返回第一层。	Miễn phí lần làm mới này, sau khi làm mới trở lại tầng 1 
E_STR_DEFAULT_THOUSAND_START	开战	Chiến 
E_STR_DEFAULT_THOUSAND_AUTO_TOWER	扫荡	Càn quét
E_STR_ZERO_FLOOR	当前已经是初始层，不能重置	Hiện tại đã là tầng mở đầu, không thể làm mới
E_STR_ALL_ROLE_EXP_THAN_USER_EXP	武将等级不能超过君主等级	Cấp Võ Tướng không thể vượt quá cấp Quân Chủ 
E_STR_SPEND_CASH_END	是否花费%d元宝立即结束？	Đồng ý dùng %d KNB để kết thúc ngay ?
E_STR_TRAINING_ROLE	训练武将	Huấn luyện Võ Tướng 
E_STR_ON_CLICK_OPENED	点击开启	Ấn để mở 
E_STR_UPGRADE_SILVER	是否花费200元宝升级为白银训练位	Dùng 200 KNB tăng thành Bạch Ngân huấn luyện
E_STR_UPGRADE_GOLD	是否花费500元宝升级为黄金训练位	Dùng 500 KNB tăng thành Hoàng Kim huấn luyện
E_STR_BECOME_A_VIP_OPEN	成为VIP1可以开启更多训练位	Trở thành VIP 1 có thể mở thêm nhiều ô huấn luyện
E_STR_BECOME_N_VIP_OPEN	成为VIP%d可以开启更多训练位	Trở thành VIP %d có thể mở thêm nhiều ô huấn luyện
E_STR_ONCLICK_TRAIN	点击训练	Ấn để huấn luyện
E_STR_ONCLICK_ADD_SPEED	点击加速	Ấn để tăng tốc
E_STR_UPDATA_TRAINCARD	升级训练位	Tăng cấp huấn luyện
E_STR_CANCEL_UPDATA	取消升级	Hủy tăng cấp
E_STR_ONCLICK_UPDATA	点击升级	Ấn để tăng cấp
E_STR_TRAINCARD_MAX	训练位已是最高等级	Huấn luyện đã là cấp cao nhất
E_STR_GO_OPEN	君主等级达到%d级开启	Quân Chủ đạt cấp %d mở 
E_STR_TRAINCARD_CLOSE	训练位冷却中，不能升级训练位	Ô huấn luyện đang hồi, không thể tăng cấp huấn luyện
E_STR_MAX_LEVEL_TRAINCARD	最高等级	Cấp cao nhất
E_STR_TRAIN_LIMIT	君主等级%d级开启	Quân Chủ cấp %d mở 
E_STR_SILVER_CASH_ENOUGH	升级到白银训练位需要%d元宝，当前元宝不足	Tăng cấp đến Bạch Ngân huấn luyện cần %d KNB, hiện tại KNB không đủ 
E_STR_GOLD_CASH_ENOUGH	升级到黄金训练位需要%d元宝，当前元宝不足	Tăng cấp đến Hoàng Kim huấn luyện cần %d KNB, hiện tại KNB không đủ 
E_STR_SPEED_CASH_ENOUGH	是否花费%d元宝立即结束，当前元宝不足	Đồng ý dùng %d KNB kết thúc ngay, hiện tại KNB không đủ 
E_STR_OPEN	%d级开启	Cấp %d mở
E_STR_LVL_40_OPEN	40级开放.	Cấp 40 mở
E_STR_STAY_TUNED	敬请期待	Hãy theo dõi nhé
E_STR_LVL_22_OPEN	22级开放.	Cấp 22 mở
E_STR_TEN_THOUSAND	%d万	%d Vạn 
E_STR_YESTERDAY	昨天	Hôm qua
E_STR_DAYS_AGO	%d天前%02d:%02d:%02d	%d ngày trước %02d:%02d:%02d
E_STR_BAG_TITLE_ALL	全部	Tất cả
E_STR_BAG_TITLE_ITEM	道具	Vật phẩm 
E_STR_BAG_TITLE_EQUIP	装备	Trang bị
E_STR_BAG_TITLE_CARD	卡牌	Thẻ tướng
E_STR_BAG_SUBTITLE_ALL	全部	Tất cả
E_STR_BAG_SUBTITLE_MATERIAL	材料	Tài nguyên
E_STR_BAG_SUBTITLE_GEM	宝石	Ngọc
E_STR_BAG_SUBTITLE_OTHER	其他	Khác
E_STR_BAG_SUBTITLE_WEAPON	武器	Vũ khí
E_STR_BAG_SUBTITLE_ARMOR	防具	Phòng cụ
E_STR_BAG_SUBTITLE_ACCESSORY	饰品	Trang sức
E_STR_BAG_SUBTITLE_RED	血卡	Thẻ huyết
E_STR_BAG_SUBTITLE_ORANGE	橙卡	Thẻ cam
E_STR_BAG_SUBTITLE_PURPLE	紫卡	Thẻ tím
E_STR_BAG_SUBTITLE_BLUE	蓝卡	Thẻ lam
E_STR_SHOP_TITLE_CASH	元宝	KNB 
E_STR_SHOP_TITLE_HONOR	军功	Quân Công 
E_STR_SHOP_SUBTITLE_C_MATERIAL	材料	Tài nguyên
E_STR_SHOP_SUBTITLE_C_GEM	宝石	Ngọc 
E_STR_SHOP_SUBTITLE_C_OTHER	其他	Khác
E_STR_SHOP_SUBTITLE_H_EQUIP	装备	Trang bị
E_STR_SHOP_SUBTITLE_H_MATERIAL	材料	Tài nguyên
E_STR_SHOP_SUBTITLE_H_OTHER	其他	Khác
E_STR_BAG_TO_SOUL	化魂	Hóa hồn
E_STR_BAG_TO_RESOLVE	分解	Phân giải
E_STR_TODAY_TIMES_OVER	今天次数已用完，请明天再来	Đã dùng hết số lần hôm nay, ngày mai quay lại nhé !
E_STR_YOUR_GAIN_GOLD	你获得了%d金币	Bạn nhận được %d Vàng 
E_STR_YOUR_GAIN_TWO	你获得了%d步	Bạn nhận được %d bước
E_STR_SOUL_ENOUGH	将魂不足	Tướng Hồn không đủ
E_STR_YOUR_GAIN_HONOR	你获得了%d军功	Bạn nhận được %d Quân Công 
E_STR_CURR_EXPERIENCE_SUCC_RATE	当前历练成功率：%d%%	Tỉ lệ thành công hiện tại: %d%%
E_STR_EXPERIENCE_ATTACK	武力	Võ Lực 
E_STR_EXPERIENCE_DEFENCE	武防	Võ Phòng 
E_STR_EXPERIENCE_RESIST	谋防	Mưu Phòng 
E_STR_EXPERIENCE_HEALTH	士兵	Binh Lực 
E_STR_EXPERIENCE_FORTITUDE	刚毅	Cương Nghị
E_STR_EXPERIENCE_HIT	命中	Chính Xác
E_STR_EXPERIENCE_UNBLOCK	破招	Phá Chiêu 
E_STR_EXPERIENCE_BLOCK	格挡	Đỡ 
E_STR_EXPERIENCE_CRITDAMAGE	暴击	Bạo Kích
E_STR_EXPERIENCE_MISS	躲闪	Né Tránh
E_STR_SOLDIER_NAME_DAO	刀兵	Đao Binh 
E_STR_SOLDIER_NAME_QIANG	枪兵	Thương Binh 
E_STR_SOLDIER_NAME_QI	骑兵	Kỵ Binh
E_STR_SOLDIER_NAME_MOU	谋士	Mưu Sĩ 
E_STR_SOLDIER_NAME_HONG	红颜	Vũ Cơ 
E_STR_SOLDIER_SUCC_RATE	当前历练成功率：%d%%	Tỉ lệ thành công hiện tại: %d%%
E_STR_SOLDIER_ADD_RATE	成功率+%d%%	Tỉ lệ thành công +%d%%
E_STR_EXPERIENCE_FAILURE	历练失败,再接再厉吧!	Tập luyện thất bại, hãy liên tục nỗ lực !
E_STR_ROLE_TRANSFER_SUCC	恭喜你！进阶成功	Chúc mừng ngươi ! Tiến cấp thành công 
E_STR_SUCC_ADD_RATE	成功增加历练成功率	Tăng tỉ lệ tập luyện thành công
E_STR_SUCC_FULL	成功率已满	Tỉ lệ thành công đã đầy
E_STR_ATTR_UPGRADE	该兵种的历练属性已刷新	Đã làm mới thuộc tính tập luyện binh chủng này
